region_id,n,mean_abs,max_abs,p95_abs
18,5,9.472898033645734,14.08111994784575,13.846946277176368
19,3,6.336770062439697,10.153057951006666,10.023477379534274
20,5,6.59575083726389,8.76689997330837,8.669027212112756
15,5,3.3092036140539682,4.965002549277171,4.891936729244703
16,3,2.2623245758190755,3.6785352444047934,3.621525568268244
17,5,2.3938298890879053,3.1817119741149735,3.1430091757522822
12,5,1.090883857808009,1.6342295522121733,1.6196513979987792
11,6,0.6338199563715449,1.2964648218786472,1.2799872152727916
13,3,0.7726675924185784,1.2872015934332417,1.2615615524717831
10,4,0.4638878167427298,1.2782093452424688,1.173079231714913
9,6,0.5893575050010926,1.2702801775581802,1.2095975608465919
14,5,0.8386635024838149,1.0991701129134066,1.0958680476225546
8,5,0.12784606067459886,0.19543076143390678,0.19206118238565376
7,3,0.10264027929900288,0.18957643182206907,0.18245322924734592
6,5,0.11399395978157104,0.18458509961544298,0.1765934522069826
5,5,0.07968087675283168,0.14843190333582412,0.14519930479636722
3,5,0.07084162989546934,0.12327162267528528,0.11790199899489726
4,3,0.05308208880897045,0.1145649684816383,0.10757660142799974
2,6,0.01114126857438697,0.023088752053056334,0.021789393309897605
1,3,0.010584545447651516,0.02132037590129944,0.020231664355334848
0,6,0.008921312086933654,0.019432070929960243,0.018034441027226726
