Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00018,0.00023
2,0.00272,0.00012
3,4e-05,0.00017
4,0.00022,9e-05
5,0.00021,0.00011
6,0.00028,3e-05
7,0.00069,7e-05
8,8e-05,0.00021
9,0.00058,0.0001
10,0.0002,0.00023
11,0.00042,0.00067
12,0.00012,7e-05
13,0.00023,5e-05
14,0.00043,0.0002
15,0.00047,0.0002
16,7e-05,6e-05
17,0.00016,0.00011
18,6e-05,9e-05
19,0.00011,0.00013
20,0.00058,0.00012
21,0.00011,0.00011
22,0.00065,0.0002
23,0.00021,0.00012
24,0.00013,5e-05
25,0.0001,0.00012
26,0.00037,0.00024
27,0.00022,3e-05
28,0.00118,9e-05
29,0.00032,0.00022
30,0.00016,0.0159
31,0.00014,6e-05
32,0.00081,3e-05
33,0.00015,0.00027
34,0.00182,6e-05
35,0.0002,0.00016
36,0.00018,0.00022
37,0.00018,9e-05
38,0.00015,7e-05
39,5e-05,0.00011
40,0.00022,0.00016
41,0.0001,0.00011
42,0.00063,0.00013
43,0.00019,0.00133
44,8e-05,0.01583
45,8e-05,0.00014
46,0.00015,0.00012
47,0.00023,9e-05
48,0.00024,0.00023
49,0.00031,9e-05
50,0.00024,0.00016
