Temperature (T),Ca,Cb,res_nonlinear,res_lin_500K,res_lin_600K,res_affine
500.6012024048096,0.3731697525764246,0.7463395051529139,-3.001332515850663e-10,-1.382431946694851e-10,-18165.9412613092,-109.21407571942994
501.2424849699399,0.3728506094195808,0.7457012188379574,-2.764863893389702e-10,-0.04162906652345555,-17904.34060404729,-222.49985280375958
501.8837675350701,0.3725324865898984,0.7450649731795892,-3.2014213502407074e-10,-0.16625630302587524,-17645.061311885016,-332.5550609572673
502.5250501002004,0.372215379318515,0.7444307586370972,-3.2741809263825417e-10,-0.3734937074405025,-17388.09253283823,-439.4221107275794
503.1663326653306,0.3718992828676703,0.7437985657371043,-1.1410702427383512e-07,-0.662955946623697,-17133.42348957504,-543.1431491957646
503.8076152304609,0.3715841925273928,0.7431683850530888,1.166408765129745e-07,-1.0342597114504315,-16881.04346137098,-643.7600609770395
504.4488977955912,0.3712701036248386,0.7425402072480752,1.1989686754532158e-07,-1.4870251275133342,-16630.94182356866,-741.3144730742001
505.09018036072143,0.3709570115130565,0.7419140230280534,-3.3651303965598345e-10,-2.0208741874812404,-16383.108003729722,-835.8477541281067
505.7314629258517,0.3706449115773142,0.7412898231535205,-4.256435204297304e-10,-2.6354312356124865,-16137.5314951865,-927.4010172656631
506.372745490982,0.37033379922991,0.7406675984589782,-4.05634636990726e-10,-3.330323355679866,-15894.201867894037,-1016.0151231879939
507.0140280561122,0.3700236699157314,0.7400473398312095,-3.7834979593753815e-10,-4.105179932754254,-15653.108756170841,-1101.7306812720922
507.6553106212425,0.3697145191077135,0.739429038216705,-3.838067641481757e-10,-4.9596327313483926,-15414.24186088657,-1184.5880518005488
508.2965931863728,0.3694063423093996,0.7388126846220388,-1.421067281626165e-07,-5.893315975088626,-15177.590951688355,-1264.6273482767547
508.937875751503,0.3690991350503657,0.7381982700982948,-5.07498043589294e-10,-6.905865800319589,-14943.145851721289,-1341.888437688243
509.57915831663325,0.3687928928883917,0.7375857857765548,-5.129550117999315e-10,-7.996921277306683,-14710.896466187667,-1416.4109458198204
510.2204408817635,0.3684876114125517,0.7369752228254289,-5.384208634495735e-10,-9.166123342394712,-14480.832752482966,-1488.2342557796067
510.8617234468938,0.3681832862382961,0.7363665724743922,-5.20230969414115e-10,-10.413115297473269,-14252.944734163815,-1557.3975115751405
511.503006012024,0.3678799130055641,0.7357598260109995,-4.893081495538354e-10,-11.73754268328048,-14027.22249740432,-1623.9396196391613
512.1442885771543,0.3675774873855941,0.7351549747693701,1.6601370589341968e-07,-13.139053151789994,-13803.656187428627,-1687.8992502202746
