T,mask_0,mask_1,mask_2,mask_3,mask_4,mask_5
280.0,1.0,0.0,0.0,0.0,0.0,0.0
280.64128256513027,1.0,0.0,0.0,0.0,0.0,0.0
281.28256513026054,1.0,0.0,0.0,0.0,0.0,0.0
281.9238476953908,1.0,0.0,0.0,0.0,0.0,0.0
282.565130260521,1.0,0.0,0.0,0.0,0.0,0.0
283.2064128256513,1.0,0.0,0.0,0.0,0.0,0.0
283.84769539078155,1.0,0.0,0.0,0.0,0.0,0.0
284.4889779559118,1.0,0.0,0.0,0.0,0.0,0.0
285.1302605210421,1.0,0.0,0.0,0.0,0.0,0.0
285.77154308617236,1.0,0.0,0.0,0.0,0.0,0.0
286.4128256513026,1.0,1.3176686e-37,0.0,0.0,0.0,0.0
287.05410821643284,1.0,7.251758e-36,0.0,0.0,0.0,0.0
287.6953907815631,1.0,3.990988e-34,0.0,0.0,0.0,0.0
288.3366733466934,1.0,2.1967659e-32,0.0,0.0,0.0,0.0
288.97795591182364,1.0,1.208985e-30,0.0,0.0,0.0,0.0
289.6192384769539,1.0,6.653621e-29,0.0,0.0,0.0,0.0
290.2605210420842,1.0,3.662349e-27,0.0,0.0,0.0,0.0
290.90180360721445,1.0,2.0155655e-25,0.0,0.0,0.0,0.0
291.5430861723447,1.0,1.1092617e-23,0.0,0.0,0.0,0.0
292.1843687374749,1.0,6.1057036e-22,0.0,0.0,0.0,0.0
292.8256513026052,1.0,3.3602726e-20,0.0,0.0,0.0,0.0
293.46693386773546,1.0,1.8493182e-18,0.0,0.0,0.0,0.0
294.10821643286573,1.0,1.0179194e-16,0.0,0.0,0.0,0.0
294.749498997996,1.0,5.6020955e-15,0.0,0.0,0.0,0.0
295.39078156312627,1.0,3.0831002e-13,0.0,0.0,0.0,0.0
296.03206412825654,1.0,1.6970295e-11,0.0,0.0,0.0,0.0
296.67334669338675,1.0,9.339561e-10,0.0,0.0,0.0,0.0
297.314629258517,0.99999994,5.140015e-08,0.0,0.0,0.0,0.0
297.9559118236473,0.9999972,2.8292084e-06,0.0,0.0,0.0,0.0
298.59719438877755,0.9998443,0.00015568102,0.0,0.0,0.0,0.0
299.2384769539078,0.9915036,0.008496399,0.0,0.0,0.0,0.0
299.8797595190381,0.67949796,0.32050204,0.0,0.0,0.0,0.0
300.52104208416836,0.037093997,0.962906,0.0,0.0,0.0,0.0
301.1623246492986,0.0006995201,0.9993005,0.0,0.0,0.0,0.0
301.80360721442884,1.2755394e-05,0.99998724,0.0,0.0,0.0,0.0
302.4448897795591,2.3841858e-07,0.99999976,0.0,0.0,0.0,0.0
303.0861723446894,0.0,1.0,0.0,0.0,0.0,0.0
303.72745490981964,0.0,1.0,0.0,0.0,0.0,0.0
304.3687374749499,0.0,1.0,0.0,0.0,0.0,0.0
305.0100200400802,0.0,1.0,0.0,0.0,0.0,0.0
305.6513026052104,0.0,1.0,0.0,0.0,0.0,0.0
306.29258517034066,0.0,1.0,0.0,0.0,0.0,0.0
306.9338677354709,0.0,1.0,0.0,0.0,0.0,0.0
307.5751503006012,0.0,1.0,0.0,0.0,0.0,0.0
308.21643286573146,0.0,1.0,0.0,0.0,0.0,0.0
308.85771543086173,0.0,1.0,0.0,0.0,0.0,0.0
309.498997995992,0.0,1.0,0.0,0.0,0.0,0.0
310.14028056112227,0.0,1.0,0.0,0.0,0.0,0.0
310.7815631262525,0.0,1.0,0.0,0.0,0.0,0.0
311.42284569138275,0.0,1.0,0.0,0.0,0.0,0.0
312.064128256513,0.0,1.0,0.0,0.0,0.0,0.0
312.7054108216433,0.0,1.0,0.0,0.0,0.0,0.0
313.34669338677355,0.0,1.0,0.0,0.0,0.0,0.0
313.9879759519038,0.0,1.0,0.0,0.0,0.0,0.0
314.6292585170341,0.0,1.0,0.0,0.0,0.0,0.0
315.2705410821643,0.0,1.0,0.0,0.0,0.0,0.0
315.91182364729457,0.0,1.0,0.0,0.0,0.0,0.0
316.55310621242484,0.0,1.0,0.0,0.0,0.0,0.0
317.1943887775551,0.0,1.0,0.0,0.0,0.0,0.0
317.8356713426854,0.0,1.0,0.0,0.0,0.0,0.0
318.47695390781564,0.0,1.0,0.0,0.0,0.0,0.0
319.1182364729459,0.0,1.0,0.0,0.0,0.0,0.0
319.7595190380762,0.0,1.0,0.0,0.0,0.0,0.0
320.4008016032064,0.0,1.0,0.0,0.0,0.0,0.0
321.04208416833666,0.0,1.0,0.0,0.0,0.0,0.0
321.6833667334669,0.0,1.0,0.0,0.0,0.0,0.0
322.3246492985972,0.0,1.0,0.0,0.0,0.0,0.0
322.96593186372746,0.0,1.0,0.0,0.0,0.0,0.0
323.60721442885773,0.0,1.0,0.0,0.0,0.0,0.0
324.248496993988,0.0,1.0,0.0,0.0,0.0,0.0
324.8897795591182,0.0,1.0,0.0,0.0,0.0,0.0
325.5310621242485,0.0,1.0,0.0,0.0,0.0,0.0
326.17234468937875,0.0,1.0,2.93109e-38,0.0,0.0,0.0
326.813627254509,0.0,1.0,1.6131185e-36,0.0,0.0,0.0
327.4549098196393,0.0,1.0,8.87776e-35,0.0,0.0,0.0
328.09619238476955,0.0,1.0,4.8865627e-33,0.0,0.0,0.0
328.7374749498998,0.0,1.0,2.6893082e-31,0.0,0.0,0.0
329.3787575150301,0.0,1.0,1.4800544e-29,0.0,0.0,0.0
330.0200400801603,0.0,1.0,8.146688e-28,0.0,0.0,0.0
330.66132264529057,0.0,1.0,4.483511e-26,0.0,0.0,0.0
331.30260521042084,0.0,1.0,2.4674895e-24,0.0,0.0,0.0
331.9438877755511,0.0,1.0,1.3581792e-22,0.0,0.0,0.0
332.5851703406814,0.0,1.0,7.474707e-21,0.0,0.0,0.0
333.22645290581164,0.0,1.0,4.1136878e-19,0.0,0.0,0.0
333.86773547094185,0.0,1.0,2.2642953e-17,0.0,0.0,0.0
334.5090180360721,0.0,1.0,1.2461496e-15,0.0,0.0,0.0
335.1503006012024,0.0,1.0,6.8581676e-14,0.0,0.0,0.0
335.79158316633266,0.0,1.0,3.7749383e-12,0.0,0.0,0.0
336.4328657314629,0.0,1.0,2.0775325e-10,0.0,0.0,0.0
337.0741482965932,0.0,1.0,1.14336505e-08,0.0,0.0,0.0
337.71543086172346,0.0,0.99999934,6.293415e-07,0.0,0.0,0.0
338.35671342685373,0.0,0.99996537,3.4634486e-05,0.0,0.0,0.0
338.99799599198394,0.0,0.9980972,0.0019028245,0.0,0.0,0.0
339.6392785571142,0.0,0.90504193,0.09495809,0.0,0.0,0.0
340.2805611222445,0.0,0.14761639,0.8523836,0.0,0.0,0.0
340.92184368737475,0.0,0.0031363964,0.9968636,0.0,0.0,0.0
341.563126252505,0.0,5.722046e-05,0.9999428,0.0,0.0,0.0
342.2044088176353,0.0,1.0728836e-06,0.9999989,0.0,0.0,0.0
342.84569138276555,0.0,0.0,1.0,0.0,0.0,0.0
343.48697394789576,0.0,0.0,1.0,0.0,0.0,0.0
344.12825651302603,0.0,0.0,1.0,0.0,0.0,0.0
344.7695390781563,0.0,0.0,1.0,0.0,0.0,0.0
345.41082164328657,0.0,0.0,1.0,0.0,0.0,0.0
346.05210420841684,0.0,0.0,1.0,1.3825117e-38,0.0,0.0
346.6933867735471,0.0,0.0,1.0,7.609782e-37,0.0,0.0
347.3346693386774,0.0,0.0,1.0,4.1880255e-35,0.0,0.0
347.97595190380764,0.0,0.0,1.0,2.30487e-33,0.0,0.0
348.61723446893785,0.0,0.0,1.0,1.2686733e-31,0.0,0.0
349.2585170340681,0.0,0.0,1.0,6.9821145e-30,0.0,0.0
349.8997995991984,0.0,0.0,1.0,3.84259e-28,0.0,0.0
350.54108216432866,0.0,0.0,1.0,2.115075e-26,0.0,0.0
351.1823647294589,0.0,0.0,1.0,1.1640266e-24,0.0,0.0
351.8236472945892,0.0,0.0,1.0,6.4061936e-23,0.0,0.0
352.4649298597194,0.0,0.0,1.0,3.526158e-21,0.0,0.0
353.1062124248497,0.0,0.0,1.0,1.9406129e-19,0.0,0.0
353.74749498997994,0.0,0.0,1.0,1.0680117e-17,0.0,0.0
354.3887775551102,0.0,0.0,1.0,5.878652e-16,0.0,0.0
355.0300601202405,0.0,0.0,1.0,3.2353084e-14,0.0,0.0
355.67134268537075,0.0,0.0,1.0,1.7805445e-12,0.0,0.0
356.312625250501,0.0,0.0,1.0,9.800643e-11,0.0,0.0
356.9539078156313,0.0,0.0,1.0,5.3937605e-09,0.0,0.0
357.59519038076155,0.0,0.0,0.9999997,2.9684455e-07,0.0,0.0
358.23647294589176,0.0,0.0,0.99998367,1.6338954e-05,0.0,0.0
358.87775551102203,0.0,0.0,0.9991016,0.0008984177,0.0,0.0
359.5190380761523,0.0,0.0,0.952845,0.04715504,0.0,0.0
360.16032064128257,0.0,0.0,0.2685281,0.7314719,0.0,0.0
360.80160320641284,0.0,0.0,0.0066262484,0.99337375,0.0,0.0
361.4428857715431,0.0,0.0,0.00012123585,0.99987876,0.0,0.0
