Temperature (T),Ca,Cb,residual_nonlinear,residual_linearized
500.6012024048096,0.3731697525764246,0.7463395051529139,-3.001332515850663e-10,-1253.0090882550576
501.2424849699399,0.3728506094195808,0.7457012188379574,-2.764863893389702e-10,-1219.1879258663976
501.8837675350701,0.3725324865898984,0.7450649731795892,-3.2014213502407074e-10,-1185.8824843424954
502.5250501002004,0.372215379318515,0.7444307586370972,-3.2741809263825417e-10,-1153.0903527765768
503.1663326653306,0.3718992828676703,0.7437985657371043,-1.1410702427383512e-07,-1120.809136846976
503.8076152304609,0.3715841925273928,0.7431683850530888,1.166408765129745e-07,-1089.0364548080834
504.4488977955912,0.3712701036248386,0.7425402072480752,1.1989686754532158e-07,-1057.769946256536
505.09018036072143,0.3709570115130565,0.7419140230280534,-3.3651303965598345e-10,-1027.0072623904562
505.7314629258517,0.3706449115773142,0.7412898231535205,-4.256435204297304e-10,-996.7460690196604
506.372745490982,0.37033379922991,0.7406675984589782,-4.05634636990726e-10,-966.9840489766211
507.0140280561122,0.3700236699157314,0.7400473398312095,-3.7834979593753815e-10,-937.7188993928139
507.6553106212425,0.3697145191077135,0.739429038216705,-3.838067641481757e-10,-908.9483321852167
508.2965931863728,0.3694063423093996,0.7388126846220388,-1.421067281626165e-07,-880.6700745503767
508.937875751503,0.3690991350503657,0.7381982700982948,-5.07498043589294e-10,-852.8818655703217
509.57915831663325,0.3687928928883917,0.7375857857765548,-5.129550117999315e-10,-825.5814625569037
510.2204408817635,0.3684876114125517,0.7369752228254289,-5.384208634495735e-10,-798.7666344174067
510.8617234468938,0.3681832862382961,0.7363665724743922,-5.20230969414115e-10,-772.435164757655
511.503006012024,0.3678799130055641,0.7357598260109995,-4.893081495538354e-10,-746.584851094929
512.1442885771543,0.3675774873855941,0.7351549747693701,1.6601370589341968e-07,-721.2135040649446
512.7855711422845,0.367276005077045,0.7345520101527839,-6.293703336268663e-10,-696.3189505758346
513.4268537074148,0.3669754618007265,0.7339509236030586,-1.7628553905524313e-07,-671.8990277604316
514.0681362725451,0.3666758533070685,0.7333517066156863,-1.809767127269879e-07,-647.9515867854352
514.7094188376753,0.3663771753713497,0.732754350743892,-5.220499588176608e-10,-624.4744927308639
515.3507014028056,0.3660794237985876,0.7321588475969961,-7.366907084360719e-10,-601.4656251384877
515.9919839679359,0.365782594414941,0.7315651888285875,-7.585185812786222e-10,-578.9228745701839
516.6332665330661,0.3654866830727619,0.7309733661425435,1.9972503650933504e-07,-556.8441444739583
517.2745490981964,0.3651916856535901,0.7303833713091694,-2.0651896193157881e-07,-535.2273544070777
517.9158316633267,0.3648975980565427,0.7297951961126871,2.1052801457699388e-07,-514.070429232961
518.5571142284568,0.3646044162166735,0.7292088324313942,-9.276845958083868e-10,-493.37131571996724
519.1983967935871,0.3643121360820419,0.7286242721686228,-4.458452167455107e-07,-473.1279670454678
519.8396793587174,0.3640207536287514,0.7280415072607264,-6.330083124339581e-10,-453.33834667527117
520.4809619238476,0.3637302648635635,0.7274605297298188,-9.240466170012951e-10,-434.00043768947944
521.1222444889779,0.363440665812048,0.7268813316190779,-1.0913936421275139e-09,-415.1122298860573
521.7635270541082,0.3631519525167868,0.7263039050338722,-9.349605534225702e-10,-396.6717264072504
522.4048096192384,0.3628641210561686,0.7257282421143774,-1.051375875249505e-09,-378.67694229248445
523.0460921843687,0.3625771675271811,0.7251543350521452,-1.0950316209346056e-09,-361.1259043706232
523.687374749499,0.3622910880474201,0.7245821760956245,-5.344481905922294e-07,-344.01665252889507
524.3286573146293,0.3620058787553448,0.7240117575087852,-1.1241354513913393e-09,-327.34723278455203
524.9699398797595,0.3617215358223887,0.7234430716476202,-5.622096068691462e-07,-311.11571221472695
525.6112224448898,0.3614380554299247,0.7228761108608769,-1.3096723705530167e-09,-295.32015835045604
526.2525050100201,0.3611554337935071,0.7223108675871273,-1.2259988579899073e-09,-279.95865961536765
526.8937875751503,0.3608736671425386,0.7217473342851033,-1.4479155652225018e-09,-265.0293101631105
527.5350701402806,0.3605927517291791,0.7211855034566952,6.194823072291911e-07,-250.5302152527729
528.1763527054109,0.3603126838340723,0.7206253676653626,6.352420314215124e-07,-236.45949531591032
528.8176352705411,0.3600334597520289,0.7200669195007471,6.510308594442904e-07,-222.81527758203447
529.4589178356714,0.3597550758046626,0.7195101516147556,-6.708833097945899e-07,-209.59570428717416
530.1002004008016,0.3594775283266639,0.7189550566523917,-1.8480932340025902e-09,-196.79891870735446
530.7414829659318,0.3592008136856671,0.7184016273715631,-7.056478352751583e-07,-184.42308869148837
531.3827655310621,0.3589249282549446,0.7178498565130456,-1.6589183360338211e-09,-172.4663801518618
532.0240480961924,0.358649868448751,0.717299736896969,-2.040906110778451e-09,-160.9269792753621
532.6653306613226,0.3583756306862756,0.7167512613672516,-2.535671228542924e-09,-149.8030770882615
533.3066132264529,0.3581022114076251,0.7162044228165757,-2.342858351767063e-09,-139.09287635667715
533.9478957915832,0.3578296070838177,0.7156592141676432,-2.382876118645072e-09,-128.7945901127532
534.5891783567134,0.3575578141976773,0.7151156284001652,-8.184470061678439e-07,-118.90644298255211
535.2304609218437,0.3572868292517034,0.7145736585006446,-3.0995579436421394e-09,-109.4266640515998
535.871743486974,0.3570166487715367,0.7140332975422166,-2.790329745039344e-09,-100.3535009000916
536.5130260521041,0.3567472693021239,0.7134945386042855,-2.8339854907244444e-09,-91.68520541721955
537.1543086172344,0.3564786874076283,0.7129573748140204,-3.7216523196548223e-09,-83.42004077747697
537.7955911823647,0.3562108996691375,0.7124217993398121,-2.76122591458261e-09,-75.55627995170653
538.4368737474949,0.3559439026935379,0.7118878053820458,-4.409230314195156e-09,-68.09220564801944
