T,Ca,Cb_dataset,Cb_calc,Cb_diff
280.0,0.9936625015244944,1.9873250030489888,1.9873250030489882,6.661338147750939e-16
281.60804020100505,0.9921393098996388,1.9842786197992777,1.9842786197992848,-7.105427357601002e-15
283.21608040201005,0.9902857347196764,1.980571469439353,1.9805714694393584,-5.329070518200751e-15
284.8241206030151,0.9880411501243876,1.976082300248775,1.9760823002487669,8.215650382226158e-15
286.4321608040201,0.9853374636771216,1.9706749273542437,1.9706749273542505,-6.8833827526759706e-15
288.04020100502515,0.9820995003945968,1.9641990007891936,1.9641990007891992,-5.551115123125783e-15
289.6482412060301,0.9782459534779232,1.9564919069558464,1.9564919069558573,-1.0880185641326534e-14
291.2562814070352,0.9736910401431446,1.947382080286289,1.947382080286288,8.881784197001252e-16
292.8643216080402,0.9683469726010298,1.9366939452020595,1.93669394520206,-4.440892098500626e-16
294.47236180904525,0.9621272929661352,1.9242545859322704,1.9242545859322713,-8.881784197001252e-16
296.08040201005025,0.9549510232293186,1.9099020464586367,1.9099020464586367,0.0
297.6884422110553,0.946747452626579,1.893494905253158,1.8934949052531584,-4.440892098500626e-16
299.2964824120603,0.937461241890045,1.87492248378009,1.8749224837800902,-2.220446049250313e-16
300.9045226130653,0.927057395869784,1.854114791739568,1.8541147917395662,1.7763568394002505e-15
302.51256281407035,0.915525578155954,1.831051156311908,1.831051156311908,0.0
304.1206030150754,0.9028832446858688,1.8057664893717371,1.8057664893717367,4.440892098500626e-16
305.7286432160804,0.8891771722285852,1.7783543444571703,1.7783543444571706,-2.220446049250313e-16
307.33668341708545,0.8744831410192945,1.748966282038589,1.7489662820385885,4.440892098500626e-16
308.94472361809045,0.8589037625839093,1.7178075251678186,1.7178075251678189,-2.220446049250313e-16
310.5527638190955,0.842564673551,1.685129347102,1.6851293471019997,2.220446049250313e-16
312.1608040201005,0.8256094958938159,1.651218991787632,1.6512189917876317,4.440892098500626e-16
313.76884422110555,0.8081940627605386,1.6163881255210772,1.6163881255210775,-2.220446049250313e-16
315.3768844221105,0.7904804203253502,1.5809608406507003,1.5809608406507003,0.0
316.9849246231156,0.7726310551151874,1.5452621102303747,1.545262110230375,-2.220446049250313e-16
318.5929648241206,0.7548036907302098,1.5096073814604196,1.5096073814604196,0.0
320.20100502512565,0.7371468773220965,1.474293754644193,1.4742937546441928,2.220446049250313e-16
321.80904522613065,0.7197964850806653,1.4395929701613306,1.4395929701613306,0.0
323.4170854271357,0.7028731231493711,1.4057462462987422,1.4057462462987425,-2.220446049250313e-16
325.0251256281407,0.6864804424045444,1.3729608848090888,1.3729608848090888,0.0
326.6331658291457,0.6707042422271983,1.3414084844543963,1.3414084844543992,-2.886579864025407e-15
328.24120603015075,0.655612282048083,1.311224564096166,1.3112245640961657,2.220446049250313e-16
329.8492462311558,0.6412546914847068,1.2825093829694136,1.2825093829694134,2.220446049250313e-16
331.4572864321608,0.6276648726887998,1.2553297453775996,1.2553297453775996,0.0
333.06532663316585,0.6148607912630556,1.2297215825261112,1.229721582526111,2.220446049250313e-16
334.67336683417085,0.6028465558761451,1.2056931117522902,1.20569311175229,2.220446049250313e-16
336.2814070351759,0.5916141911162082,1.1832283822324163,1.1832283822324163,0.0
337.8894472361809,0.5811455136840429,1.1622910273680858,1.1622910273680855,2.220446049250313e-16
339.49748743718595,0.5714140294968014,1.1428280589936028,1.1428280589936028,0.0
341.1055276381909,0.5623867791559038,1.1247735583118077,1.1247735583118073,4.440892098500626e-16
342.713567839196,0.5540260715030735,1.108052143006147,1.108052143006147,0.0
344.321608040201,0.5462910590560386,1.0925821181120772,1.0925821181120774,-2.220446049250313e-16
345.92964824120605,0.5391391239788711,1.0782782479577422,1.078278247957742,2.220446049250313e-16
347.53768844221105,0.5325270577383434,1.065054115476687,1.0650541154766868,2.220446049250313e-16
349.1457286432161,0.5264120306542918,1.0528240613085835,1.0528240613085835,0.0
350.7537688442211,0.5207523583726704,1.0415047167453408,1.0415047167453408,0.0
352.3618090452261,0.5155080804436303,1.03101616088726,1.0310161608872606,-6.661338147750939e-16
353.96984924623115,0.5106413716038591,1.0212827432077185,1.0212827432077185,0.0
355.5778894472362,0.5061168092642738,1.0122336185285474,1.0122336185285474,0.0
357.1859296482412,0.5019015215033844,1.0038030430067693,1.0038030430067693,0.0
358.79396984924625,0.4979652390634137,0.9959304781268276,0.9959304781268274,1.1102230246251565e-16
360.4020100502513,0.4942802729445001,0.9885605458890008,0.9885605458890007,1.1102230246251565e-16
362.0100502512563,0.4908214366420477,0.981642873284095,0.981642873284095,0.0
363.6180904522613,0.4875659292388206,0.9751318584776416,0.9751318584776417,-1.1102230246251565e-16
365.2261306532664,0.4844931927181497,0.9689863854362996,0.9689863854362997,-1.1102230246251565e-16
366.83417085427135,0.4815847541908478,0.9631695083816944,0.9631695083816945,-1.1102230246251565e-16
368.4422110552764,0.4788240613349083,0.9576481226698168,0.9576481226698167,1.1102230246251565e-16
370.0502512562814,0.4761963172848996,0.9523926345697988,0.9523926345697988,0.0
371.65829145728645,0.4736883194872907,0.947376638974581,0.947376638974581,0.0
373.26633165829145,0.4712883056421004,0.9425766112841998,0.9425766112841998,0.0
374.8743718592965,0.4689858087478822,0.9379716174957642,0.9379716174957636,5.551115123125783e-16
376.4824120603015,0.4667715224169055,0.933543044833812,0.9335430448338119,1.1102230246251565e-16
378.09045226130655,0.4646371769892467,0.9292743539784916,0.9292743539784917,-1.1102230246251565e-16
379.6984924623116,0.4625754265094172,0.9251508530188356,0.9251508530188333,2.3314683517128287e-15
381.3065326633166,0.4605797463019504,0.9211594926038974,0.9211594926038977,-3.3306690738754696e-16
382.9145728643216,0.4586443406625615,0.9172886813251192,0.9172886813251193,-1.1102230246251565e-16
384.52261306532665,0.4567640600438713,0.913528120087742,0.913528120087742,0.0
386.1306532663317,0.4549343270382264,0.9098686540764572,0.9098686540764529,4.3298697960381105e-15
387.7386934673367,0.4531510704284646,0.9063021408569266,0.9063021408569265,1.1102230246251565e-16
389.3467336683417,0.4514106665774686,0.9028213331549356,0.9028213331549356,0.0
390.9547738693468,0.4497098874490467,0.8994197748980971,0.8994197748980871,9.992007221626409e-15
392.56281407035175,0.4480458545883985,0.8960917091767941,0.8960917091767941,0.0
394.1708542713568,0.446415998434799,0.8928319968695979,0.8928319968695979,0.0
395.7788944723618,0.4448180223876617,0.8896360447753164,0.8896360447753164,0.0
397.38693467336685,0.4432498710973232,0.8864997421946463,0.8864997421946466,-2.220446049250313e-16
398.9949748743719,0.4417097025014619,0.8834194050029234,0.8834194050029236,-2.220446049250313e-16
400.6030150753769,0.44019586317557,0.8803917263511459,0.880391726351146,-1.1102230246251565e-16
402.2110552763819,0.4387068666110297,0.8774137332220581,0.8774137332220582,-1.1102230246251565e-16
403.81909547738695,0.4372413740757846,0.8744827481515509,0.8744827481515699,-1.8984813721090177e-14
405.427135678392,0.4357981777511118,0.8715963555022215,0.8715963555022216,-1.1102230246251565e-16
407.035175879397,0.4343761858725312,0.8687523717450636,0.8687523717450636,0.0
