Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01045,0.00508
2,0.00373,0.00418
3,0.00493,0.00527
4,0.00512,0.00429
5,0.00213,0.00566
6,0.007,0.00481
7,0.01483,0.0031
8,0.01204,0.00655
9,0.00871,0.00477
10,0.00867,0.0067
11,0.00453,0.00227
12,0.00585,0.00447
13,0.00481,0.00407
14,0.00302,0.00759
15,0.00869,0.0065
16,0.0082,0.00631
17,0.00635,0.00648
18,0.00875,0.00429
19,0.01087,0.00451
20,0.00992,0.00448
21,0.0053,0.00506
22,0.00412,0.00699
23,0.0041,0.00897
24,0.00459,0.00711
25,0.00719,0.00557
26,0.007,0.00587
27,0.00941,0.00548
28,0.00822,0.00444
29,0.01026,0.00533
30,0.00536,0.00467
31,0.005,0.00482
32,0.00692,0.00338
33,0.00423,0.00471
34,0.00381,0.00199
35,0.01212,0.00632
36,0.00408,0.00361
37,0.00486,0.00784
38,0.00714,0.00498
39,0.00577,0.00689
40,0.01117,0.00554
41,0.00205,0.00608
42,0.0048,0.0068
43,0.00855,0.00577
44,0.01168,0.00542
45,0.00855,0.00313
46,0.00469,0.00388
47,0.00661,0.00864
48,0.01244,0.00262
49,0.00779,0.00229
50,0.00735,0.00578
