Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00014,0.00045
2,0.0004,0.00064
3,0.00021,0.00047
4,9e-05,0.00047
5,0.0002,0.00053
6,0.00039,0.00055
7,0.00057,0.00054
8,0.00033,0.00051
9,0.00039,0.00046
10,0.00118,0.0005
11,0.00023,0.00051
12,9e-05,0.00056
13,0.00028,0.00045
14,9e-05,0.00047
15,0.00021,0.00047
16,0.00022,0.00052
17,0.00039,0.00051
18,0.00028,0.0009
19,0.00029,0.00049
20,0.00018,0.00047
21,0.00341,0.00051
22,0.00371,0.00051
23,0.00053,0.00051
24,0.00025,0.00048
25,0.00422,0.00073
26,0.00176,0.00051
27,0.00031,0.00056
28,0.00017,0.0005
29,0.00017,0.00052
30,0.00017,0.00052
31,0.0002,0.00048
32,0.0003,0.00049
33,0.00089,0.00048
34,0.00191,0.00055
35,0.00026,0.00052
36,0.00014,0.00053
37,0.00123,0.00078
38,0.00023,0.00053
39,0.00017,0.0005
40,0.00025,0.00048
41,0.00236,0.0006
42,0.00026,0.00044
43,0.00318,0.00044
44,0.00114,0.0005
45,0.00066,0.00051
46,0.00038,0.00053
47,0.00111,0.0005
48,0.00055,0.00047
49,0.00049,0.00065
50,0.00022,0.00054
