Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.02254,0.01138
2,0.03303,0.01798
3,0.02058,0.00658
4,0.03931,0.01221
5,0.01422,0.01243
6,0.01192,0.0085
7,0.03111,0.01423
8,0.01145,0.00997
9,0.02188,0.02279
10,0.03108,0.01184
11,0.03427,0.00919
12,0.02462,0.01301
13,0.03683,0.00933
14,0.0314,0.01151
15,0.02377,0.00879
16,0.01537,0.01286
17,0.02452,0.01172
18,0.03015,0.01662
19,0.0297,0.01233
20,0.01654,0.01366
21,0.01847,0.00653
22,0.01872,0.01317
23,0.02218,0.0109
24,0.02015,0.01844
25,0.02142,0.01899
26,0.01502,0.00955
27,0.01732,0.01661
28,0.02066,0.01446
29,0.01216,0.00977
30,0.03004,0.01201
31,0.01342,0.01015
32,0.01957,0.01918
33,0.02217,0.0145
34,0.02251,0.014
35,0.03149,0.01322
36,0.02936,0.01369
37,0.02071,0.00992
38,0.02265,0.01739
39,0.01976,0.01249
40,0.01963,0.00706
41,0.02038,0.01402
42,0.02479,0.00915
43,0.01857,0.01356
44,0.03256,0.01014
45,0.02456,0.00971
46,0.0317,0.01007
47,0.0278,0.01298
48,0.0262,0.00857
49,0.01919,0.00962
50,0.01581,0.00927
