Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.06413,0.04588
2,0.06243,0.04604
3,0.0631,0.04643
4,0.06421,0.04832
5,0.06127,0.04943
6,0.06266,0.04911
7,0.06036,0.04556
8,0.06396,0.04665
9,0.06117,0.04851
10,0.0614,0.04393
11,0.0642,0.04776
12,0.06092,0.04891
13,0.06252,0.0423
14,0.06516,0.04793
15,0.06344,0.04831
16,0.07025,0.04843
17,0.06328,0.04881
18,0.06223,0.04922
19,0.06503,0.0455
20,0.06354,0.04888
21,0.06235,0.05009
22,0.0617,0.04792
23,0.06331,0.04877
24,0.0643,0.04894
25,0.06328,0.04715
26,0.06232,0.04672
27,0.06126,0.04785
28,0.06204,0.04814
29,0.06044,0.04337
30,0.06239,0.04834
31,0.06159,0.04814
32,0.06152,0.04864
33,0.06058,0.04748
34,0.0644,0.04917
35,0.06364,0.04801
36,0.06326,0.04794
37,0.06167,0.0476
38,0.06322,0.04934
39,0.0632,0.04785
40,0.06337,0.04703
41,0.0657,0.04811
42,0.06397,0.04591
43,0.06264,0.04772
44,0.06249,0.04534
45,0.06337,0.04998
46,0.06553,0.04586
47,0.06418,0.0453
48,0.06418,0.04774
49,0.06363,0.04729
50,0.06372,0.04895
