Iteration,NN_Experiment_Error,KKThPINN_Experiment_Error
1,0.00781478869557718,0.00804564689388722
2,0.010841181747859167,0.014056820611416172
3,0.007476761902795723,0.005870939994255546
4,0.007012810658054698,0.008269962783914281
5,0.120169688929728,0.006577261850136736
6,0.01210401084869354,0.00916441482773889
7,0.017976914185090242,0.01322550645273302
8,0.01020069936167568,0.010734895424940596
9,0.005827365730088721,0.01576416554466774
10,0.00967311235053632,0.022407226264931374
11,0.009333599146014272,0.014559150456126949
12,0.012831230431845886,0.011717354407631223
13,0.013611958721277953,0.013316201231317836
14,0.00836826237712287,0.01134608067646403
15,0.00904467315081354,0.005268871816238674
16,0.01902034867782845,0.008017457465546624
17,0.008713940213451439,0.014092822591629264
18,0.014655578413760573,0.011524037073032447
19,0.01522676379446122,0.014325368831938147
20,0.015058025571920153,0.014536369435407774
21,0.011489490701356877,0.005642177361956162
22,0.006393063456044747,0.004972159110484681
23,0.011230813253084091,0.012047526009802231
24,0.0065110344995447655,0.013474532631145168
25,0.013665690671292152,0.007520953315255212
26,0.013370343875892123,0.008467682337808086
27,0.010035815771578919,0.007432124127867719
28,0.005864671084977874,0.014258873222284292
29,0.009495813353960743,0.015117395592898797
30,0.005345827090663785,0.008670910495729238
31,0.013747411396375501,0.01702346544885896
32,0.012223779115709573,0.003316511315903887
33,0.00579308199678996,0.0058881142266640684
34,0.010878925264885842,0.006446582505901458
35,0.013364199327948044,0.014241667863794482
36,0.036334092436954894,0.0041124482202936396
37,0.009412997118777694,0.01464207703305606
38,0.014082800221912299,0.013746475119749912
39,0.009756199028788356,0.01301024432588896
40,0.006990766257101111,0.005977730871536238
41,0.011132674599682812,0.007792159981636554
42,0.011821038492510448,0.013123581986387307
43,0.013872495444532722,0.01299596684647398
44,0.008576695566137526,0.015962288473190808
45,0.014915025669794132,0.01402739438076063
46,0.007697852353334335,0.011306978468502777
47,0.013848328785756895,0.014568742525575988
48,0.014084939715911045,0.12320298130094147
49,0.014220618435466598,0.0074555068133534234
50,0.008813509503911266,0.010153706895162335
