batch_idx,batch_size,batch_MSE_total,batch_RMSE_total,batch_MSE_inner,batch_RMSE_inner
2,8,0.004685430889630352,0.06845020737463366,0.004685430889630352,0.06845020737463366
-1,8,0.004685430889630352,0.061856496711680954,0.004685430889630352,0.061856496711680954
2,8,0.00534775996326259,0.07312838001256824,0.00534775996326259,0.07312838001256824
-1,8,0.00534775996326259,0.06274244467966564,0.00534775996326259,0.06274244467966564
2,8,0.00021817323081258595,0.014770688230836975,0.00021817323081258595,0.014770688230836975
-1,8,0.00021817323081258595,0.04656619205286834,0.00021817323081258595,0.04656619205286834
2,8,0.0030913883949938146,0.055600255350077434,0.0030913883949938146,0.055600255350077434
-1,8,0.0030913883949938146,0.08976652778605783,0.0030913883949938146,0.08976652778605783
2,8,0.004072760821582209,0.06381818566507676,0.004072760821582209,0.06381818566507676
-1,8,0.004072760821582209,0.09067299257145513,0.004072760821582209,0.09067299257145513
2,8,0.0034499627873070477,0.05873638384602041,0.0034499627873070477,0.05873638384602041
-1,8,0.0034499627873070477,0.05530983174259634,0.0034499627873070477,0.05530983174259634
2,8,0.009451167139530096,0.09721711340875173,0.009451167139530096,0.09721711340875173
-1,8,0.009451167139530096,0.07619714986346857,0.009451167139530096,0.07619714986346857
2,8,0.004770226563722173,0.06906682679638737,0.004770226563722173,0.06906682679638737
-1,8,0.004770226563722173,0.05281794083716207,0.004770226563722173,0.05281794083716207
2,8,0.005740351173895306,0.07576510525232118,0.005740351173895306,0.07576510525232118
-1,8,0.005740351173895306,0.06773901481239585,0.005740351173895306,0.06773901481239585
2,8,0.0008139639625763017,0.028530053672860513,0.0008139639625763017,0.028530053672860513
-1,8,0.0008139639625763017,0.056778439408812234,0.0008139639625763017,0.056778439408812234
2,8,0.0009871316730661844,0.03141865167486002,0.0009871316730661844,0.03141865167486002
-1,8,0.0009871316730661844,0.018916548153350865,0.0009871316730661844,0.018916548153350865
2,8,0.00040294350035739094,0.02007345262672545,0.00040294350035739094,0.02007345262672545
-1,8,0.00040294350035739094,nan,0.00040294350035739094,nan
2,8,0.0007418366313615689,0.027236678052977917,0.0007418366313615689,0.027236678052977917
-1,8,0.0007418366313615689,nan,0.0007418366313615689,nan
2,8,0.0008708981343665122,0.029510983283627,0.0008708981343665122,0.029510983283627
-1,8,0.0008708981343665122,0.05603466414871081,0.0008708981343665122,0.05603466414871081
2,8,0.003499064370438564,0.05915288978941404,0.003499064370438564,0.05915288978941404
-1,8,0.003499064370438564,0.055159684406238224,0.003499064370438564,0.055159684406238224
2,8,0.0008416072910008007,0.029010468644970228,0.0008416072910008007,0.029010468644970228
-1,8,0.0008416072910008007,0.057562670203894405,0.0008416072910008007,0.057562670203894405
2,8,0.004336028572411121,0.06584852748855605,0.004336028572411121,0.06584852748855605
-1,8,0.004336028572411121,0.0700389491763548,0.004336028572411121,0.0700389491763548
2,8,0.0016999712718904763,0.04123070787520482,0.0016999712718904763,0.04123070787520482
-1,8,0.0016999712718904763,0.0531926441548977,0.0016999712718904763,0.0531926441548977
2,8,0.011404630239981365,0.10679246340440586,0.011404630239981365,0.10679246340440586
-1,8,0.011404630239981365,0.09997019880647552,0.011404630239981365,0.09997019880647552
2,8,0.0009852242272118108,0.03138828168619319,0.0009852242272118108,0.03138828168619319
-1,8,0.0009852242272118108,0.048336404901836647,0.0009852242272118108,0.048336404901836647
2,8,0.007292516349576982,0.08539623147175161,0.007292516349576982,0.08539623147175161
-1,8,0.007292516349576982,0.07660865011974563,0.007292516349576982,0.07660865011974563
2,8,0.0025453024330425456,0.05045099040695381,0.0025453024330425456,0.05045099040695381
-1,8,0.0025453024330425456,0.061279316331281385,0.0025453024330425456,0.061279316331281385
2,8,0.008344014306245073,0.09134557628175036,0.008344014306245073,0.09134557628175036
-1,8,0.008344014306245073,0.105579139013007,0.008344014306245073,0.105579139013007
2,8,0.0008092611878069005,0.02844751637326008,0.0008092611878069005,0.02844751637326008
-1,8,0.0008092611878069005,0.05546844988953173,0.0008092611878069005,0.05546844988953173
2,8,0.0011922779115392476,0.03452937751450564,0.0011922779115392476,0.03452937751450564
-1,8,0.0011922779115392476,0.05627254975353512,0.0011922779115392476,0.05627254975353512
2,8,0.020349457662674066,0.1426515252728623,0.020349457662674066,0.1426515252728623
-1,8,0.020349457662674066,0.08389580782784666,0.020349457662674066,0.08389580782784666
2,8,0.33070071886635866,0.5750658387231489,0.33070071886635866,0.5750658387231489
-1,8,0.33070071886635866,0.6215968280237096,0.33070071886635866,0.6215968280237096
2,8,0.40913679548022364,0.6396380191016038,0.40913679548022364,0.6396380191016038
