rmse_total,rmse_inner,violation,case,model_id,run
0.06186386564527562,0.06186386564527562,0.0018479664577171206,softplus_eps,KKThPINN_softplus_eps,0
0.06934800960771842,0.06934800960771842,0.0013441514456644654,softplus_eps,KKThPINN_softplus_eps,1
0.05585279036884303,0.05585279036884303,0.0009614688460715115,softplus_eps,KKThPINN_softplus_eps,2
0.057253036380631776,0.057253036380631776,0.001005874597467482,softplus_eps,KKThPINN_softplus_eps,3
0.0648161132404092,0.0648161132404092,0.0008938494138419628,softplus_eps,KKThPINN_softplus_eps,4
0.05512440309238306,0.05512440309238306,0.001164533314295113,softplus_eps,KKThPINN_softplus_eps,5
0.06772657314553036,0.06772657314553036,0.00218563643284142,softplus_eps,KKThPINN_softplus_eps,6
0.0650021094849519,0.0650021094849519,0.0013921853387728333,softplus_eps,KKThPINN_softplus_eps,7
0.06234897867364201,0.06234897867364201,0.0012175970477983356,softplus_eps,KKThPINN_softplus_eps,8
0.058339908224350534,0.058339908224350534,0.0011681223986670375,softplus_eps,KKThPINN_softplus_eps,9
0.6407750194401372,0.6407750194401372,4.1498083191982005e-08,relu,KKThPINN_relu,0
0.03337581252302685,0.03337581252302685,0.0008850398589856923,relu,KKThPINN_relu,1
0.08488229730858325,0.08488229730858325,0.0009670894942246377,relu,KKThPINN_relu,2
0.06259551811459722,0.06259551811459722,0.0011793194571509957,relu,KKThPINN_relu,3
0.03392877942926091,0.03392877942926091,0.001236812793649733,relu,KKThPINN_relu,4
0.629953724420549,0.629953724420549,4.859588287331462e-08,relu,KKThPINN_relu,5
0.6145239305613984,0.6145239305613984,4.509524842433166e-08,relu,KKThPINN_relu,6
0.04762714366703298,0.04762714366703298,0.0011513856006786227,relu,KKThPINN_relu,7
0.032832595728554244,0.032832595728554244,0.0017365418607369065,relu,KKThPINN_relu,8
0.026617947791889512,0.026617947791889512,0.0012832705397158861,relu,KKThPINN_relu,9
