Temperature (T),Ca_raw,Cb_raw,kf,kr,kfCa_raw,krCb2_raw,eq1_residual,eq2_residual,converged,ier,positive_Ca,positive_Cb,both_positive,message
280.0,0.9983819803692776,0.0016180196307223895,0.00016206449795910834,0.0001189263589836798,1.0000000031134773,3.113477242608748e-10,0.0,2.168404344971009e-19,True,1,True,True,True,The solution converged.
281.60804020100505,0.9979830925878176,0.002016907412182411,0.0002020989447497893,0.0001447109431746786,1.000000005886719,5.886718901080721e-10,0.0,-4.336808689942018e-19,True,1,True,True,True,The solution converged.
283.21608040201005,0.9974923948401193,0.0025076051598806877,0.00025139201267460954,0.00017569397418707057,1.000000011047784,1.1047784043563594e-09,0.0,-4.336808689942018e-19,True,1,True,True,True,The solution converged.
284.8241206030151,0.9968903384191881,0.00310966158081194,0.00031193823863592194,0.0002128437939407261,1.0000000205819846,2.0581984545137357e-09,0.0,0.0,True,1,True,True,True,The solution converged.
286.4321608040201,0.996153590662867,0.003846409337132964,0.00038612995420543757,0.0002572940671091848,1.0000000380663094,3.806630933836615e-09,0.0,-1.9081958235744878e-17,True,1,True,True,True,The solution converged.
288.04020100502515,0.995254396601425,0.004745603398574954,0.0004768301765155025,0.00031036938315654074,1.0000000698975178,6.9897517874553034e-09,0.0,-3.9898639947466563e-17,True,1,True,True,True,The solution converged.
289.64824120603015,0.9941598592825599,0.005840140717440122,0.0005874576500433145,0.00037361440475367505,1.0000001274295751,1.274295751521654e-08,0.0,2.0816681711721685e-17,True,1,True,True,True,The solution converged.
291.2562814070352,0.9928311374277428,0.007168862572257227,0.0007220858578882052,0.0004488269933213136,1.000000230663819,2.3066381908974493e-08,0.0,-1.3010426069826053e-17,True,1,True,True,True,The solution converged.
292.8643216080402,0.9912225632558639,0.00877743674413615,0.0008855580610040263,0.0005380957869327319,1.000000414567267,4.1456726689524217e-08,0.0,3.642919299551295e-17,True,1,True,True,True,The solution converged.
294.47236180904525,0.989280689556432,0.010719310443568037,0.0010836206908054408,0.000643842753994325,1.0000007397986082,7.397986081760366e-08,-1.1102230246251565e-16,3.9898639947466563e-17,True,1,True,True,True,The solution converged.
296.08040201005025,0.9869432840828685,0.013056715917131489,0.0013230777171126646,0.0007688712982262398,1.000001310755109,1.310755108866015e-07,0.0,-4.5102810375396984e-17,True,1,True,True,True,The solution converged.
297.6884422110553,0.9841383018796646,0.015861698120335388,0.0016119689421968395,0.0009164205467135268,1.0000023056542282,2.3056542281655776e-07,0.0,-5.551115123125783e-17,True,1,True,True,True,The solution converged.
299.2964824120603,0.980782883178492,0.01921711682150795,0.001959775535573741,0.0010902265134196726,1.0000040261801189,4.0261801189279795e-07,0.0,0.0,True,1,True,True,True,The solution converged.
300.90452261306535,0.9767824469572793,0.023217553042720662,0.002377656526182735,0.0012945908957845067,1.0000069785539665,6.978553966540551e-07,0.0,0.0,True,1,True,True,True,The solution converged.
302.51256281407035,0.9720299789914527,0.027970021008547286,0.00287872041187944,0.0015344583321049822,1.000012004406267,1.2004406267088054e-06,0.0,0.0,True,1,True,True,True,The solution converged.
304.1206030150754,0.9664056486663596,0.03359435133364041,0.003478336534151768,0.0018155030225630495,1.000020489412028,2.0489412027997466e-06,1.1102230246251565e-16,-6.938893903907228e-18,True,1,True,True,True,The solution converged.
305.7286432160804,0.9597769304970182,0.04022306950298182,0.004194491402220503,0.0021442256972645964,1.0000346913272113,3.4691327211464003e-06,0.0,0.0,True,1,True,True,True,The solution converged.
307.33668341708545,0.9519994521020678,0.04800054789793217,0.005048195738982337,0.002528062000734724,1.0000582478782196,5.824787821966198e-06,0.0,-6.938893903907228e-18,True,1,True,True,True,The solution converged.
308.94472361809045,0.9429188354779329,0.05708116452206713,0.006063948665569924,0.002975503454226353,1.0000969496193044,9.694961930442888e-06,0.0,0.0,True,1,True,True,True,The solution converged.
310.5527638190955,0.9323738339308408,0.06762616606915915,0.007270266145819252,0.003496232255191707,1.0001598931315918,1.598931315918041e-05,0.0,-1.3877787807814457e-17,True,1,True,True,True,The solution converged.
312.1608040201005,0.9202010785868194,0.07979892141318062,0.008700281581023064,0.004101271277589141,1.000261163535484,2.611635354839799e-05,-1.1102230246251565e-16,5.551115123125783e-17,True,1,True,True,True,The solution converged.
313.76884422110555,0.9062417152635887,0.09375828473641136,0.010392427283604106,0.004803150747601289,1.0004222265360436,4.222265360436661e-05,0.0,1.3877787807814457e-17,True,1,True,True,True,The solution converged.
315.37688442211055,0.8903501082116639,0.10964989178833602,0.012391206470540459,0.005616093187072021,1.0006752284308515,6.75228430851633e-05,0.0,-4.163336342344337e-17,True,1,True,True,True,The solution converged.
316.9849246231156,0.8724045836911566,0.1275954163088434,0.014748066408528382,0.006556218341775926,1.001067391044974,0.00010673910449739658,1.1102230246251565e-16,0.0,True,1,True,True,True,The solution converged.
318.5929648241206,0.8523198630452818,0.1476801369547181,0.0175223844181507,0.00764176994375645,1.0016666259203317,0.00016666259203317404,0.0,-5.551115123125783e-17,True,1,True,True,True,The solution converged.
320.20100502512565,0.8300603946757817,0.16993960532421826,0.02078257960916275,0.00889336629664882,1.0025683570034065,0.0002568357003406623,0.0,0.0,True,1,True,True,True,The solution converged.
321.80904522613065,0.805653283289279,0.19434671671072104,0.024607364478974398,0.010334276820370032,1.003903323145096,0.00039033231450959986,0.0,2.7755575615628914e-17,True,1,True,True,True,The solution converged.
323.4170854271357,0.779199038967598,0.22080096103240196,0.02908715186733395,0.011990726847047963,1.00584584678091,0.0005845846780909922,0.0,-2.7755575615628914e-17,True,1,True,True,True,The solution converged.
325.0251256281407,0.7508780921171686,0.24912190788283145,0.03432563422804892,0.01389223312378248,1.00862175951586,0.000862175951586008,-1.1102230246251565e-16,5.551115123125783e-17,True,1,True,True,True,The solution converged.
326.63316582914575,0.7209511290198666,0.2790488709801334,0.040441553759534836,0.016071972650014376,1.0125149674424094,0.0012514967442409245,0.0,0.0,True,1,True,True,True,The solution converged.
328.24120603015075,0.6897519282622252,0.31024807173777474,0.04757068363636323,0.018567187658109892,1.0178716359315634,0.0017871635931563435,1.1102230246251565e-16,-5.551115123125783e-17,True,1,True,True,True,The solution converged.
329.8492462311558,0.6576725056229065,0.34232749437709353,0.055868042410368635,0.021419629735462423,1.0251012599856457,0.0025101259985645884,0.0,0.0,True,1,True,True,True,The solution converged.
331.4572864321608,0.6251417855012876,0.37485821449871237,0.06551036560890033,0.024676046285136956,1.0346744547571887,0.0034674454757188597,0.0,0.0,True,1,True,True,True,The solution converged.
333.06532663316585,0.5926003250618284,0.40739967493817164,0.07669886065639316,0.028388712730028774,1.047118022630333,0.004711802263033293,0.0,0.0,True,1,True,True,True,The solution converged.
334.67336683417085,0.5604744112534479,0.43952558874655207,0.08966227349047058,0.03261601408281798,1.063008510715619,0.006300851071561922,1.1102230246251565e-16,-5.551115123125783e-17,True,1,True,True,True,The solution converged.
336.2814070351759,0.5291528757379941,0.470847124262006,0.1046602976425455,0.037423079730843765,1.0829658504694677,0.008296585046946768,0.0,5.551115123125783e-17,True,1,True,True,True,The solution converged.
