model,NN
model_id,NN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,19
seed,19
loss_type,MSE
rmse_total,0.09850871293943667
violation,66.88857591897009
violation_original_nonlinear,67.87137322831545
violation_rxn,135.72793489007992
violation_mb,0.014811566550986888
prediction_time_sec,0.00035123107954859734
