model,NN
model_id,NN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,37
seed,37
loss_type,MSE
rmse_total,0.08498081458566069
violation,69.50142759721837
violation_original_nonlinear,69.17202693413108
violation_rxn,138.31712732814458
violation_mb,0.026926540117580566
prediction_time_sec,0.0003621270880103111
