model,NN
model_id,NN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,39
seed,39
loss_type,MSE
rmse_total,0.08467271525912014
violation,37.42285840875255
violation_original_nonlinear,36.89932768599476
violation_rxn,73.77822276432529
violation_mb,0.020432607664226273
prediction_time_sec,0.00036370614543557167
