model,NN
model_id,NN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,35
seed,35
loss_type,MSE
rmse_total,0.09942218889871339
violation,73.95696117308856
violation_original_nonlinear,72.36771737799263
violation_rxn,144.71887600381228
violation_mb,0.016558752172962574
prediction_time_sec,0.00036392221227288246
