model,NN
model_id,NN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,17
seed,17
loss_type,MSE
rmse_total,0.050773914745137004
violation,16.696397281981913
violation_original_nonlinear,20.564245315865268
violation_rxn,41.10990864672443
violation_mb,0.018581985006109848
prediction_time_sec,0.00036100437864661217
