model,NN
model_id,NN2D
input_dim,2
hidden_dim,32
hidden_num,2
z0_dim,3
optimizer,adam
epochs,1000
batch_size,16
lr,0.0001
mu_rxn,0.0
mu_mb,0.0
max_subiter,500
eta,0.8
sigma,2
mu_safe,1000000000.0
dtype,64
dataset_type,cstr
dataset_path,data.csv
val_ratio,0.2
job,experiment
eval_split,test
runs,1
run,3
seed,3
loss_type,MSE
rmse_total,0.07628904205879611
violation,39.647006089286855
violation_original_nonlinear,40.91446810084122
violation_rxn,81.76774822667467
violation_mb,0.06118797500776395
prediction_time_sec,0.0003716638311743736
