Ca,Cb,Cc
0.5434121829548949,0.49451153025172634,0.7800894650209054
0.2772199745494626,0.46626420160464244,0.8232456847714331
0.3371684214098105,0.4040982617144526,0.9182226999935987
0.9228114289558659,0.9814775238306707,0.036103664009779
0.218567979521863,0.4629766999506708,0.8282683241007047
0.7678162150796068,0.9045787555824013,0.15358946886338382
0.9487645793908932,0.9909005924198109,0.021707116150759494
0.5759174652869662,0.69024034232007,0.4810553251677377
0.6519953744816392,0.9154346399649835,0.13700386751840976
0.4291974877352316,0.3771712323220859,0.9593617688309878
0.8983531015984024,0.936653068811736,0.10458638870078557
0.9290134580515613,0.9794133956559069,0.03925723545776625
0.40515511694010287,0.595793109712725,0.6253516434552452
0.3454971013966605,0.41408023182588166,0.9029722633574323
0.36119168182825206,0.5179905140475656,0.7442183142699181
0.5549240959848014,0.5613721521183754,0.6779399228116572
0.918860139108797,0.9077977505239827,0.14867149397059543
0.3015972519866997,0.49548050660890586,0.7786090646217751
0.4785053396796455,0.37444103722110333,0.9635329561744739
0.44975548690823897,0.6730489898616658,0.5073202436587182
0.4389269842470038,0.3920419825025729,0.9366422624782988
0.4229818550392484,0.3920478704931253,0.9366332668165387
0.5849930977759713,0.8559313627808922,0.22791287127293258
0.5254397002382106,0.4957279623522256,0.7782310021660064
0.4215185192933379,0.37117783870913806,0.9685184652054778
0.5406128939277769,0.7819421065033554,0.3409535287802353
0.2832422606471836,0.4734819455839176,0.81221842802923
0.7820389136360374,0.9653010052449122,0.06081812106897738
0.34165854961198394,0.4094797057825253,0.9100009390731228
0.8988897919699531,0.9433100113320015,0.09441592345571717
0.27085806062082896,0.5192172875898542,0.742344051778176
0.6117519034200978,0.7331881192754631,0.4154397859696698
0.520538732716978,0.7578831106557021,0.377710820938744
0.33818045946687275,0.46790535273329353,0.820738336921417
0.5229723072462624,0.46196394373297406,0.8298156112948285
0.5097069153825873,0.6108866234526853,0.6022917993224611
0.31893436222907506,0.5162591313769102,0.7468635177134217
0.3566788949540371,0.5614961675133423,0.6777504523061623
0.48705173641851446,0.39916509087615776,0.9257595898504586
0.23037938314488918,0.46572862399831605,0.8240639393101186
0.7274073533135962,0.7377873378685982,0.4084131077741539
0.4643305496674254,0.42860433054373215,0.8807823705085717
0.3806885100614216,0.5502831331510579,0.6948817067711357
0.71023118175172,0.9852305846414608,0.030369744207622205
0.28603774663904874,0.47683235136995733,0.8070996838760334
0.3730932763915773,0.44715440377471466,0.8524416007760952
0.9206288347824713,0.9693643772039351,0.054610108432362824
0.2908950658183495,0.49117443499580626,0.7851878733692581
0.5146848206746398,0.5287167911154789,0.727830726755668
0.5995354369754832,0.8036104859993586,0.30784861614051223
0.30643011975311146,0.5623673983878067,0.6764193872861186
0.34821402601668033,0.4403523331324083,0.8628337925144914
0.800122919778208,0.9890131924703818,0.024590682522374768
0.3488187640649535,0.4180612633372684,0.8968900503140358
0.3586125425224143,0.42979916225949366,0.8789569086840453
0.4205113683331325,0.3699707625821062,0.9703626340203743
0.4433305643568956,0.3973196981922234,0.9285789775946579
0.39942215101096956,0.47870970904946736,0.8042314600669959
0.3675182582355551,0.4404727129554632,0.8626498764294608
0.4262876493441517,0.4072899594230085,0.9133464297660819
0.29842027884715827,0.491672886316845,0.7844263403048581
0.35583638639823933,0.42647192342928614,0.8840402584022639
