Temperature (T),Ca,Cb,Cc
280.0,0.9936625190650606,1.9873250381301213,0.019012442804818078
280.05478,0.9936154572382373,1.9872309144764746,0.019153628285288153
280.33057,0.993373641888542,1.986747283777084,0.0198790743343739
280.67172,0.9930628232113716,1.9861256464227433,0.020811530365885116
280.81946,0.9929240915761033,1.9858481831522066,0.02122772527169016
285.39572,0.9871364242563989,1.9742728485127978,0.038590727230803354
290.0,0.9773125293901612,1.9546250587803224,0.06806241182951643
290.8725,0.9748465253541307,1.9496930507082615,0.07546042393760762
292.13272,0.9708817536982788,1.9417635073965576,0.08735473890516367
292.73923,0.9687930538587528,1.9375861077175056,0.09362083842374146
294.58994,0.961635996124844,1.923271992249688,0.11509201162546819
294.5931,0.9616226348563935,1.923245269712787,0.11513209543081941
296.2654,0.9540607291316149,1.9081214582632298,0.13781781260515527
296.31708,0.9538095049700285,1.907619009940057,0.1385714850899145
297.14807,0.9496226476162187,1.8992452952324375,0.15113205715134387
298.2551,0.9436009867393513,1.8872019734787027,0.1691970397819461
298.70145,0.9410263646064047,1.8820527292128093,0.17692090618078588
300.0,0.9330482674089783,1.8660965348179566,0.20085519777306496
301.13278,0.9254891890505205,1.850978378101041,0.22353243284843854
304.97134,0.8957604262713846,1.7915208525427693,0.3127187211858461
307.0262,0.8773924952615488,1.7547849905230977,0.3678225142153534
311.98846,0.8274515503928207,1.6549031007856414,0.517645348821538
315.3471,0.7908099863923147,1.5816199727846294,0.6275700408230559
316.9075,0.7734911316098441,1.5469822632196881,0.6795266051704678
320.0,0.7393400765138014,1.4786801530276028,0.7819797704585958
321.65845,0.7214049312684716,1.4428098625369432,0.8357852061945853
324.61542,0.6906014512285884,1.3812029024571768,0.9281956463142347
325.88757,0.6779377268592941,1.3558754537185882,0.9661868194221177
326.01837,0.6766581503827163,1.3533163007654325,0.9700255488518511
326.82498,0.6688667366154581,1.3377334732309163,0.9933997901536256
327.4217,0.6632145028429872,1.3264290056859744,1.0103564914710383
334.52716,0.6039063003041599,1.2078126006083199,1.18828109908752
339.2334,0.5729630444385669,1.1459260888771339,1.2811108666842992
339.8884,0.5691559931726693,1.1383119863453386,1.2925320204819923
340.0,0.5685190396540675,1.137038079308135,1.2944428810377977
342.70193,0.5540842361242883,1.1081684722485765,1.3377472916271356
346.20483,0.537970562488144,1.075941124976288,1.3860883125355679
346.43738,0.5369949948007265,1.0739899896014533,1.3890150155978203
346.75824,0.5356673638556778,1.0713347277113556,1.3929979084329662
347.1559,0.5340503359809916,1.0681006719619832,1.3978489920570252
347.77844,0.5315808833772754,1.063161766754551,1.4052573498681737
347.83237,0.5313704893093165,1.062740978618633,1.4058885320720504
349.7167,0.5243525041741091,1.0487050083482181,1.4269424874776728
350.0,0.5233511891315527,1.0467023782631053,1.429946432605342
350.50708,0.5215925660535202,1.0431851321070404,1.4352223018394394
351.4306,0.5184967150337786,1.0369934300675572,1.4445098548986643
351.886,0.5170188712908079,1.0340377425816158,1.4489433861275762
353.76892,0.5112300848009907,1.0224601696019815,1.4663097455970278
354.42978,0.5093137447850464,1.0186274895700933,1.4720587656448603
357.78976,0.5003923544591332,1.0007847089182658,1.4988229366226011
358.68088,0.49823338369039544,0.9964667673807911,1.5052998489288134
360.0,0.4951792542405586,0.9903585084811167,1.5144622372783247
362.08084,0.4906738366665711,0.9813476733331418,1.527978490000287
362.3427,0.490131962908752,0.9802639258175035,1.5296041112737444
363.36063,0.4880744436211443,0.9761488872422881,1.5357766691365677
366.01117,0.48305387755914025,0.9661077551182817,1.550838367322578
369.0863,0.4777563985902723,0.955512797180544,1.5667308042291836
369.22568,0.4775280468112798,0.9550560936225607,1.5674158595661596
369.57477,0.4769603644510148,0.9539207289020307,1.5691189066469544
373.44467,0.4710281652141967,0.9420563304283938,1.5869155043574095
378.01358,0.46473753498608267,0.9294750699721656,1.6057873950417518
380.0,0.46219654645082214,0.9243930929016444,1.6134103606475334
384.9275,0.4562987674729342,0.9125975349458688,1.631103697581197
391.48392,0.4491583474340208,0.8983166948680462,1.652524957697933
391.85297,0.4487760418915686,0.8975520837831436,1.6536718743252878
393.30576,0.4472888072503067,0.8945776145006162,1.6581335782490771
395.05936,0.4455293183048848,0.8910586366097725,1.6634120450853427
395.61096,0.4449832619782798,0.8899665239565625,1.6650502140651577
400.0,0.44076044342709525,0.8815208868541926,1.6777186697187123
401.81506,0.43907126918009015,0.8781425383601823,1.6827861924597276
402.1099,0.43879972408508894,0.8775994481701798,1.6836008277447314
403.97028,0.43710470057649314,0.8742094011529882,1.6886858982705186
403.9903,0.4370867060559984,0.8741734121119987,1.688739881832003
405.9739,0.4353123380832718,0.8706246761665452,1.6940629857501832
407.30222,0.43414217464606275,0.8682843492921266,1.6975734760618106
408.09103,0.4334536226685955,0.8669072453371922,1.6996391319942123
408.80756,0.4328322165868742,0.8656644331737501,1.7015033502393757
409.99792,0.43180859349427525,0.8636171869885523,1.7045742195171725
410.0,0.4318067625578775,0.8636135251157567,1.7045797123263657
411.60666,0.43044106835188173,0.8608821367037651,1.708676794944353
412.58215,0.42962074127467886,0.8592414825493592,1.7111377761759619
413.4399,0.4289046845518932,0.8578093691037879,1.7132859463443189
418.5431,0.42474160685569584,0.8494832137113925,1.7257751794329117
418.84225,0.4245025422780568,0.8490050845561142,1.726492373165829
419.0918,0.4243036202958316,0.8486072405916639,1.7270891391125043
420.0,0.4235822198725932,0.8471644397451872,1.7292533403822197
422.29865,0.4217776205537506,0.8435552411075012,1.734667138338748
428.29312,0.41720485775913363,0.8344097155182649,1.7483854267226016
428.50458,0.4170468489099431,0.8340936978198837,1.7488594532701733
429.2009,0.4165284571877184,0.8330569143754345,1.750414628436847
429.94846,0.4159745741786124,0.8319491483572232,1.7520762774641643
430.0,0.41593643909890066,0.8318728781977998,1.7521906827032996
430.58624,0.4155039532890119,0.831007906578022,1.753488140132966
432.40427,0.4141735295194801,0.8283470590389879,1.7574794114415322
434.22287,0.41285782299801477,0.8257156459960564,1.7614265310059287
434.5803,0.4126011608302041,0.8252023216603208,1.7621965175094751
434.68967,0.4125227124003904,0.8250454248008071,1.7624318627988025
435.15457,0.4121898123980882,0.8243796247962031,1.7634305628057088
435.71573,0.4117894181626775,0.8235788363253813,1.7646317455119411
438.6412,0.40972408462635973,0.8194481692527451,1.7708277461208952
438.97888,0.40948808503956846,0.8189761700792823,1.7715357448811493
439.90192,0.408845592890053,0.8176911857802523,1.7734632213296946
440.0,0.4087774319720176,0.8175548639440784,1.7736677040839042
440.29413,0.4085734558332955,0.8171469116666418,1.7742796325000627
442.97528,0.4067321483925112,0.8134642967850749,1.7798035548224136
444.64746,0.40559842159057863,0.8111968431812127,1.7832047352282085
445.3226,0.40514396934085756,0.8102879386818691,1.7845680919772733
449.59976,0.4023062544398379,0.8046125088798421,1.79308123668032
450.0,0.402044242194207,0.8040884843883539,1.793867273417439
456.0376,0.3981660327546727,0.796332065509273,1.8055019017360543
456.44748,0.3979074972118737,0.7958149944236744,1.806277508364452
457.2728,0.39738874946035946,0.794777498920647,1.8078337516189935
457.7987,0.39705957845829887,0.7941191569162966,1.8088212646254045
458.4706,0.3966403195629531,0.7932806391260597,1.810079041310987
458.5485,0.39659175564540416,0.7931835112908796,1.8102247330637162
459.1442,0.396221627519195,0.7924432550384586,1.8113351174423464
459.35852,0.39608871244758376,0.7921774248952357,1.8117338626571806
459.45258,0.39603066640725504,0.7920613328145782,1.8119080007781667
459.6239,0.395924526822622,0.7918490536453122,1.8122264195320656
460.0,0.3956922263214991,0.791384452643066,1.812923321035435
