0,1,2,3,4
0.4375,1.0,0.7223452255983812,1.607587316368658e-05,5.528181851469323e-06
0.43812625250501,0.9842141185337323,0.7278240598099173,1.638498922338435e-05,5.837301171680293e-06
0.43875250501002006,0.9688878212747941,0.7331433853057965,1.670731972929973e-05,6.159635077492999e-06
0.4393787575150301,0.9540109623863647,0.7383067234198126,1.7043293998418122e-05,6.4956128904212406e-06
0.44000501002004005,0.9395731833062816,0.7433176693167265,1.7393355026414603e-05,6.845677610812753e-06
0.4406312625250501,0.9255639631752218,0.7481798744900645,1.7757959980039146e-05,7.210286410239622e-06
0.44125751503006017,0.9119726652680793,0.7528970306470998,1.8137580693239627e-05,7.58991112762657e-06
0.44188376753507014,0.8987885795597133,0.7574728549354787,1.8532704167302353e-05,7.985038769396722e-06
0.44251002004008017,0.8860009615740763,0.7619110764597868,1.8943833075344167e-05,8.396172013969058e-06
0.44313627254509014,0.8735990676792265,0.7662154240316432,1.9371486271529666e-05,8.823829720980985e-06
0.4437625250501002,0.8615721870004877,0.7703896150935451,1.9816199305425077e-05,9.268547445647615e-06
0.44438877755511025,0.8499096701303757,0.7744373457544605,2.027852494192662e-05,9.730877958695638e-06
0.4450150300601202,0.8386009548175588,0.7783622818739151,2.0759033687225155e-05,1.0211391772333573e-05
0.44564128256513025,0.8276355888181759,0.7821680511309447,2.1258314321283017e-05,1.0710677672734107e-05
0.4462675350701403,0.8170032500919419,0.7858582360145958,2.1776974437313723e-05,1.1229343259519565e-05
0.4468937875751503,0.806693764522788,0.7894363676735923,2.2315640988760888e-05,1.1768015492746561e-05
0.4475200400801603,0.7966971213397475,0.79290592056418,2.287496084427891e-05,1.232734124789261e-05
0.44814629258517036,0.787003486408619,0.7962703078369652,2.3455601351217694e-05,1.290798787934669e-05
0.4487725450901804,0.77760321355885,0.7995328774056739,2.4058250908114305e-05,1.3510643792906983e-05
0.44939879759519036,0.7684868541033388,0.8026969086430962,2.468361954669078e-05,1.4136019027784848e-05
0.4500250501002004,0.7596451647016914,0.8057656096519714,2.53324395238531e-05,1.4784845848610029e-05
0.4506513026052105,0.7510691137098384,0.8087421150612162,2.6005465924180513e-05,1.545787934792627e-05
0.4512775551102205,0.7427498861512195,0.8116294843005656,2.6703477273387354e-05,1.6155898059659705e-05
0.4519038076152305,0.7346788874369596,0.814430700309405,2.742727616323443e-05,1.6879704584036798e-05
0.4525300601202405,0.7268477459546122,0.8171486686382909,2.8177689888355412e-05,1.7630126224417348e-05
0.4531563126252505,0.7192483146374077,0.819786216904309,2.895557109545988e-05,1.8408015636504567e-05
0.4537825651302605,0.7118726716183891,0.8223460945640411,2.9761798445363908e-05,1.921425149038252e-05
0.4544088176352705,0.7047131200665069,0.8248309729704529,3.059727728829319e-05,2.0049739145826404e-05
0.4550350701402806,0.6977621872947275,0.8272434456824452,3.146294035289383e-05,2.0915411341320616e-05
0.4556613226452906,0.6910126232233788,0.8295860289981808,3.235974844938047e-05,2.1812228897214283e-05
0.4562875751503006,0.6844573982755334,0.8318611626855404,3.328869118724413e-05,2.274118143343672e-05
0.4569138276553106,0.6780897007750826,0.8340712108851759,3.425078770793396e-05,2.37032881021868e-05
0.4575400801603206,0.6719029339122763,0.8362184631636864,3.524708743292314e-05,2.4699598336006865e-05
0.4581663326653306,0.6658907123361205,0.8383051356963015,3.6278670827560114e-05,2.573119261164197e-05
0.4587925851703406,0.6600468584277265,0.8403333725602956,3.734665018110805e-05,2.679918323008755e-05
0.4594188376753506,0.6543653983039998,0.8423052471219963,3.845217040336038e-05,2.7904715113213385e-05
0.46004509018036077,0.6488405575964366,0.8442227635018429,3.9596409838225747e-05,2.904896661735712e-05
0.46067134268537074,0.6434667570456433,0.8460878581034064,4.07805810946663e-05,3.0233150364271337e-05
0.46129759519038077,0.6382386079482523,0.8479024011936357,4.2005931895373526e-05,3.1458514089808344e-05
0.46192384769539074,0.6331509074892828,0.8496681985228641,4.327374594355984e-05,3.272634151072085e-05
0.4625501002004009,0.6281986339896303,0.8513869929742705,4.4585343808244624e-05,3.403795320995744e-05
0.4631763527054109,0.6233769420952971,0.8530604662335629,4.5942083828410266e-05,3.539470754082807e-05
0.4638026052104209,0.6186811579320618,0.8546902404706556,4.734536303640494e-05,3.679800155041661e-05
0.4644288577154309,0.6141067742467434,0.8562778800259995,4.8796618100963484e-05,3.824927192261167e-05
0.4650551102204409,0.6096494455537034,0.8578248930950938,5.0297326290220737e-05,3.9749995941130126e-05
0.4656813627254509,0.6053049833031572,0.8593327334054295,5.184900645509343e-05,4.130169247290931e-05
0.4663076152304609,0.60106935108569,0.8608028018808663,5.3453220033400386e-05,4.290592297223792e-05
0.46693386773547096,0.5969386598857096,0.8622364482890257,5.5111572075098727e-05,4.45642925060029e-05
0.467560120240481,0.5929091633947434,0.8636349728679126,5.682571228900968e-05,4.627845080042636e-05
0.46818637274549096,0.5889772533940636,0.8649996279284766,5.859733611141285e-05,4.805009330967112e-05
0.468812625250501,0.5851394552147247,0.8663316194303047,6.042818579688537e-05,4.988096230669141e-05
