0,1,2,3
0.3333333333333333,0.20724793822191737,1.0,0.5388074987407004
0.33339418889266664,0.2073011581876031,0.9999396363422598,0.5388807975907953
0.33370061412266666,0.20756921491981167,0.9996357938805704,0.5392497497697303
0.33396265935866665,0.2077985530369702,0.9993760974788934,0.5395650959288145
0.3340796794513334,0.2079009983747686,0.9992601680065472,0.5397058676668633
0.3342438560873333,0.20804475928847788,0.9990975648900885,0.5399033146391713
0.33609518392200005,0.20966848174329866,0.997267485223295,0.542125557958734
0.33723679156866665,0.21067212569371593,0.9961421842378541,0.5434919971595888
0.3393285936393333,0.21251584727132775,0.9940865885362816,0.5459880818374465
0.3399935975673333,0.21310325948599004,0.9934348066904651,0.5467795325480136
0.34272638269333333,0.21552362981088288,0.990765003193147,0.5500214422277472
0.34444444444466665,0.21705057332089803,0.9890936396862359,0.5520509584587548
0.3453658048946667,0.21787111965456674,0.9881995752795613,0.5531366099148322
0.34541388869933337,0.21791397432133083,0.9881529591195858,0.5531932153468081
0.34681412835066666,0.21916333348050474,0.9867973323573919,0.5548393363167137
0.34700855803266667,0.21933702600843405,0.9866093836298722,0.5550675601540306
0.34748803749600005,0.21976558801135757,0.9861461847381,0.5556300168937818
0.3477153224793333,0.21996884721440257,0.9859267652264675,0.5558964553187064
0.348236098104,0.22043484025563448,0.9854243705744242,0.5565065069899777
0.349544368022,0.22160712865816254,0.9841644787354914,0.5580363782153908
0.3495478988093333,0.2216102956288185,0.9841610827705806,0.558040501893979
0.35140600531533334,0.22327930657053277,0.9823771030295505,0.5602067666384454
0.35146341231399997,0.22333094652108737,0.9823220870520316,0.5602735718659604
0.352386761702,0.22416215507535542,0.9814380247352016,0.5613470779068723
0.35251508716333335,0.22427776699798763,0.9813152828322663,0.561496121895928
0.353616790606,0.22527124487450484,0.980262754330775,0.5627741943610389
0.35411272052866666,0.2257189964605764,0.9797896840837665,0.5633486377665224
0.35555555555533336,0.2270235644448472,0.9784159067993026,0.5650167986932633
0.3574225631906667,0.22871584703239228,0.9766438827750726,0.5671685457572858
0.35855770011133337,0.22974705703343026,0.9755695898941305,0.5684730464417348
0.36060350207866665,0.23160994748833205,0.9736393370268035,0.5708169288515098
0.3624498194566667,0.2332960246717238,0.9719037915020868,0.572924380520462
0.3627082086906666,0.2335323536910718,0.9716613946684357,0.5732187200260244
0.3630646939,0.2338585506331597,0.9713271705371278,0.57362456429418
0.3635065599266667,0.23426311054172347,0.9709132145564139,0.5741272259702953
0.364081723428,0.23479010553806995,0.9703749064309001,0.5747808869324357
0.364198253866,0.23489693078781526,0.9702659154368454,0.5749132333612964
0.364258200012,0.23495189142166076,0.9702098572658002,0.5749813041116423
0.36635189686266667,0.23687447559175295,0.9682559963194851,0.5773538535225169
0.3666666666666667,0.23716402589775484,0.9679629285689751,0.5777097221016652
0.36723009605533335,0.23768264270031134,0.9674387876472019,0.5783461800018622
0.36825621846066664,0.23862823750280623,0.9664856744827142,0.5795035336411607
0.3687622228933333,0.23909504726731853,0.9660163641857183,0.5800734113854059
0.3694041587706667,0.23968774859483938,0.9654216364443493,0.5807955819958974
0.37001020613933333,0.24024781562171008,0.9648608312271834,0.5814765609008248
0.37078982187733334,0.240968998255256,0.9641403752803178,0.5823514017309877
0.37085437179066666,0.24102874615113618,0.9640807720380956,0.5824237772178342
0.37158862978199997,0.241708768940511,0.9634033032897567,0.5832464192194511
0.37405875883666667,0.24400167034931658,0.9611312332419935,0.5860053660439181
0.37532195187466666,0.24517733719287796,0.959973493260071,0.5874111955207987
0.37533943004466663,0.24519361901722347,0.9599574939335689,0.5874306233069666
0.3763120781326667,0.2461003234000837,0.9590679907843436,0.5885107360840016
