Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00057,0.0037
2,0.00075,0.00046
3,0.00062,0.00735
4,0.00056,0.00046
5,0.00147,0.0005
6,0.0007,0.0014
7,0.00065,0.00044
8,0.00357,0.00204
9,0.00056,0.00051
10,0.00936,0.00344
11,0.00044,0.00054
12,0.00083,0.00121
13,0.0006,0.00044
14,0.00105,0.00116
15,0.00033,0.0004
16,0.00074,0.00035
17,0.00061,0.00045
18,0.00077,0.00116
19,0.00063,0.0004
20,0.00168,0.00051
21,0.00183,0.00083
22,0.00038,0.00058
23,0.00061,0.00087
24,0.00036,0.00045
25,0.00057,0.00055
26,0.00545,0.00049
27,0.00697,0.00101
28,0.00716,0.00223
29,0.00079,0.00076
30,0.00288,0.00072
