Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.07821,0.05371
2,0.07824,0.05164
3,0.08058,0.05071
4,0.07906,0.05433
5,0.07612,0.05428
6,0.0779,0.04856
7,0.07828,0.04134
8,0.08103,0.05022
9,0.07881,0.05286
10,0.07351,0.04814
11,0.07316,0.05325
12,0.07967,0.05475
13,0.07973,0.05087
14,0.07739,0.05281
15,0.07923,0.05392
16,0.07807,0.05118
17,0.07788,0.05126
18,0.08139,0.05062
19,0.07356,0.04304
20,0.07916,0.04675
21,0.07457,0.05255
22,0.07794,0.05284
23,0.07618,0.0538
24,0.07873,0.05474
25,0.07587,0.05361
26,0.0775,0.0419
27,0.07494,0.05349
28,0.07639,0.05434
29,0.07859,0.05104
30,0.07608,0.05495
31,0.07735,0.05483
32,0.07436,0.05214
33,0.07932,0.05202
34,0.07645,0.05409
35,0.08,0.05205
36,0.08039,0.04535
37,0.07713,0.04968
38,0.07969,0.05399
39,0.07792,0.05192
40,0.07739,0.05107
41,0.07445,0.05313
42,0.07561,0.05497
43,0.07908,0.05052
44,0.07831,0.05171
45,0.07913,0.05082
46,0.07839,0.05292
47,0.07856,0.05217
48,0.07915,0.0522
49,0.07982,0.04826
50,0.0789,0.05396
