Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.04911,0.02219
2,0.05586,0.02722
3,0.05552,0.02981
4,0.05968,0.01869
5,0.05141,0.01742
6,0.06291,0.03314
7,0.05705,0.02071
8,0.06293,0.02144
9,0.05569,0.02851
10,0.05786,0.03149
11,0.05846,0.01691
12,0.06167,0.01293
13,0.05674,0.04131
14,0.05238,0.03423
15,0.05458,0.03816
16,0.06019,0.03612
17,0.04696,0.03018
18,0.06202,0.03772
19,0.06113,0.0313
20,0.05678,0.02729
21,0.06388,0.03372
22,0.04246,0.03115
23,0.05669,0.033
24,0.04517,0.02939
25,0.05492,0.02406
26,0.05605,0.01988
27,0.0533,0.03612
28,0.03436,0.02564
29,0.0585,0.02229
30,0.05748,0.04253
31,0.06155,0.03074
32,0.04939,0.04314
33,0.04528,0.03208
34,0.04901,0.04095
35,0.05344,0.01708
36,0.04675,0.0297
37,0.05639,0.01394
38,0.06235,0.03971
39,0.06024,0.02455
40,0.04916,0.03505
41,0.06131,0.02189
42,0.05472,0.02906
43,0.0569,0.02372
44,0.05521,0.0323
45,0.04712,0.03584
46,0.06009,0.0296
47,0.04526,0.03972
48,0.06501,0.03669
49,0.02937,0.0391
50,0.0534,0.0414
