Temperature (T),v_region_1
280.0,3.06825164386737e-06
280.45112781954884,3.0701384616804717e-06
280.90225563909775,3.0720427304231634e-06
281.3533834586466,3.0739469991658552e-06
281.8045112781955,3.075851267908547e-06
282.25563909774434,3.077755536651239e-06
282.70676691729324,3.0796598196047853e-06
283.1578947368421,3.0815640741366224e-06
283.609022556391,3.083468342879314e-06
284.0601503759398,3.085372611622006e-06
284.5112781954887,3.0872768803646977e-06
284.9624060150376,3.0891811491073895e-06
285.4135338345865,3.0910854178500813e-06
285.8646616541353,3.092989686592773e-06
286.3157894736842,3.094893955335465e-06
286.76691729323306,3.0967982240781566e-06
287.21804511278197,3.098702507031703e-06
287.6691729323308,3.10060676156354e-06
288.1203007518797,3.1025110160953773e-06
288.57142857142856,3.1044152990489238e-06
289.02255639097746,3.106319553580761e-06
289.4736842105263,3.1082238365343073e-06
289.9248120300752,3.110128105276999e-06
290.37593984962405,3.112032374019691e-06
290.82706766917295,3.113936628551528e-06
291.2781954887218,3.1158409115050745e-06
291.7293233082707,3.1177451660369115e-06
292.18045112781954,3.1196494347796033e-06
292.63157894736844,3.121553703522295e-06
293.0827067669173,3.1234579864758416e-06
293.5338345864662,3.1253622410076787e-06
293.98496240601503,3.127266523961225e-06
294.43609022556393,3.129170792703917e-06
294.8872180451128,3.131075047235754e-06
295.3383458646617,3.132979315978446e-06
295.7894736842105,3.134883570510283e-06
296.2406015037594,3.1367878534638294e-06
296.69172932330827,3.138692122206521e-06
297.14285714285717,3.140596390949213e-06
297.593984962406,3.1425006596919047e-06
298.0451127819549,3.1444049284345965e-06
298.49624060150376,3.1463091971772883e-06
298.9473684210526,3.14821346591998e-06
299.3984962406015,3.150117734662672e-06
299.8496240601504,3.1520220034053636e-06
300.30075187969925,3.1539262579372007e-06
300.7518796992481,3.1558305408907472e-06
301.203007518797,3.1577347954225843e-06
301.65413533834584,3.1596390783761308e-06
302.10526315789474,3.161543332907968e-06
302.5563909774436,3.1634476158615144e-06
303.0075187969925,3.1653518703933514e-06
303.45864661654133,3.167256153346898e-06
303.90977443609023,3.169160407878735e-06
304.3609022556391,3.1710646766214268e-06
304.812030075188,3.1729689453641186e-06
305.2631578947368,3.174873228317665e-06
305.7142857142857,3.176777482849502e-06
306.16541353383457,3.1786817658030486e-06
306.61654135338347,3.1805860203348857e-06
307.0676691729323,3.182490303288432e-06
307.5187969924812,3.1843945578202693e-06
307.96992481203006,3.186298826562961e-06
308.42105263157896,3.188203095305653e-06
308.8721804511278,3.1901073640483446e-06
309.3233082706767,3.1920116327910364e-06
309.77443609022555,3.1939158873228735e-06
310.22556390977445,3.19582017027642e-06
310.6766917293233,3.1977244390191117e-06
311.1278195488722,3.1996287077618035e-06
311.57894736842104,3.2015329765044953e-06
312.03007518796994,3.203437245247187e-06
312.4812030075188,3.205341499779024e-06
312.9323308270677,3.2072457827325707e-06
313.38345864661653,3.2091500514752624e-06
313.83458646616543,3.2110543202179542e-06
314.2857142857143,3.212958588960646e-06
314.7368421052632,3.214862857703338e-06
315.187969924812,3.216767112235175e-06
315.6390977443609,3.2186713951887214e-06
316.09022556390977,3.2205756497205584e-06
316.5413533834586,3.222479932674105e-06
316.9924812030075,3.2243842014167967e-06
317.4436090225564,3.2262884701594885e-06
317.89473684210526,3.2281927246913256e-06
318.3458646616541,3.230097007644872e-06
318.796992481203,3.232001262176709e-06
319.2481203007519,3.2339055451302556e-06
319.69924812030075,3.2358097996620927e-06
320.1503759398496,3.2377140684047845e-06
320.6015037593985,3.2396183371474763e-06
321.05263157894734,3.241522605890168e-06
321.50375939849624,3.24342687463286e-06
321.9548872180451,3.2453311433755516e-06
322.406015037594,3.2472354121182434e-06
322.85714285714283,3.249139680860935e-06
323.30827067669173,3.251043949603627e-06
323.7593984962406,3.252948204135464e-06
324.2105263157895,3.2548524870890105e-06
324.6616541353383,3.2567567558317023e-06
325.1127819548872,3.258661024574394e-06
325.56390977443607,3.260565293317086e-06
326.01503759398497,3.2624695620597777e-06
326.4661654135338,3.2643738165916147e-06
326.9172932330827,3.2662780995451612e-06
327.36842105263156,3.2681823540769983e-06
327.81954887218046,3.27008662281969e-06
328.2706766917293,3.271990891562382e-06
328.7218045112782,3.2738951745159284e-06
329.17293233082705,3.2757994290477654e-06
329.62406015037595,3.277703712001312e-06
330.0751879699248,3.279607966533149e-06
330.5263157894737,3.281512235275841e-06
330.97744360902254,3.2834165040185326e-06
331.42857142857144,3.2853207727612244e-06
331.8796992481203,3.287225041503916e-06
332.3308270676692,3.289129310246608e-06
332.78195488721803,3.2910335789892997e-06
333.23308270676694,3.2929378335211368e-06
333.6842105263158,3.2948421164746833e-06
334.1353383458647,3.296746385217375e-06
334.5864661654135,3.298650653960067e-06
335.0375939849624,3.3005549227027586e-06
335.4887218045113,3.3024591914454504e-06
335.9398496240601,3.304363460188142e-06
336.390977443609,3.306267728930834e-06
336.8421052631579,3.308171983462671e-06
337.29323308270676,3.3100762664162175e-06
337.7443609022556,3.3119805351589093e-06
338.1954887218045,3.313884803901601e-06
338.6466165413534,3.315789058433438e-06
339.09774436090225,3.3176933413869847e-06
339.5488721804511,3.3195975959188218e-06
340.0,3.3215018788723683e-06
340.45112781954884,3.3234061334042053e-06
340.90225563909775,3.325310402146897e-06
341.3533834586466,3.327214670889589e-06
341.8045112781955,3.3291189538431354e-06
342.25563909774434,3.3310232083749725e-06
342.70676691729324,3.3329274771176642e-06
343.1578947368421,3.334831745860356e-06
343.609022556391,3.336736014603048e-06
344.0601503759398,3.3386402833457396e-06
344.5112781954887,3.3405445520884314e-06
344.9624060150376,3.342448820831123e-06
345.4135338345865,3.3443530753629602e-06
345.8646616541353,3.3462573583165067e-06
346.3157894736842,3.3481616270591985e-06
346.76691729323306,3.3500658958018903e-06
347.21804511278197,3.351970164544582e-06
347.6691729323308,3.353874433287274e-06
348.1203007518797,3.3557787020299656e-06
348.57142857142856,3.3576829707726574e-06
349.02255639097746,3.359587239515349e-06
349.4736842105263,3.361491508258041e-06
349.9248120300752,3.363395762789878e-06
350.37593984962405,3.3653000457434246e-06
350.82706766917295,3.3672043144861163e-06
351.2781954887218,3.369108583228808e-06
351.7293233082707,3.371012837760645e-06
352.18045112781954,3.372917106503337e-06
352.63157894736844,3.3748213752460288e-06
353.0827067669173,3.3767256439887205e-06
353.5338345864661,3.3786299127314123e-06
353.98496240601503,3.380534181474104e-06
354.43609022556393,3.382438450216796e-06
354.8872180451128,3.3843427189594877e-06
355.3383458646616,3.3862469877021795e-06
355.7894736842105,3.3881512564448713e-06
356.2406015037594,3.390055525187563e-06
356.69172932330827,3.391959793930255e-06
357.1428571428571,3.3938640626729466e-06
357.593984962406,3.3957683314156384e-06
358.0451127819549,3.39767260015833e-06
358.49624060150376,3.399576868901022e-06
358.9473684210526,3.4014811376437137e-06
359.3984962406015,3.403385392175551e-06
359.8496240601504,3.4052896751290973e-06
360.30075187969925,3.407193943871789e-06
360.7518796992481,3.409098212614481e-06
361.203007518797,3.411002467146318e-06
361.6541353383459,3.4129067500998644e-06
362.10526315789474,3.4148110046317015e-06
362.5563909774436,3.4167054394629304e-06
363.0075187969925,3.418413356826022e-06
363.45864661654133,3.4199672143131465e-06
363.90977443609023,3.4213864523735538e-06
364.3609022556391,3.4228057046448157e-06
364.812030075188,3.4242249569160776e-06
365.2631578947368,3.425644194976485e-06
365.7142857142857,3.427063447247747e-06
366.16541353383457,3.4284826995190087e-06
366.61654135338347,3.429901937579416e-06
367.0676691729323,3.4313212040615326e-06
367.5187969924812,3.43274044212194e-06
367.96992481203006,3.434159694393202e-06
368.42105263157896,3.4355789466644637e-06
368.8721804511278,3.4369981989357257e-06
