Temperature (T),v_region_1,v_region_2,v_region_3
280.0,2.6448282675062273e-07,,
280.45112781954884,2.6474556058531107e-07,,
280.90225563909775,2.6500829264364256e-07,,
281.3533834586466,2.652710255901525e-07,,
281.8045112781955,2.6553375764848397e-07,,
282.25563909774434,2.657964914831723e-07,,
282.70676691729324,2.660592235415038e-07,,
283.1578947368421,2.6632195737619213e-07,,
283.609022556391,2.665846894345236e-07,,
284.0601503759398,2.6684742238103354e-07,,
284.5112781954887,2.6711015532754345e-07,,
284.9624060150376,2.6737288827405337e-07,,
285.4135338345865,2.676356212205633e-07,,
285.8646616541353,2.678983532788948e-07,,
286.3157894736842,2.681610871135831e-07,,
286.76691729323306,2.684238191719146e-07,,
287.21804511278197,2.686865521184245e-07,,
287.6691729323308,2.6894928506493443e-07,,
288.1203007518797,2.6921201801144434e-07,,
288.57142857142856,2.6947475095795426e-07,,
289.02255639097746,2.6973748301628575e-07,,
289.4736842105263,2.7000021507461724e-07,,
289.9248120300752,2.702629489093056e-07,,
290.37593984962405,2.705256827439939e-07,,
290.82706766917295,2.707884148023254e-07,,
291.2781954887218,2.7105114863701374e-07,,
291.7293233082707,2.7131388069534523e-07,,
292.18045112781954,2.7157661275367673e-07,,
292.63157894736844,2.7183934658836506e-07,,
293.0827067669173,2.7210207864669655e-07,,
293.5338345864662,2.7236481159320647e-07,,
293.98496240601503,2.726275445397164e-07,,
294.43609022556393,2.728902765980479e-07,,
294.8872180451128,2.731530104327362e-07,,
295.3383458646617,2.734157424910677e-07,,
295.7894736842105,2.736784754375776e-07,,
296.2406015037594,2.7394120838408753e-07,,
296.69172932330827,2.7420394133059744e-07,,
297.14285714285717,2.7446667427710736e-07,,
297.593984962406,2.7472940722361727e-07,,
298.0451127819549,2.7499213928194877e-07,,
298.49624060150376,2.752548722284587e-07,,
298.9473684210526,2.755176051749686e-07,,
299.3984962406015,2.757803381214785e-07,,
299.8496240601504,2.760430710679884e-07,,
300.30075187969925,2.7630580401449834e-07,,
300.7518796992481,2.7656853696100825e-07,,
301.203007518797,2.7683126901933974e-07,,
301.65413533834584,2.7709400196584966e-07,,
302.10526315789474,2.7735673491235957e-07,,
302.5563909774436,2.776194678588695e-07,,
303.0075187969925,2.77882199917201e-07,,
303.45864661654133,2.781449337518893e-07,,
303.90977443609023,2.784076658102208e-07,,
304.3609022556391,2.786703987567307e-07,,
304.812030075188,2.7893313170324063e-07,,
305.2631578947368,2.7919586464975055e-07,,
305.7142857142857,2.7945859759626046e-07,,
306.16541353383457,2.7972132965459195e-07,,
306.61654135338347,2.799840634892803e-07,,
307.0676691729323,2.802467955476118e-07,,
307.5187969924812,2.805095293823001e-07,,
307.96992481203006,2.807722614406316e-07,,
308.42105263157896,2.810349943871415e-07,,
308.8721804511278,2.8129772733365144e-07,,
309.3233082706767,2.8156046028016135e-07,,
309.77443609022555,2.8182319233849285e-07,,
310.22556390977445,2.8208592528500276e-07,,
310.6766917293233,2.823486591196911e-07,,
311.1278195488722,2.826113911780226e-07,,
311.57894736842104,2.828741250127109e-07,,
312.03007518796994,2.831368570710424e-07,,
312.4812030075188,2.8339959001755233e-07,,
312.9323308270677,2.8366232296406224e-07,,
313.38345864661653,2.8392505502239374e-07,,
313.83458646616543,2.8418778796890365e-07,,
314.2857142857143,2.8445052091541356e-07,,
