Temperature (T),v_region_1,v_region_2,v_region_3,v_region_4,v_region_5,v_region_6,v_region_7
280.0,0.09199507604512425,1.2524653216953612e-112,4.705112723921382e-224,0.0,0.0,0.0,0.0
280.45112781954884,0.09241947028233177,1.1265832753150736e-110,4.2831527063606775e-222,0.0,0.0,0.0,0.0
280.90225563909775,0.09284386451953885,1.0132048159550328e-108,3.89903453894491e-220,0.0,0.0,0.0,0.0
281.3533834586466,0.09326825875674594,9.110998557546638e-107,3.5493645235167266e-218,0.0,0.0,0.0,0.0
281.8045112781955,0.09369265299395346,8.191583619499228e-105,3.231053312310187e-216,0.0,0.0,0.0,0.0
282.25563909774434,0.09411704723116099,7.363787179664301e-103,2.941288613486296e-214,0.0,0.0,0.0,0.0
282.70676691729324,0.09454144146836763,6.618572064253521e-101,2.677510344499902e-212,0.0,0.0,0.0,0.0
283.1578947368421,0.09496583570557515,5.9477850643394075e-99,2.437388013701814e-210,0.0,0.0,0.0,0.0
283.609022556391,0.09539022994278223,5.344071078441096e-97,2.2188001304013023e-208,0.0,0.0,0.0,0.0
284.0601503759398,0.09581462417998976,4.800795544376042e-95,2.0198154614459986e-206,0.0,0.0,0.0,0.0
284.5112781954887,0.09623901841719729,4.311974364235771e-93,1.8386759687359607e-204,0.0,0.0,0.0,0.0
284.9624060150376,0.09666341265440437,3.8722106023767774e-91,1.673781276905151e-202,0.0,0.0,0.0,0.0
285.4135338345865,0.09708780689161145,3.47663730533722e-89,1.5236745339766797e-200,0.0,0.0,0.0,0.0
285.8646616541353,0.09751220112881853,3.120865854720263e-87,1.3870295400284971e-198,0.0,0.0,0.0,0.0
286.3157894736842,0.09793659536602606,2.80093932064255e-85,1.2626390301852794e-196,5.292391341456e-307,0.0,0.0,0.0
286.76691729323306,0.09836098960323358,2.513290334227626e-83,1.1494040083988636e-194,4.795897359355776e-305,0.0,0.0,0.0
287.21804511278197,0.09878538384044067,2.254703043821325e-81,1.0463240377889581e-192,4.345887775856446e-303,0.0,0.0,0.0
287.6691729323308,0.09920977807764775,2.0222787612980383e-79,9.524884017482308e-191,3.938018444428359e-301,0.0,0.0,0.0
288.1203007518797,0.09963417231485527,1.8134049426454036e-77,8.670680577405833e-189,3.5683505121847193e-299,0.0,0.0,0.0
288.57142857142856,0.1000585665520628,1.625727181059186e-75,7.893083126774285e-187,3.2333126661311876e-297,0.0,0.0,0.0
289.02255639097746,0.10048296078926988,1.457123921779643e-73,7.185221551861411e-185,2.929666891228915e-295,0.0,0.0,0.0
289.4736842105263,0.10090735502647696,1.3056836357237718e-71,6.540841858370229e-183,2.65447741395568e-293,0.0,0.0,0.0
289.9248120300752,0.10133174926368405,1.1696842143178982e-69,5.954250917218786e-181,2.4050825354832235e-291,0.0,0.0,0.0
290.37593984962405,0.10175614350089157,1.047574370711586e-67,5.420266165508831e-179,2.179069085922289e-289,0.0,0.0,0.0
290.82706766917295,0.1021805377380991,9.379568532710019e-66,4.934169818439112e-177,1.974249256117538e-287,0.0,0.0,0.0
291.2781954887218,0.10260493197530618,8.395732958716945e-64,4.491667187464564e-175,1.7886395859579007e-285,0.0,0.0,0.0
291.7293233082707,0.10302932621251326,7.51290546463628e-62,4.088848736596935e-173,1.620441908809022e-283,0.0,0.0,0.0
292.18045112781954,0.10345372044972034,6.720883305981353e-60,3.7221555414782153e-171,1.4680260701612152e-281,0.0,0.0,0.0
292.63157894736844,0.10387811468692743,6.010481204621651e-58,3.388347846163417e-169,1.3299142555740723e-279,0.0,0.0,0.0
293.0827067669173,0.1043025089241354,5.373430924139341e-56,3.0844764397276302e-167,1.2047667782321924e-277,0.0,0.0,0.0
293.5338345864662,0.10472690316134248,4.8022906733211715e-54,2.8078565998899195e-165,1.0913691903986794e-275,0.0,0.0,0.0
293.98496240601503,0.10515129739854956,4.2903633826303e-52,2.5560443733562457e-163,9.88620595587629e-274,0.0,0.0,0.0
294.43609022556393,0.10557569163575709,3.8316229910581417e-50,2.326814983407823e-161,8.955230497891602e-272,0.0,0.0,0.0
294.8872180451128,0.10600008587296417,3.420647963837932e-48,2.1181431738873413e-159,8.111719503909145e-270,0.0,0.0,0.0
295.3383458646617,0.1064244801101717,3.0525613370993218e-46,1.9281853159815704e-157,7.347473209092154e-268,0.0,0.0,0.0
295.7894736842105,0.10684887434737877,2.7229766534730383e-44,1.7552631196650903e-155,6.655059081428542e-266,0.0,0.0,0.0
296.2406015037594,0.10727326858458586,2.4279492143682872e-42,1.5978488059447992e-153,6.027740161449126e-264,0.0,0.0,0.0
296.69172932330827,0.10769766282179338,2.1639321301209144e-40,1.4545516088464938e-151,5.45941008402093e-262,0.0,0.0,0.0
297.14285714285717,0.10812205705900046,1.927736699644066e-38,1.3241054879427214e-149,4.944534160252936e-260,0.0,0.0,0.0
