Temperature (T),v_region_1,v_region_2,v_region_3,v_region_4,v_region_5
280.0,7.93398067244766e-08,,,,
280.45112781954884,7.942528235105328e-08,,,,
280.90225563909775,7.948982005956395e-08,,,,
281.3533834586466,7.955435865625304e-08,,,,
281.8045112781955,7.961889680885292e-08,,,,
282.25563909774434,7.96834349614528e-08,,,,
282.70676691729324,7.97479735581419e-08,,,,
283.1578947368421,7.981251126665256e-08,,,,
283.609022556391,7.987704986334165e-08,,,,
284.0601503759398,7.994158801594153e-08,,,,
284.5112781954887,8.000612616854141e-08,,,,
284.9624060150376,8.00706647652305e-08,,,,
285.4135338345865,8.013520291783038e-08,,,,
285.8646616541353,8.019974107043026e-08,,,,
286.3157894736842,8.026427966711935e-08,,,,
286.76691729323306,8.032881781971923e-08,,,,
287.21804511278197,8.039335597231911e-08,,,,
287.6691729323308,8.04578945690082e-08,,,,
288.1203007518797,8.052243227751887e-08,,,,
288.57142857142856,8.058697087420796e-08,,,,
289.02255639097746,8.065150902680784e-08,,,,
289.4736842105263,8.071604717940772e-08,,,,
289.9248120300752,8.078058577609681e-08,,,,
290.37593984962405,8.08451239286967e-08,,,,
290.82706766917295,8.090966208129657e-08,,,,
291.2781954887218,8.097420067798566e-08,,,,
291.7293233082707,8.103873883058554e-08,,,,
292.18045112781954,8.110327698318542e-08,,,,
292.63157894736844,8.116781557987451e-08,,,,
293.0827067669173,8.123235328838518e-08,,,,
293.5338345864662,8.129689188507427e-08,,,,
293.98496240601503,8.136143003767415e-08,,,,
294.43609022556393,8.142596819027403e-08,,,,
294.8872180451128,8.149050634287391e-08,,,,
295.3383458646617,8.1555044939563e-08,,,,
295.7894736842105,8.161958309216288e-08,,,,
296.2406015037594,8.168412168885197e-08,,,,
296.69172932330827,8.174865939736264e-08,,,,
297.14285714285717,8.181319799405173e-08,,,,
297.593984962406,8.187773614665161e-08,,,,
298.0451127819549,8.19422747433407e-08,,,,
298.49624060150376,8.200681289594058e-08,,,,
298.9473684210526,8.207135104854046e-08,,,,
299.3984962406015,8.213588920114034e-08,,,,
299.8496240601504,8.220042779782943e-08,,,,
300.30075187969925,8.22649655063401e-08,,,,
300.7518796992481,8.23295041030292e-08,,,,
301.203007518797,8.239404225562907e-08,,,,
301.65413533834584,8.245858040822895e-08,,,,
302.10526315789474,8.252311856082883e-08,,,,
302.5563909774436,8.258765760160713e-08,,,,
303.0075187969925,8.26521953101178e-08,,,,
303.45864661654133,8.27167339068069e-08,,,,
303.90977443609023,8.278127205940677e-08,,,,
304.3609022556391,8.284581021200665e-08,,,,
304.812030075188,8.291034792051732e-08,,,,
305.2631578947368,8.297488696129562e-08,,,,
305.7142857142857,8.30394251138955e-08,,,,
306.16541353383457,8.310396326649538e-08,,,,
306.61654135338347,8.316850186318447e-08,,,,
307.0676691729323,8.323304001578435e-08,,,,
307.5187969924812,8.329757816838423e-08,,,,
307.96992481203006,8.336211632098411e-08,,,,
308.42105263157896,8.3426654473584e-08,,,,
308.8721804511278,8.349119262618387e-08,,,,
309.3233082706767,8.355573122287296e-08,,,,
309.77443609022555,8.362026981956205e-08,,,,
310.22556390977445,8.368480752807272e-08,,,,
310.6766917293233,8.374934612476181e-08,,,,
311.1278195488722,8.38138842773617e-08,,,,
311.57894736842104,8.387842242996157e-08,,,,
312.03007518796994,8.394296102665066e-08,,,,
312.4812030075188,8.400749917925054e-08,,,,
312.9323308270677,8.407203733185042e-08,,,,
313.38345864661653,8.41365754844503e-08,,,,
313.83458646616543,8.420111363705018e-08,,,,
314.2857142857143,8.426565223373927e-08,,,,
314.7368421052632,8.433019083042836e-08,,,,
315.187969924812,8.439472853893903e-08,,,,
315.6390977443609,8.445926713562812e-08,,,,
316.09022556390977,,1.4396010072914578e-07,,,
316.5413533834586,,1.4209119569841278e-07,,,
316.9924812030075,,1.4022229066767977e-07,,,
317.4436090225564,,1.3835338563694677e-07,,,
317.89473684210526,,1.3648448060621376e-07,,,
318.3458646616541,,1.3461557202276708e-07,,,
318.796992481203,,1.3274667054474776e-07,,,
319.2481203007519,,1.3087776551401475e-07,,,
319.69924812030075,,1.2900886048328175e-07,,,
320.1503759398496,,1.2713995189983507e-07,,,
320.6015037593985,,1.2527104686910207e-07,,,
321.05263157894734,,1.2340214539108274e-07,,,
321.50375939849624,,1.2153323680763606e-07,,,
321.9548872180451,,1.1966433177690305e-07,,,
322.406015037594,,1.1779542674617005e-07,,,
322.85714285714283,,1.1592652171543705e-07,,,
323.30827067669173,,1.1405761668470404e-07,,,
323.7593984962406,,1.1218871165397104e-07,,,
324.2105263157895,,1.1031980662323804e-07,,,
324.6616541353383,,1.0845090159250503e-07,,,
325.1127819548872,,1.0658199656177203e-07,,,
325.56390977443607,,1.0471309153103903e-07,,,
326.01503759398497,,1.0284418650030602e-07,,,
326.4661654135338,,1.0097528146957302e-07,,,
326.9172932330827,,9.910637643884002e-08,,,
327.36842105263156,,9.723747140810701e-08,,,
327.81954887218046,,9.536856637737401e-08,,,
328.2706766917293,,9.3499661346641e-08,,,
328.7218045112782,,9.1630756315908e-08,,,
329.17293233082705,,8.9761851285175e-08,,,
329.62406015037595,,8.7892946254442e-08,,,
330.0751879699248,,8.602404122370899e-08,,,
330.5263157894737,,8.415513619297599e-08,,,
330.97744360902254,,8.228623116224298e-08,,,
331.42857142857144,,8.041732613150998e-08,,,
331.8796992481203,,7.854842110077698e-08,,,
332.3308270676692,,7.667951607004397e-08,,,
332.78195488721803,,7.481061103931097e-08,,,
333.23308270676694,,7.294170245586429e-08,,,
333.6842105263158,,7.107279742513128e-08,,,
334.1353383458647,,6.920389239439828e-08,,,
334.5864661654135,,6.733498736366528e-08,,,
335.0375939849624,,6.546608233293227e-08,,,
335.4887218045113,,6.359717730219927e-08,,,
335.9398496240601,,6.172827227146627e-08,,,
336.390977443609,,5.985936724073326e-08,,,
336.8421052631579,,5.799046221000026e-08,,,
337.29323308270676,,5.6121557179267256e-08,,,
337.7443609022556,,5.425265214853425e-08,,,
338.1954887218045,,5.238374711780125e-08,,,
338.6466165413534,,5.0514842087068246e-08,,,
339.09774436090225,,4.864593705633524e-08,,,
339.5488721804511,,4.677703202560224e-08,,,
340.0,,4.4908126994869235e-08,,,
340.45112781954884,,4.303922196413623e-08,,,
340.90225563909775,,4.117031338068955e-08,,,
341.3533834586466,,3.9301411902670225e-08,,,
341.8045112781955,,3.743250687193722e-08,,,
342.25563909774434,,3.556360184120422e-08,,,
342.70676691729324,,3.3694693257757535e-08,,,
343.1578947368421,,3.182578822702453e-08,,,
343.609022556391,,2.995688674900521e-08,,,
344.0601503759398,,2.8087981718272204e-08,,,
344.5112781954887,,2.621907313482552e-08,,,
344.9624060150376,,2.4350168104092518e-08,,,
345.4135338345865,,2.2481263073359514e-08,,,
345.8646616541353,,2.061235804262651e-08,,,
346.3157894736842,,1.8743453011893507e-08,,,
346.76691729323306,,1.6874547981160504e-08,,,
347.21804511278197,,1.50056429504275e-08,,,
347.6691729323308,,1.3136737919694497e-08,,,
348.1203007518797,,1.1267832888961493e-08,,,
348.57142857142856,,9.39892785822849e-09,,,
349.02255639097746,,7.530022827495486e-09,,,
349.4736842105263,,5.661117796762483e-09,,,
349.9248120300752,,3.792212766029479e-09,,,
350.37593984962405,,1.9233077352964756e-09,,,
350.82706766917295,,5.440270456347207e-11,,,
351.2781954887218,,1.8145023261695314e-09,,,
351.7293233082707,,3.683407356902535e-09,,,
352.18045112781954,,,8.457018765284374e-07,,
352.63157894736844,,,8.469506269648264e-07,,
353.0827067669173,,,8.481993774012153e-07,,
353.5338345864661,,,8.494481278376043e-07,,
353.98496240601503,,,8.506968640631385e-07,,
354.43609022556393,,,8.519456287103822e-07,,
354.8872180451128,,,8.531943791467711e-07,,
355.3383458646616,,,8.543773617475381e-07,,
355.7894736842105,,,8.55553011547272e-07,,
356.2406015037594,,,8.56728661347006e-07,,
356.69172932330827,,,8.579042827250305e-07,,
357.1428571428571,,,8.590799325247644e-07,,
357.593984962406,,,8.602555681136437e-07,,
358.0451127819549,,,8.614312037025229e-07,,
358.49624060150376,,,8.626068392914021e-07,,
358.9473684210526,,,8.637824748802814e-07,,
359.3984962406015,,,8.649581246800153e-07,,
359.8496240601504,,,8.661337744797493e-07,,
360.30075187969925,,,8.673093958577738e-07,,
360.7518796992481,,,8.68485031446653e-07,,
361.203007518797,,,8.69660681246387e-07,,
361.6541353383459,,,8.708363168352662e-07,,
362.10526315789474,,,8.720119524241454e-07,,
362.5563909774436,,,8.731875880130247e-07,,
363.0075187969925,,,8.743632378127586e-07,,
363.45864661654133,,,8.755388734016378e-07,,
363.90977443609023,,,8.767145089905171e-07,,
364.3609022556391,,,8.77890158790251e-07,,
364.812030075188,,,8.790657943791302e-07,,
365.2631578947368,,,8.802282138731243e-07,,
365.7142857142857,,,8.812635172716909e-07,,
366.16541353383457,,,8.822988348811123e-07,,
366.61654135338347,,,8.833341382796789e-07,,
367.0676691729323,,,8.843694558891002e-07,,
367.5187969924812,,,8.854047734985215e-07,,
367.96992481203006,,,8.864400911079429e-07,,
368.42105263157896,,,8.874754087173642e-07,,
368.8721804511278,,,8.885107263267855e-07,,
369.3233082706767,,,8.895460439362068e-07,,
369.77443609022555,,,8.905813615456282e-07,,
370.22556390977445,,,8.916166649441948e-07,,
370.6766917293233,,,8.926519825536161e-07,,
371.1278195488722,,,8.936872859521827e-07,,
371.57894736842104,,,8.947226177724588e-07,,
372.03007518796994,,,8.957579211710254e-07,,
372.4812030075188,,,8.967932387804467e-07,,
372.93233082706763,,,8.97828556389868e-07,,
373.38345864661653,,,8.988638739992894e-07,,
373.83458646616543,,,8.998991916087107e-07,,
374.2857142857143,,,9.00934509218132e-07,,
374.7368421052631,,,9.019698126166986e-07,,
375.187969924812,,,9.030051444369747e-07,,
375.6390977443609,,,9.040404478355413e-07,,
376.09022556390977,,,9.050757512341079e-07,,
376.5413533834586,,,9.061110688435292e-07,,
376.9924812030075,,,9.071464006638053e-07,,
377.4436090225564,,,9.081817040623719e-07,,
377.89473684210526,,,9.092170216717932e-07,,
378.3458646616541,,,9.102523392812145e-07,,
378.796992481203,,,9.112876568906358e-07,,
379.2481203007519,,,9.123229745000572e-07,,
379.69924812030075,,,9.133582921094785e-07,,
380.1503759398496,,,9.143935955080451e-07,,
380.6015037593985,,,9.154288989066117e-07,,
381.0526315789474,,,9.164642307268878e-07,,
