Temperature (T),v_region_1,v_region_2
280.0,3.003212913910147e-07,
280.45112781954884,2.988922442881403e-07,
280.90225563909775,2.974646022835259e-07,
281.3533834586466,2.9603706863667867e-07,
281.8045112781955,2.9460953498983145e-07,
282.25563909774434,2.931820013429842e-07,
282.70676691729324,2.91754467696137e-07,
283.1578947368421,2.903269340492898e-07,
283.609022556391,2.888994021787994e-07,
284.0601503759398,2.87471870308309e-07,
284.5112781954887,2.8604433488510494e-07,
284.9624060150376,2.846168012382577e-07,
285.4135338345865,2.8318926936776734e-07,
285.8646616541353,2.817617357209201e-07,
286.3157894736842,2.803342020740729e-07,
286.76691729323306,2.7890666842722567e-07,
287.21804511278197,2.7747913478037844e-07,
287.6691729323308,2.760516011335312e-07,
288.1203007518797,2.7462406926304084e-07,
288.57142857142856,2.731965356161936e-07,
289.02255639097746,2.7176900374570323e-07,
289.4736842105263,2.7034146832249917e-07,
289.9248120300752,2.6891393467565194e-07,
290.37593984962405,2.6748640280516156e-07,
290.82706766917295,2.6605886915831434e-07,
291.2781954887218,2.646313355114671e-07,
291.7293233082707,2.632038018646199e-07,
292.18045112781954,2.6177626821777267e-07,
292.63157894736844,2.6034873457092544e-07,
293.0827067669173,2.5892120270043506e-07,
293.5338345864662,2.574936708299447e-07,
293.98496240601503,2.5606613718309745e-07,
294.43609022556393,2.5463859998353655e-07,
294.8872180451128,2.53211069889403e-07,
295.3383458646617,2.517835362425558e-07,
295.7894736842105,2.5035600259570856e-07,
296.2406015037594,2.4892846894886134e-07,
296.69172932330827,2.4750093707837095e-07,
297.14285714285717,2.460734016551669e-07,
297.593984962406,2.4464586800831967e-07,
298.0451127819549,2.432183361378293e-07,
298.49624060150376,2.4179080249098206e-07,
298.9473684210526,2.4036326884413484e-07,
299.3984962406015,2.3893573697364445e-07,
299.8496240601504,2.375082015504404e-07,
300.30075187969925,2.3608066967995e-07,
300.7518796992481,2.3465313603310278e-07,
301.203007518797,2.3322560238625556e-07,
301.65413533834584,2.3179806873940834e-07,
302.10526315789474,2.3037053686891795e-07,
302.5563909774436,2.289430014457139e-07,
303.0075187969925,2.275154695752235e-07,
303.45864661654133,2.2608793592837628e-07,
303.90977443609023,2.246604040578859e-07,
304.3609022556391,2.2323287041103868e-07,
304.812030075188,2.218053349878346e-07,
305.2631578947368,2.2037780311734423e-07,
305.7142857142857,2.18950269470497e-07,
306.16541353383457,2.1752273582364978e-07,
306.61654135338347,2.1609520217680256e-07,
307.0676691729323,2.1466767030631217e-07,
307.5187969924812,2.132401348831081e-07,
307.96992481203006,2.118126012362609e-07,
308.42105263157896,2.103850693657705e-07,
308.8721804511278,2.0895753749528012e-07,
309.3233082706767,2.075300038484329e-07,
309.77443609022555,2.0610247020158567e-07,
310.22556390977445,2.0467493655473845e-07,
310.6766917293233,2.0324740290789123e-07,
311.1278195488722,2.01819869261044e-07,
311.57894736842104,2.0039233739055362e-07,
312.03007518796994,1.989648037437064e-07,
312.4812030075188,1.9753727187321601e-07,
312.9323308270677,1.9610973645001195e-07,
313.38345864661653,1.9468220280316473e-07,
313.83458646616543,1.9325467093267434e-07,
314.2857142857143,1.9182713728582712e-07,
314.7368421052632,1.903996036389799e-07,
315.187969924812,1.8897206999213267e-07,
315.6390977443609,1.8754453634528545e-07,
316.09022556390977,1.8611700269843823e-07,
316.5413533834586,1.84689469051591e-07,
316.9924812030075,1.8326193718110062e-07,
317.4436090225564,1.8183440531061024e-07,
317.89473684210526,1.8040686988740617e-07,
318.3458646616541,1.7897933624055895e-07,
318.796992481203,1.7755180437006857e-07,
319.2481203007519,1.7612427072322134e-07,
319.69924812030075,1.7469673707637412e-07,
320.1503759398496,1.7326920520588374e-07,
320.6015037593985,1.7184166978267967e-07,
321.05263157894734,1.7041413613583245e-07,
321.50375939849624,1.6898660426534207e-07,
321.9548872180451,1.6755907061849484e-07,
322.406015037594,1.6613153874800446e-07,
322.85714285714283,1.6470400510115724e-07,
323.30827067669173,1.6327647145431e-07,
323.7593984962406,1.618489378074628e-07,
324.2105263157895,1.6042140416061557e-07,
324.6616541353383,1.5899387051376834e-07,
325.1127819548872,1.5756633864327796e-07,
325.56390977443607,1.5613880499643074e-07,
326.01503759398497,1.5471126957322667e-07,
326.4661654135338,1.532837377027363e-07,
326.9172932330827,1.5185620405588907e-07,
327.36842105263156,1.5042867218539868e-07,
327.81954887218046,1.4900113853855146e-07,
328.2706766917293,1.4757360489170424e-07,
328.7218045112782,1.46146071244857e-07,
