Temperature (T),v_region_1,v_region_2,v_region_3
280.0,0.5302807851906026,3.684122043668758e-260,0.0
280.45112781954884,0.5236213258748608,3.3564598261943573e-258,0.0
280.90225563909775,0.5169618665591189,3.0579378634357246e-256,0.0
281.3533834586466,0.510414172227807,2.7850592938896323e-254,0.0
281.8045112781955,0.5045445449467767,2.531529872182549e-252,0.0
282.25563909774434,0.4986749176657481,2.3010741710825037e-250,0.0
282.70676691729324,0.4931842279955392,2.0893075446157233e-248,0.0
283.1578947368421,0.487694853446178,1.8970090965106147e-246,0.0
283.609022556391,0.48220547889681864,1.7223974270837783e-244,0.0
284.0601503759398,0.47671610434745926,1.5638468510928772e-242,0.0
284.5112781954887,0.4712267297980999,1.4198810153467483e-240,0.0
284.9624060150376,0.4657373552487396,1.2891591895186412e-238,0.0
285.4135338345865,0.46024798069937933,1.1704638148106443e-236,0.0
285.8646616541353,0.45475860615001995,1.0626891950924656e-234,0.0
286.3157894736842,0.4492692316006597,9.648312257666779e-233,0.0
286.76691729323306,0.4437798570513012,8.759780651755759e-231,0.0
287.21804511278197,0.43829048250194,7.953016621102975e-229,0.0
287.6691729323308,0.43280110795258153,7.220500608900107e-227,0.0
288.1203007518797,0.4273117334032204,6.555404127049091e-225,0.0
288.57142857142856,0.4218223588538619,5.9515262841482184e-223,0.0
289.02255639097746,0.4163329843045016,5.403236139809462e-221,0.0
289.4736842105263,0.4108436097551431,4.905420350612863e-219,0.0
289.9248120300752,0.40535423520578195,4.453435622350565e-217,0.0
290.37593984962405,0.39986486065642257,4.0430655274756157e-215,0.0
290.82706766917295,0.3943754861070623,3.670481287325025e-213,0.0
291.2781954887218,0.3888861115577029,3.332206155195666e-211,0.0
291.7293233082707,0.38339673700834354,3.0250830699501384e-209,0.0
292.18045112781954,0.37790736245898415,2.7462452799177272e-207,0.0
292.63157894736844,0.3724179879096239,2.4930896645621945e-205,0.0
293.0827067669173,0.3669286133602645,2.2632525062548208e-203,0.0
293.5338345864662,0.36143923881090334,2.0545874873249373e-201,0.0
293.98496240601503,0.35594986426154396,1.8651457080643626e-199,0.0
294.43609022556393,0.35046048971218546,1.6931575402308716e-197,0.0
294.8872180451128,0.3449711151628252,1.5370161474947786e-195,0.0
295.3383458646617,0.3394817406134658,1.395262519835283e-193,0.0
295.7894736842105,0.33399236606410554,1.2665718828516934e-191,0.0
296.2406015037594,0.32850299151474616,1.1497413557831713e-189,0.0
296.69172932330827,0.3230136169653859,1.0436787435399094e-187,0.0
297.14285714285717,0.3175242424160265,9.473923586484809e-186,0.0
297.593984962406,0.3120348678666671,8.599817784987579e-184,0.0
298.0451127819549,0.30654549331730774,7.806294520176639e-182,0.0
298.49624060150376,0.30105611876794747,7.085930777429306e-180,0.0
298.9473684210526,0.2955667442185881,6.431986824496772e-178,0.0
299.3984962406015,0.2900773696692278,5.838343359759247e-176,0.0
299.8496240601504,0.28458799511986754,5.299444438069829e-174,0.0
300.30075187969925,0.27909862057050816,4.810245643461167e-172,0.0
300.7518796992481,0.2736092460211488,4.3661670266022196e-170,0.0
301.203007518797,0.2681198714717894,3.9630503692942127e-168,0.0
301.65413533834584,0.2626304969224291,3.5971203783777923e-166,0.0
302.10526315789474,0.25714112237306974,3.2649494480313585e-164,0.0
302.5563909774436,0.25165174782371036,2.963425662484743e-162,0.0
303.0075187969925,0.2461623732743501,2.6897237414271793e-160,0.0
303.45864661654133,0.2406729987249907,2.441278657576782e-158,0.0
303.90977443609023,0.23518362417563132,2.215761680889522e-156,0.0
304.3609022556391,0.22969424962627105,2.011058626286361e-154,0.0
304.812030075188,0.22420487507691167,1.8252501024013252e-152,0.0
305.2631578947368,0.2187155005275523,1.6565935773513647e-150,0.0
305.7142857142857,0.21322612597819113,1.503507094526039e-148,0.0
306.16541353383457,0.20773675142883175,1.3645544866440501e-146,0.0
306.61654135338347,0.20224737687947147,1.2384319503641612e-144,0.0
307.0676691729323,0.19675800233011298,1.1239558563019337e-142,0.0
307.5187969924812,0.19126862778075182,1.0200516808752017e-140,0.0
307.96992481203006,0.18577925323139421,9.257439567941268e-139,0.0
308.42105263157896,0.18028987868203217,8.4014714851848e-137,0.0
308.8721804511278,0.17480050413267367,7.624573675958092e-135,0.0
309.3233082706767,0.1693111295833134,6.919448506425152e-133,0.0
309.77443609022555,0.1638217550339549,6.279471297940643e-131,0.0
310.22556390977445,0.15833238048459375,5.6986283193471376e-129,0.0
310.6766917293233,0.15284300593523437,5.171460488505701e-127,0.0
311.1278195488722,0.14735363138587498,4.693012257801593e-125,0.0
311.57894736842104,0.1418642568365147,4.258785206577661e-123,0.0
312.03007518796994,0.13637488228715533,3.864695907446167e-121,0.0
312.4812030075188,0.13088550773779506,3.5070376730640685e-119,0.0
312.9323308270677,0.12539613318843568,3.182445826326359e-117,0.0
313.38345864661653,0.1199067586390763,2.8878661696337333e-115,0.0
313.83458646616543,0.11441738408971602,2.620526358798582e-113,0.0
314.2857142857143,0.10892800954035664,2.3779099141778143e-111,0.0
314.7368421052632,0.10343863499099726,2.1577326263046745e-109,0.0
315.187969924812,0.09794926044163699,1.957921135505969e-107,0.0
315.6390977443609,0.0924598858922776,1.7765934853900223e-105,0.0
316.09022556390977,0.08697051134291733,1.6120414684282608e-103,0.0
316.5413533834586,0.08148113679355884,1.4627145986152527e-101,0.0
316.9924812030075,0.07599176224419857,1.3272055613552003e-99,0.0
317.4436090225564,0.07050238769483919,1.2042370045377563e-97,0.0
317.89473684210526,0.06501301314547892,1.0926495472606908e-95,0.0
318.3458646616541,0.05952363859611953,9.913908940436136e-94,0.0
318.796992481203,0.05403426404676015,8.995059526965045e-92,0.0
319.2481203007519,0.04854488949739988,8.161278633744495e-90,0.0
319.69924812030075,0.04305551494803961,7.404698548741469e-88,0.0
320.1503759398496,0.037566140398680226,6.718178519503039e-86,0.0
320.6015037593985,0.03207676584932084,6.095237644403049e-84,0.0
321.05263157894734,0.026587391299960572,5.529993953707238e-82,0.0
321.50375939849624,0.021098016750602078,5.0171091100385744e-80,0.0
321.9548872180451,0.015608642201240919,4.551738210200576e-78,0.0
322.406015037594,0.010119267651881536,4.129484218239521e-76,0.0
322.85714285714283,0.0046298931025221535,3.746356602770715e-74,0.0
323.30827067669173,0.0008594814468372292,3.3987337910027756e-72,0.0
323.7593984962406,0.0063488559961975,3.0833290875357025e-70,0.0
324.2105263157895,0.011838230545556883,2.7971597385266317e-68,0.0
324.6616541353383,0.017327605094917153,2.5375188511081736e-66,0.0
325.1127819548872,0.022816979644277424,2.30194990480832e-64,0.0
325.56390977443607,0.02830635419363592,2.088223615889122e-62,0.0
326.01503759398497,0.03379572874299708,1.8943169375985106e-60,0.0
326.4661654135338,0.03928510329235557,1.7183939992950047e-58,0.0
326.9172932330827,0.04477447784171584,1.5587888056199957e-56,0.0
327.36842105263156,0.050263852391075226,1.4139895332990134e-54,0.0
327.81954887218046,0.055753226940435496,1.2826242782006365e-52,0.0
328.2706766917293,0.06124260148979399,1.1634481188156193e-50,0.0
328.7218045112782,0.06673197603915515,1.0553313746863643e-48,0.0
329.17293233082705,0.07222135058851364,9.572489494949599e-47,1.4735942818146244e-305
329.62406015037595,0.0777107251378748,8.682706587205561e-45,1.3352546603876878e-303
