Temperature (T),v_region_1,v_region_2,v_region_3,v_region_4,v_region_5,v_region_6,v_region_7
280.0,2.519096522490827e-07,0.0,0.0,0.0,0.0,0.0,0.0
280.45112781954884,2.5193974106940686e-07,0.0,0.0,0.0,0.0,0.0,0.0
280.90225563909775,2.5196983077790946e-07,0.0,0.0,0.0,0.0,0.0,0.0
281.3533834586466,2.5199992004232286e-07,0.0,0.0,0.0,0.0,0.0,0.0
281.8045112781955,2.5203000930673625e-07,0.0,0.0,0.0,0.0,0.0,0.0
282.25563909774434,2.5206009857114964e-07,0.0,0.0,0.0,0.0,0.0,0.0
282.70676691729324,2.5209018783556303e-07,0.0,0.0,0.0,0.0,0.0,0.0
283.1578947368421,2.5212027754406563e-07,0.0,0.0,0.0,0.0,0.0,0.0
283.609022556391,2.52150366808479e-07,0.0,0.0,0.0,0.0,0.0,0.0
284.0601503759398,2.521804560728924e-07,0.0,0.0,0.0,0.0,0.0,0.0
284.5112781954887,2.52210545781395e-07,0.0,0.0,0.0,0.0,0.0,0.0
284.9624060150376,2.522406350458084e-07,0.0,0.0,0.0,0.0,0.0,0.0
285.4135338345865,2.522707243102218e-07,0.0,0.0,0.0,0.0,0.0,0.0
285.8646616541353,2.523008140187244e-07,0.0,0.0,0.0,0.0,0.0,0.0
286.3157894736842,2.523309028390486e-07,0.0,0.0,0.0,0.0,0.0,0.0
286.76691729323306,2.523609925475512e-07,0.0,0.0,0.0,0.0,0.0,0.0
287.21804511278197,2.5239108181196457e-07,0.0,0.0,0.0,0.0,0.0,0.0
287.6691729323308,2.5242117107637796e-07,0.0,0.0,0.0,0.0,0.0,0.0
288.1203007518797,2.5245126078488056e-07,0.0,0.0,0.0,0.0,0.0,0.0
288.57142857142856,2.5248134960520474e-07,0.0,0.0,0.0,0.0,0.0,0.0
289.02255639097746,2.5251143931370734e-07,0.0,0.0,0.0,0.0,0.0,0.0
289.4736842105263,2.5254152902220994e-07,0.0,0.0,0.0,0.0,0.0,0.0
289.9248120300752,2.525716178425341e-07,0.0,0.0,0.0,0.0,0.0,0.0
290.37593984962405,2.526017075510367e-07,0.0,0.0,0.0,0.0,0.0,0.0
290.82706766917295,2.526317963713609e-07,0.0,0.0,0.0,0.0,0.0,0.0
291.2781954887218,2.526618860798635e-07,0.0,0.0,0.0,0.0,0.0,0.0
291.7293233082707,2.526919757883661e-07,0.0,0.0,0.0,0.0,0.0,0.0
