Model,ninner_0_RMSE_TOTAL,ninner_0_VIOL,ninner_0_VIOL_NL,ninner_0_TRAIN_TIME_SEC,ninner_0_EXP_TIME_SEC
NN,0.0028186504318585,0.0135450148815289,0.0134757133619859,7.011912887196522,0.004442
KKThPINN,0.0017397108025466398,2.6851892471313476e-07,0.00025864114439173137,7.249905311476905,0.010974
