NN_Experiment_RMSE,NN_Experiment_VIOL,KKThPINN_Experiment_RMSE,KKThPINN_Experiment_VIOL
0.023095336233607298,1345.781411925259,0.07306253535436834,0.012747736032543278
0.01546142927706333,1851.0480863583132,0.03241582794138762,0.0063921595396446386
0.0652497629607686,13813.259862442974,0.06540171089471267,0.006385597042423076
0.051220630523855025,7025.791271495669,0.0618488120659792,0.006383091820437808
0.03985830394800401,5741.526369189082,0.057314551623216664,0.01275679167637482
0.03565986189360238,1515.5082015871888,0.040847408334903385,0.006386161003539286
0.03687514673926792,4329.08129961646,0.04020412850647323,0.0063894324038945615
0.10431755497638184,29097.657282102864,0.016271614485393784,0.006444925148432243
0.058278057452290075,8459.673721176157,0.04814241016207323,0.012764297251880408
0.08591579516161982,23762.773204065325,0.041241106889489246,0.006387494246341371
0.04692377377806652,1588.0928477583232,0.025038013024455876,0.006429795822064567
0.055910262287071924,9274.284510685336,0.0430328835396329,0.006399258597436143
0.12493630108617623,31614.62274744938,0.042186364806543995,0.006380695219599543
0.033464892031070996,2696.1202901505153,0.029665527884981297,0.006390604466979519
0.040579984621365264,1861.0909580367052,0.0361709639462163,0.006403780930241747
0.09049930373190587,22380.264487536388,0.06579240283332335,0.006396808546878782
0.050041676013627245,14025.092271420152,0.04578332413215085,0.006398641186183426
0.02697815894184698,2016.3608460345374,0.027491200293300995,0.006405868663340035
0.02019672712396167,1455.0937772522195,0.04922580888620037,0.00639445177888132
0.08282622623645927,18394.483437292296,0.036271501513485564,0.01277302102243424
0.09140756934696957,23770.662100690504,0.037801759522744824,0.006415528350698442
0.0634286229409007,14933.080922026013,0.028801510816940008,0.006393421244667727
0.047555303731115973,8655.074810887616,0.037362758366366766,0.00640971089548389
0.03335340348448368,1451.9574478389889,0.09027324733598623,0.0064011056589675696
0.029107403779662807,1001.7039384201731,0.056776285286446355,0.006405224323529972
0.06118823494631504,10869.448476659054,0.03376011748741371,0.006394259461973441
0.07004368312070579,8493.365206867626,0.06131888071007293,0.00638394538470848
0.059395160123930875,10878.672646367777,0.06696220068168346,0.006395608396200426
0.07542568793281378,17184.75179308863,0.028160016182711595,0.012753999517155917
0.039608375354412646,3434.8729837542855,0.018670835757888454,0.006405503709758421
0.03371353730796125,3021.365793344494,0.01954334613819059,0.006456938179389161
0.02304812223068429,5842.878736433516,0.034202968543921373,0.012795049079147311
0.06291152981601685,10231.345728504724,0.06719161791083758,0.0063944513351506015
0.03713463704024289,1202.0643276295052,0.04743403320340677,0.006405305052203496
0.036009429297459365,3687.2327723170656,0.06676218862066764,0.012768503381110172
0.06864763653837856,10059.607307026146,0.07929520030967155,0.006392277780398493
0.06007503525296877,7813.330511623285,0.08212289332996674,0.012754077263286414
0.03398329336126491,1860.47124561736,0.06306000427754975,0.006386447349739741
0.04563427376120942,741.8020948692371,0.037503472652713886,0.006406788172245724
0.06058547010856117,11286.394349717602,0.045531917323757096,0.006423287821347832
0.019279055972450356,1888.9823932495972,0.018658650647098127,0.0063934469006636475
0.055060633352088544,5388.799520865597,0.05850753623777511,0.0064252516721726395
0.08214600993636136,23934.80849940269,0.01577206465668417,0.006417032502021455
0.06157437461616666,11815.462169868808,0.05064123160402777,0.006391078485704975
0.015727208243193874,1952.6710058439176,0.04438985462693462,0.006433616192441653
0.06732565342459025,7646.259512063228,0.07978511593689604,0.006397096262800796
0.07888548805476932,15191.721684908398,0.0691253124063968,0.012745933086960487
0.05849652728291501,11202.889899555075,0.02609180143553973,0.006416812901902329
0.020577424706881058,2237.098852529201,0.05156894737995305,0.006409923618884377
0.06812592643413302,13450.820045607732,0.07689825870720185,0.006393115565359639
