Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.0011,0.006
2,0.00031,0.00153
3,0.00476,0.0042
4,0.00314,0.00419
5,0.00214,0.00381
6,0.0018,0.00196
7,0.0021,0.00206
8,0.01044,0.00052
9,0.00403,0.00282
10,0.00727,0.00201
11,0.00226,0.0008
12,0.00359,0.0023
13,0.01494,0.00198
14,0.0019,0.00129
15,0.00235,0.00184
16,0.00928,0.00571
17,0.00337,0.00222
18,0.00119,0.0011
19,0.00071,0.00297
20,0.00735,0.00175
21,0.00877,0.00171
22,0.00441,0.00139
23,0.00296,0.0017
24,0.00177,0.00844
25,0.0016,0.00329
26,0.00444,0.00152
27,0.0051,0.00414
28,0.00438,0.00487
29,0.00616,0.0012
30,0.00198,0.00075
31,0.00165,0.00066
32,0.00091,0.00153
33,0.00446,0.00475
34,0.00208,0.00299
35,0.00201,0.00465
36,0.0054,0.00677
37,0.00393,0.00675
38,0.0019,0.0047
39,0.00329,0.00163
40,0.00449,0.00223
41,0.00081,0.00067
42,0.00389,0.0035
43,0.00723,0.00039
44,0.00421,0.00274
45,0.00046,0.00228
46,0.00569,0.00768
47,0.00643,0.0054
48,0.00367,0.00113
49,0.00086,0.00312
50,0.00441,0.00668
