Model,100_RMSE_TOTAL,100_VIOL,200_RMSE_TOTAL,200_VIOL
NN,0.1106715698415511,8226.190989265444,0.0529548779303524,9067.54407322306
KKThPINN,0.0821153504996919,0.0017327935753119,0.047427642504314665,0.007547507038912521
