region_id,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
0,-0.0025489500258825356,1.0038897680504506,-1.0275148796549682,-0.024301309757089076,0.0,-0.7869907657818657
1,-0.0029240528807792953,1.0038897680504506,-1.0273747968156453,-0.02737479681564517,0.0,-0.9016592974725774
2,-0.0032948822568951764,1.0038897680504506,-1.0272367193631213,-0.030431315080026385,0.0,-1.0150214313830064
3,-0.015458366364948862,1.0330830884800066,-1.23721493902057,-0.20572277391169055,0.0,-5.156672669345504
4,-0.01728132792025982,1.0330830884800066,-1.2297236134945109,-0.22972361349451068,0.0,-5.756981745582786
5,-0.0189973743473275,1.0330830884800066,-1.2227996103725307,-0.25315946658912003,0.0,-6.322083210510592
6,-0.035216565724672876,1.2170699066004729,-2.234259376783504,-1.0317211767530712,0.0,-13.146633207420681
7,-0.03838040129122892,1.2170699066004729,-2.1460864566452957,-1.1460864566452955,0.0,-14.288716142329642
8,-0.04118718914424278,1.2170699066004729,-2.0712097139947407,-1.2568065206455283,0.0,-15.301911816189005
9,-0.053936448432244294,2.1487419956649276,-6.7627445819767695,-4.661502485935606,0.0,-25.099993679045824
10,-0.05824921283321943,2.1487419956649276,-6.198198893218579,-5.198198893218579,0.0,-26.9232848836519
11,-0.061932848844039406,2.1487419956649276,-5.745167545533544,-5.717420842906242,0.0,-28.480601842116165
12,-0.103544145549741,6.077101861982213,-26.83518678908399,-20.446644380534625,0.0,-64.25421138193727
13,-0.11149755930201233,6.077101861982213,-23.925377460206953,-22.925377460206946,0.0,-68.40973116166478
14,-0.11816406934542545,6.077101861982213,-21.655588250915123,-25.323689773038637,0.0,-71.8928662292031
15,-0.2698470593436382,20.267042819033424,-104.67888817940707,-80.67088640017339,0.0,-203.8487474059543
16,-0.2901631198956398,20.267042819033424,-91.92776562597152,-90.92776562597177,0.0,-216.2948444166291
17,-0.3069965567338184,20.267042819033424,-82.15298974236923,-100.85330722854431,0.0,-226.6074041461638
18,-0.7629214453965076,65.19585844280634,-368.3658170585886,-281.55648764645025,0.0,-645.9759848512358
19,-0.8195625776830093,65.19585844280634,-319.9282508359514,-318.9282508359512,0.0,-684.4026920416292
20,-0.8660607409772947,65.19585844280634,-283.3137555913103,-355.0979495521365,0.0,-715.9481649810831
21,-2.062534305153914,192.2389947196993,-1161.7321189423924,-877.1832930966657,0.0,-1894.7916256047372
22,-2.213965799557432,192.2389947196993,-999.2645665515874,-998.2645665515488,0.0,-2005.8258582772664
23,-2.3372458757561105,192.2389947196993,-877.9947189729269,-1115.4682637637486,0.0,-2096.218604637454
24,-5.165103770738561,518.0188621624775,-3315.4564825638363,-2471.711295777403,0.0,-5088.594128229667
25,-5.540823105390075,518.0188621624775,-2826.373763890437,-2825.3737638899975,0.0,-5383.53016475764
26,-5.844322395903937,518.0188621624775,-2465.5871469060085,-3167.7605281659153,0.0,-5621.774166537401
