Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.04689,0.01651
2,0.09031,0.02868
3,0.07915,0.03544
4,0.02967,0.01344
5,0.02243,0.01042
6,0.02121,0.00903
7,0.02959,0.01043
8,0.03327,0.01199
9,0.07001,0.01175
10,0.07629,0.04129
11,0.06503,0.02841
12,0.05922,0.02763
13,0.0285,0.02916
14,0.06285,0.02244
15,0.0219,0.02836
16,0.05375,0.03663
17,0.06355,0.01442
18,0.07967,0.0178
19,0.01945,0.01159
20,0.02171,0.03278
21,0.02456,0.01206
22,0.12554,0.02973
23,0.03072,0.01542
24,0.02664,0.01812
25,0.01569,0.03797
26,0.10282,0.02534
27,0.02802,0.00925
28,0.02829,0.01653
29,0.03887,0.03487
30,0.02382,0.02014
31,0.02558,0.01421
32,0.02289,0.01781
33,0.03708,0.035
34,0.04782,0.04454
35,0.06011,0.01889
36,0.03425,0.01527
37,0.03452,0.03404
38,0.02472,0.01513
39,0.03572,0.01511
40,0.03833,0.01627
41,0.0188,0.01337
42,0.01864,0.01848
43,0.02654,0.02289
44,0.03465,0.01515
45,0.0354,0.03292
46,0.02688,0.0148
47,0.03655,0.01256
48,0.06086,0.02389
49,0.02534,0.01096
50,0.03792,0.01372
