Temperature (T),Ca,Cb,Cc
280.0,0.9936625190650606,1.9873250381301213,0.019012442804818078
280.33057,0.993373641888542,1.986747283777084,0.019879074334373935
280.81946,0.9929240915761033,1.9858481831522066,0.02122772527169009
285.39572,0.9871364242563989,1.9742728485127978,0.03859072723080323
290.0,0.9773125293901612,1.9546250587803224,0.06806241182951643
292.73923,0.9687930538587528,1.9375861077175056,0.09362083842374147
296.2654,0.9540607291316149,1.9081214582632298,0.1378178126051553
300.0,0.9330482674089783,1.8660965348179566,0.20085519777306518
320.0,0.7393400765138014,1.4786801530276028,0.7819797704585959
321.745,0.7204801815312704,1.4409603630625407,0.8385594554061889
324.26544,0.6941526549369179,1.3883053098738358,0.9175420351892462
329.17987,0.6471392368118585,1.294278473623717,1.0585822895644246
336.51022,0.5900782444253925,1.180156488850785,1.2297652667238226
337.4029,0.5842341862767606,1.1684683725535212,1.2472974411697182
340.0,0.5685190396540675,1.137038079308135,1.2944428810377975
340.05478,0.5682074353841787,1.1364148707683575,1.2953776938474642
340.67172,0.5647547525094053,1.1295095050188106,1.3057357424717841
350.0,0.5233511891315528,1.0467023782631053,1.429946432605342
354.5931,0.5088487962112102,1.0176975924224207,1.473453611366369
356.31708,0.5041425568603906,1.008285113720781,1.4875723294188286
357.14807,0.5019973798289099,1.0039947596578205,1.4940078605132696
360.0,0.49517925424055825,0.9903585084811171,1.5144622372783245
367.0262,0.4812476089091868,0.9624952178183739,1.5562571732724393
371.98846,0.4731870899788119,0.9463741799576247,1.5804387300635634
376.9075,0.46619999147286406,0.9323999829457258,1.60140002558141
380.0,0.46219654645082303,0.9243930929016436,1.6134103606475334
381.65845,0.46015138552752916,0.9203027710550558,1.6195458434174153
394.52716,0.44605927757730274,0.8921185551546145,1.6618221672680829
400.0,0.44076044342709786,0.88152088685419,1.6777186697187123
400.5664,0.44022998201325275,0.8804599640264998,1.6793100539602475
402.48566,0.4384549020154201,0.876909804030863,1.6846352939537168
410.0,0.43180676255788064,0.8636135251157536,1.704579712326366
412.3077,0.42985082293616195,0.8597016458723452,1.7104475311914928
412.9438,0.42931814634753146,0.8586362926950676,1.7120455609574008
413.41248,0.42892747058330755,0.8578549411666198,1.7132175882500726
420.0,0.42358221987259154,0.8471644397451888,1.7292533403822197
427.67355,0.41766887537648606,0.8353377507529742,1.7469933738705397
430.0,0.41593643909890027,0.8318728781978001,1.7521906827032996
433.0092,0.41373412513374797,0.8274682502674983,1.7587976245987538
433.71085,0.41322674744830357,0.8264534948966099,1.7603197576550866
439.6167,0.40904372760953717,0.8180874552190747,1.7728688171713882
439.9442,0.4088161926687558,0.817632385337512,1.773551421993732
440.0,0.4087774319720318,0.8175548639440642,1.7736677040839042
442.70193,0.4069183356070093,0.8138366712140147,1.7792449931789762
447.77844,0.40350563712530035,0.8070112742505935,1.7894830886241062
450.0,0.40204424219419116,0.8040884843883697,1.7938672734174392
450.50708,0.401713359358129,0.8034267187162456,1.7948599219256254
453.76892,0.3996075442310984,0.7992150884621795,1.8011773673067222
454.42978,0.3991856660255933,0.7983713320511701,1.8024430019232367
460.0,0.39569222632153245,0.7913844526430327,1.812923321035435
