Temperature (T),Ca,Cb,Cc,region_id,residual_nonlinear,residual_linearized,linearization_error,abs_linearization_error
280.0,0.9936625015244944,1.9873250030489888,0.0190124954265167,0,-5.238051745820593e-18,0.2728272935329268,0.2728272935329268,0.2728272935329268
280.492930030627,0.993227361662898,1.986454723325796,0.0203179150113063,0,-1.1333300834262539e-16,0.26504383359765893,0.26504383359765904,0.26504383359765904
281.0,0.9927510774488736,1.9855021548977472,0.0217467676533791,0,5.514523299804397e-17,0.2570855165845214,0.25708551658452133,0.25708551658452133
282.974974395135,0.9905870080811124,1.9811740161622249,0.0282389757566631,0,-1.2805782909769414e-16,0.22661081930088445,0.2266108193008846,0.2266108193008846
283.0,0.990556139256624,1.981112278513248,0.028331582230128,0,-4.9642906972680034e-17,0.22623048633501558,0.22623048633501563,0.22623048633501563
285.0,0.9877690914714689,1.9755381829429377,0.0366927255855933,0,3.06287113727155e-18,0.19637563034421637,0.19637563034421637,0.19637563034421637
285.097540806183,0.9876158115382424,1.9752316230764848,0.0371525653852729,0,-4.718989955743158e-17,0.19494891168059858,0.19494891168059864,0.19494891168059864
286.045403554984,0.9860335871088148,1.9720671742176297,0.0418992386735554,0,1.3308581667259567e-17,0.18124123206446113,0.18124123206446113,0.18124123206446113
287.0,0.984259151349224,1.968518302698448,0.0472225459523282,0,-1.3725999503666486e-16,0.16774186301003796,0.1677418630100381,0.1677418630100381
287.375234308515,0.9835083606399254,1.9670167212798508,0.0494749180802237,0,-2.030168567979107e-17,0.16252552965111156,0.16252552965111158,0.16252552965111158
288.181818181818,0.9817860691317928,1.9635721382635856,0.0546417926046216,0,-4.851804721872632e-18,0.15149593383572008,0.15149593383572008,0.15149593383572008
289.0,0.9798788916749956,1.9597577833499915,0.0603633249750131,0,-2.382534274036896e-17,0.14057821408497287,0.1405782140849729,0.1405782140849729
290.0,0.977312533968704,1.954625067937408,0.0680623980938875,0,9.75781955236954e-17,0.1276319027684322,0.1276319027684321,0.1276319027684321
291.0,0.9744675667209928,1.948935133441985,0.076597299837022,0,-6.537739100087592e-17,0.11515621056513795,0.11515621056513801,0.11515621056513801
292.857142857143,0.9683727128450168,1.9367454256900336,0.0948818614649497,0,-3.859759734048396e-17,0.09335756530038986,0.0933575653003899,0.0933575653003899
