Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01703,0.01106
2,0.01272,0.01125
3,0.01376,0.01703
4,0.01129,0.0084
5,0.01377,0.01098
6,0.01611,0.00989
7,0.00997,0.00799
8,0.0223,0.01159
9,0.01498,0.00834
10,0.01321,0.0108
11,0.01246,0.00718
12,0.013,0.00996
13,0.00981,0.01031
14,0.01359,0.00865
15,0.0109,0.00346
16,0.01984,0.00433
17,0.01196,0.00592
18,0.01477,0.00962
19,0.01092,0.00523
20,0.01337,0.00817
21,0.02452,0.00783
22,0.01333,0.00822
23,0.01844,0.00735
24,0.01339,0.00837
25,0.01721,0.00715
26,0.00922,0.01256
27,0.01153,0.00697
28,0.01376,0.00993
29,0.01295,0.0063
30,0.01395,0.0091
31,0.00953,0.00951
32,0.0125,0.00749
33,0.01021,0.01141
34,0.01738,0.00644
35,0.01171,0.01072
36,0.02229,0.00687
37,0.00856,0.00846
38,0.01401,0.01164
39,0.00968,0.01267
40,0.01241,0.01013
41,0.01327,0.00705
42,0.01143,0.00917
43,0.00975,0.00844
44,0.01378,0.00511
45,0.01469,0.00268
46,0.01078,0.01137
47,0.01623,0.00828
48,0.01176,0.00826
49,0.01099,0.00649
50,0.01494,0.00696
