region_id,T_low,T_high,C_low,C_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error
0,280.0,364.7690042870335,0.8,0.9205769491553576,2125,0.16102505346856458,0.23091368420538558,0.5771613575565312
1,280.0,364.7690042870335,0.9205769491553576,1.0548895757784482,2210,0.17284751152105587,0.24974600235734884,0.6325752817847718
2,280.0,364.7690042870335,1.0548895757784482,1.2,2550,0.18434420316985672,0.26860678306749297,0.6926209706926418
3,364.7690042870335,394.0257107685907,0.8,0.9205769491553576,750,0.16433420868695267,0.2080177061293736,0.626077038709559
4,364.7690042870335,394.0257107685907,0.9205769491553576,1.0548895757784482,780,0.16966247187075428,0.21629413242949633,0.623650507778075
5,364.7690042870335,394.0257107685907,1.0548895757784482,1.2,900,0.1816807235163296,0.23117293965242877,0.6455154160395977
6,394.0257107685907,410.92253195782575,0.8,0.9205769491553576,400,0.24345494421917876,0.3030953559314066,0.799814819328418
7,394.0257107685907,410.92253195782575,0.9205769491553576,1.0548895757784482,416,0.22545754768205864,0.2765460531415515,0.7003287553096911
8,394.0257107685907,410.92253195782575,1.0548895757784482,1.2,480,0.2404961972456502,0.2941090676168747,0.7101248969214817
9,410.92253195782575,422.7337155613557,0.8,0.9205769491553576,300,0.5178254133589895,0.6703175803309651,1.6394746411672703
10,410.92253195782575,422.7337155613557,0.9205769491553576,1.0548895757784482,312,0.46506525332181364,0.5963286198521797,1.4162640592736548
11,410.92253195782575,422.7337155613557,1.0548895757784482,1.2,360,0.4930123174145735,0.6311035360091003,1.4492637902001162
12,422.7337155613557,431.8213792749726,0.8,0.9205769491553576,225,0.9138543954717954,1.2046540451421608,2.828600057835981
13,422.7337155613557,431.8213792749726,0.9205769491553576,1.0548895757784482,234,0.8091950332023148,1.0613670652180112,2.4423316844383534
14,422.7337155613557,431.8213792749726,1.0548895757784482,1.2,270,0.8535150196703783,1.1185807612554193,2.518286338106609
15,431.8213792749726,439.22094915826335,0.8,0.9205769491553576,200,1.441143291049115,1.9104107285153729,4.449871526433581
16,431.8213792749726,439.22094915826335,0.9205769491553576,1.0548895757784482,208,1.2686696349617124,1.6758330402829018,3.8371198654339977
17,431.8213792749726,439.22094915826335,1.0548895757784482,1.2,240,1.333084846032057,1.7598119816190314,3.9552262164971363
18,439.22094915826335,445.4738875051973,0.8,0.9205769491553576,150,2.067121902349039,2.7563189729899666,6.287375921776061
19,439.22094915826335,445.4738875051973,0.9205769491553576,1.0548895757784482,156,1.8097358846841685,2.4087923186350064,5.4319071731032516
20,439.22094915826335,445.4738875051973,1.0548895757784482,1.2,180,1.8954950691820973,2.5221498597109284,5.622465179663909
21,445.4738875051973,450.898308414786,0.8,0.9205769491553576,125,2.805655660083222,3.7480594279707855,8.37935793638297
22,445.4738875051973,450.898308414786,0.9205769491553576,1.0548895757784482,130,2.4491863997013428,3.2686151783872517,7.260919132813413
23,445.4738875051973,450.898308414786,1.0548895757784482,1.2,150,2.559306297622558,3.415491684965358,7.549548438761104
24,450.898308414786,455.69479302050746,0.8,0.9205769491553576,125,3.6601778319810077,4.889906146520225,10.89410551045684
25,450.898308414786,455.69479302050746,0.9205769491553576,1.0548895757784482,130,3.190072504833403,4.257984764470375,9.434710310098684
26,450.898308414786,455.69479302050746,1.0548895757784482,1.2,150,3.3268963068744513,4.440721303706554,9.802167242336658
27,455.69479302050746,460.0,0.8,0.9205769491553576,125,4.619164887013743,6.175283047968415,13.874344918184853
28,455.69479302050746,460.0,0.9205769491553576,1.0548895757784482,130,4.018997100546353,5.367987751616812,11.974419186671234
29,455.69479302050746,460.0,1.0548895757784482,1.2,150,4.182807180761173,5.586119364166957,12.383454243626076
