axis,segment,low,high,center,length,estimated_axis_taylor_bound
T,0,280.0,364.76900428703345,322.3845021435167,84.76900428703345,32579.963680224253
T,1,364.76900428703345,394.0257107685907,379.3973575278121,29.256706481557273,32579.963684514772
T,2,394.0257107685907,410.92253195782575,402.47412136320827,16.896821189235027,32579.96367556433
T,3,410.92253195782575,422.7337155613557,416.82812375959077,11.811183603529969,32579.963684500563
T,4,422.7337155613557,431.8213792749726,427.2775474181642,9.087663713616905,32579.96368450046
T,5,431.8213792749726,439.22094915826335,435.521164216618,7.399569883290724,32579.963629812606
T,6,439.22094915826335,445.4738875051973,442.3474183317303,6.252938346933945,32579.963684295024
T,7,445.4738875051973,450.898308414786,448.1860979599917,5.424420909588719,32579.963684496586
T,8,450.898308414786,455.69479302050746,453.2965507176467,4.796484605721446,32579.963683407917
T,9,455.69479302050746,460.0,457.8473965102537,4.305206979492539,32579.963684312715
Cao,0,0.8,0.9205769491553575,0.8602884745776788,0.12057694915535744,83.89114889822508
Cao,1,0.9205769491553575,1.0548895757784482,0.9877332624669029,0.13431262662309074,83.89114885939257
Cao,2,1.0548895757784482,1.2,1.1274447878892242,0.14511042422155174,83.89114886457106
