Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01196,0.01278
2,0.02291,0.00647
3,0.01161,0.00327
4,0.00849,0.00878
5,0.01301,0.00557
6,0.01446,0.00655
7,0.0137,0.00824
8,0.01377,0.00583
9,0.0148,0.00355
10,0.03275,0.01508
11,0.01289,0.00412
12,0.01669,0.01058
13,0.01394,0.00227
14,0.01659,0.01102
15,0.01645,0.01055
16,0.01282,0.00523
17,0.01478,0.00489
18,0.02351,0.00871
19,0.01462,0.00806
20,0.01273,0.00229
21,0.03639,0.00485
22,0.03107,0.00337
23,0.01602,0.00428
24,0.00976,0.01111
25,0.01346,0.00487
26,0.0097,0.00563
27,0.02198,0.00628
28,0.00782,0.00952
29,0.00962,0.00396
30,0.01042,0.00348
31,0.01193,0.00907
32,0.01239,0.00399
33,0.0082,0.00488
34,0.01759,0.00784
35,0.0136,0.00665
36,0.0117,0.01523
37,0.00815,0.00459
38,0.0083,0.00736
39,0.01395,0.01052
40,0.02171,0.00608
41,0.01095,0.00674
42,0.01087,0.00719
43,0.00935,0.00735
44,0.01207,0.00272
45,0.0132,0.00657
46,0.00964,0.00327
47,0.01389,0.00408
48,0.01202,0.01287
49,0.01006,0.01098
50,0.01391,0.00453
