Iteration,NN_Training_Error,KKThPINN_Training_Error
1,7e-05,9e-05
2,0.0002,4e-05
3,0.00018,7e-05
4,0.00023,0.00011
5,0.00011,7e-05
6,6e-05,7e-05
7,5e-05,0.00012
8,8e-05,0.00015
9,7e-05,0.00015
10,0.0002,0.00011
11,0.00016,5e-05
12,3e-05,0.00011
13,6e-05,0.00017
14,0.00012,8e-05
15,9e-05,8e-05
16,7e-05,0.00015
17,7e-05,0.0001
18,0.00011,0.00011
19,0.00023,8e-05
20,0.00013,5e-05
21,9e-05,8e-05
22,9e-05,4e-05
23,8e-05,0.00014
24,0.00013,6e-05
25,0.00021,0.00015
26,0.0,2e-05
27,5e-05,0.00014
28,0.00015,3e-05
29,4e-05,5e-05
30,0.00022,0.00014
31,7e-05,0.0001
32,0.00024,0.00023
33,0.00019,0.00011
34,4e-05,0.00015
35,0.00021,5e-05
36,0.00012,4e-05
37,0.0002,7e-05
38,0.00013,0.00015
39,0.00015,0.0001
40,0.00012,0.00013
41,7e-05,8e-05
42,0.0002,0.0001
43,0.00021,0.00014
44,0.00014,0.0001
45,0.00022,0.00014
46,0.00021,0.00015
47,0.0002,0.00014
48,0.00021,7e-05
49,0.00016,8e-05
50,0.00015,0.00015
