region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,Ccss,fss,aCa,aCb,aCc,aT,aCao,b
0,0,0,280,296.36363636363637,0.80000000000000004,0.93333333333333335,288.18181818181819,0.8666666666666667,0.85080685583293014,1.9682803783318603,0.047579432502209799,-3.3473286534073388e-13,-1.0188173460947811,-0.016267933412605896,0.0031550656250977642,-0.0020694447718577172,1,-0.6283962111128566
1,0,1,280,296.36363636363637,0.93333333333333335,1.0666666666666667,288.18181818181819,1,0.98178606913179278,1.9635721382635856,0.054641792604621597,-1.7024142512367391e-15,-1.0187274294144433,-0.018727429414443383,0.0031550656250977642,-0.002376618763271643,1,-0.72167097494414512
2,0,2,280,296.36363636363637,1.0666666666666667,1.2,288.18181818181819,1.1333333333333333,1.1127870627247607,1.958907458783522,0.061638811824717303,3.3176109429100542e-13,-1.0186385570064189,-0.021175829426348668,0.0031550656250977642,-0.0026809507841073716,1,-0.81408276162923543
3,1,0,296.36363636363637,312.72727272727275,0.80000000000000004,0.93333333333333335,304.54545454545456,0.8666666666666667,0.7774483995614353,1.8215634657888704,0.26765480131669439,-3.3419447764693189e-13,-1.1212901515236728,-0.10353395416152134,0.018974317120763157,-0.010479008505652917,1,-3.3799280769090396
4,1,1,296.36363636363637,312.72727272727275,0.93333333333333335,1.0666666666666667,304.54545454545456,1,0.89936283440136866,1.7987256688027375,0.3019114967958938,-8.2833045977892539e-16,-1.1182678736686298,-0.11826787366862966,0.018974317120763157,-0.01182019947826449,1,-3.8125194830884883
5,1,2,296.36363636363637,312.72727272727275,1.0666666666666667,1.2,304.54545454545456,1.1333333333333333,1.0217627861569265,1.776858905647853,0.33471164152822058,3.3213622824268541e-13,-1.1154098325013095,-0.13273025970899749,0.018974317120763157,-0.013104364731216601,1,-4.226717657610668
6,2,0,312.72727272727275,329.09090909090912,0.80000000000000004,0.93333333333333335,320.90909090909093,0.8666666666666667,0.62069766213034505,1.5080619909266899,0.73790701360996502,-3.5059455338881662e-13,-1.5092538677300906,-0.41920383516418613,0.095030511027634906,-0.026674268122700059,1,-9.1922005041828267
7,2,1,312.72727272727275,329.09090909090912,0.93333333333333335,1.0666666666666667,320.90909090909093,1,0.72946152205564485,1.4589230441112897,0.81161543383306567,-1.9165224962591765e-14,-1.4766073286493726,-0.47660732864937261,0.095030511027634906,-0.029338720591193444,1,-10.110395568114608
8,2,2,312.72727272727275,329.09090909090912,1.0666666666666667,1.2,320.90909090909093,1.1333333333333333,0.84044341770486031,1.4142201687437206,0.8786697468844189,3.1263880373444408e-13,-1.4478473419745275,-0.53229385214250502,0.095030511027634906,-0.031762636737978668,1,-10.945699581858648
9,3,0,329.09090909090912,345.45454545454544,0.80000000000000004,0.93333333333333335,337.27272727272725,0.8666666666666667,0.48417159911250168,1.2350098648910035,1.1474852026634947,-3.8469227803261674e-13,-2.7547442058130067,-1.3758550960835638,0.40706602535972802,-0.041338543851889308,1,-15.641558042733701
10,3,1,329.09090909090912,345.45454545454544,0.93333333333333335,1.0666666666666667,337.27272727272725,1,0.58507173513314215,1.1701434702662843,1.2447847946005737,-5.5844218138645374e-14,-2.5752561750799012,-1.5752561750799012,0.40706602535972802,-0.044843794672314419,1,-16.967864657656069
