region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,Ccss,fss,aCa,aCb,aCc,aT,aCao,b
0,0,0,280.0,316.0,0.8,0.9333333333333333,298.0,0.8666666666666667,0.8183905421979452,1.9034477510618903,0.1448283734071646,-3.366916120906005e-13,-1.0606666109772334,-0.052167421588821324,0.009479193542082084,-0.005903403247501707,1.0,-1.8585121290574484
1,0,1,280.0,316.0,0.9333333333333333,1.0666666666666667,298.0,1.0,0.9450342117372588,1.890068423474517,0.1648973647882239,-4.108909393285565e-15,-1.0598167575269417,-0.05981675752694179,0.009479193542082084,-0.006721442876794192,1.0,-2.1160477418809727
2,0,2,280.0,316.0,1.0666666666666667,1.2,298.0,1.1333333333333333,1.071848754609273,1.8770308425525457,0.1844537361711811,3.288458914896264e-13,-1.0589943787465697,-0.06737561254184685,0.009479193542082084,-0.007518587411497567,1.0,-2.367005151403192
3,1,0,316.0,352.0,0.8,0.9333333333333333,334.0,0.8666666666666667,0.5057707274725612,1.2782081216111223,1.082687817583316,-3.676503546046206e-13,-2.372436921417103,-1.0861117347312754,0.3077918450257371,-0.03861343774595072,1.0,-14.285165047458202
4,1,1,316.0,352.0,0.9333333333333333,1.0666666666666667,334.0,1.0,0.6077816517097817,1.2155633034195634,1.1766550448706548,-3.780309398848658e-14,-2.241207551079639,-1.2412075510796392,0.3077918450257371,-0.04196472481327758,1.0,-15.524984438654386
5,1,2,316.0,352.0,1.0666666666666667,1.2,334.0,1.1333333333333333,0.7135930643947225,1.160519462123445,1.2592208068148325,2.9309887850104133e-13,-2.131342504074684,-1.3913048263498708,0.3077918450257371,-0.04490938518259328,1.0,-16.61437097971146
6,2,0,352.0,388.0,0.8,0.9333333333333333,370.0,0.8666666666666667,0.380301792289976,1.027270251245952,1.4590946231310715,-6.483702463810914e-13,-21.758084927101766,-15.36954251855241,5.077101861982213,-0.10354414554962199,1.0,-54.10000765792881
7,2,1,352.0,388.0,0.9333333333333333,1.0666666666666667,370.0,1.0,0.4762765568693601,0.9525531137387204,1.5711703293919197,-3.348432642269472e-13,-18.848275598224742,-17.84827559822474,5.077101861982213,-0.11149755930201233,1.0,-58.255527437700366
8,2,2,352.0,388.0,1.0666666666666667,1.2,370.0,1.1333333333333333,0.578296132165683,0.8899255976653649,1.6651116035019522,-2.6645352591003757e-14,-16.578486388932888,-20.246587911056437,5.077101861982213,-0.11816406934554424,1.0,-61.73866250528261
9,3,0,388.0,424.0,0.8,0.9333333333333333,406.0,0.8666666666666667,0.3410754079589719,0.9488174825839452,1.576773776124083,-3.453237695794087e-12,-238.04989220533986,-170.42664195094733,50.943450892053804,-0.6206489528193551,1.0,-413.68725222579144
10,3,1,388.0,424.0,0.9333333333333333,1.0666666666666667,406.0,1.0,0.4352892150037546,0.8705784300074882,1.694132354988757,-2.3305801732931286e-12,-200.5676810307797,-199.56768103078454,50.943450892053804,-0.666843581484267,1.0,-444.47781251462794
11,3,2,388.0,424.0,1.0666666666666667,1.2,406.0,1.1333333333333333,0.5364517153968458,0.8062367641276899,1.7906448538084645,-3.353761712787673e-12,-172.1589452652165,-227.77058521359666,50.943450892053804,-0.7048327859177617,1.0,-469.79913066869176
12,4,0,424.0,460.0,0.8,0.9333333333333333,442.0,0.8666666666666667,0.3143811810862773,0.8954290288384391,1.6568564567422834,1.6257217794191092e-11,-1853.1046681525424,-1300.5315537391662,351.09533189580515,-3.612023166531774,1.0,-2761.047945745452
13,4,1,424.0,460.0,0.9333333333333333,1.0666666666666667,442.0,1.0,0.4073984310141732,0.8147968620282438,1.777804706957583,-2.2168933355715126e-11,-1534.563920825384,-1533.5639208255773,351.09533189580515,-3.875695906529895,1.0,-2962.6006610946242
14,4,2,424.0,460.0,1.0666666666666667,1.2,442.0,1.1333333333333333,0.5080654205809796,0.7494641744959349,1.8758037382560853,-2.3078428057488054e-11,-1298.4927583407875,-1759.1533428814032,351.09533189580515,-4.089338295348561,1.0,-3125.9099344784395
