Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.01697,0.00916
2,0.01997,0.00809
3,0.01381,0.00659
4,0.00968,0.01127
5,0.01193,0.01256
6,0.01,0.00983
7,0.0122,0.01058
8,0.00698,0.00785
9,0.01221,0.01195
10,0.01462,0.01088
11,0.01587,0.00752
12,0.01068,0.00963
13,0.00638,0.00523
14,0.01055,0.0077
15,0.01053,0.00729
16,0.01265,0.00544
17,0.01426,0.00438
18,0.0171,0.00671
19,0.01268,0.01204
20,0.01072,0.00761
21,0.01064,0.00988
22,0.01372,0.00953
23,0.00821,0.00741
24,0.01327,0.00708
25,0.01381,0.00722
26,0.0185,0.01018
27,0.01654,0.01288
28,0.01915,0.01135
29,0.01118,0.00668
30,0.01834,0.00914
31,0.01268,0.00914
32,0.01224,0.00935
33,0.01348,0.00891
34,0.00895,0.00561
35,0.01862,0.00709
36,0.00868,0.0067
37,0.01164,0.004
38,0.00939,0.00569
39,0.01393,0.00809
40,0.0066,0.00869
41,0.02485,0.0124
42,0.01861,0.01068
43,0.01492,0.00467
44,0.01676,0.00946
45,0.00745,0.01036
46,0.01219,0.00899
47,0.01461,0.00717
48,0.00851,0.00365
49,0.01771,0.01073
50,0.01084,0.0081
