Iteration,NN_Training_Error,KKThPINN_Training_Error
1,8e-05,0.00033
2,1e-05,0.00034
3,1e-05,0.00033
4,1e-05,0.00035
5,2e-05,0.00033
6,2e-05,0.00033
7,4e-05,0.00037
8,2e-05,0.00044
9,0.00024,0.00036
10,2e-05,0.00037
11,3e-05,0.00034
12,0.00012,0.00033
13,3e-05,0.00034
14,0.00028,0.00036
15,1e-05,0.00042
16,7e-05,0.00034
17,0.00016,0.00035
18,2e-05,0.00039
19,6e-05,0.00034
20,0.00012,0.00034
21,4e-05,0.00035
22,6e-05,0.00033
23,1e-05,0.00037
24,7e-05,0.00033
25,0.00023,0.00034
26,2e-05,0.00036
27,9e-05,0.00033
28,1e-05,0.00037
29,3e-05,0.00034
30,0.00022,0.00036
31,8e-05,0.00036
32,0.00022,0.00035
33,1e-05,0.00037
34,2e-05,0.00033
35,0.00023,0.00033
36,6e-05,0.00037
37,1e-05,0.00035
38,2e-05,0.0004
39,2e-05,0.00037
40,1e-05,0.00034
41,6e-05,0.00033
42,3e-05,0.00033
43,0.00023,0.00039
44,2e-05,0.0004
45,3e-05,0.00033
46,2e-05,0.00033
47,4e-05,0.00038
48,1e-05,0.00035
49,0.00022,0.00035
50,1e-05,0.00039
