Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.0282,0.01062
2,0.0418,0.01065
3,0.03556,0.00876
4,0.03097,0.0134
5,0.01714,0.01036
6,0.01649,0.02306
7,0.01846,0.01344
8,0.026,0.0127
9,0.02491,0.02182
10,0.03272,0.01628
11,0.03335,0.01314
12,0.01518,0.0165
13,0.02953,0.01248
14,0.01978,0.02057
15,0.04155,0.01554
16,0.02331,0.00932
17,0.04032,0.0116
18,0.02775,0.01151
19,0.03012,0.01404
20,0.03439,0.02548
21,0.04491,0.01588
22,0.03498,0.009
23,0.0227,0.01292
24,0.01582,0.01473
25,0.01464,0.01906
26,0.01792,0.01816
27,0.02458,0.01706
28,0.03129,0.01029
29,0.03715,0.0153
30,0.02932,0.00895
31,0.01334,0.01426
32,0.03756,0.01962
33,0.0261,0.01144
34,0.02692,0.01918
35,0.01904,0.00865
36,0.02129,0.01417
37,0.02839,0.01058
38,0.02043,0.02036
39,0.04059,0.01566
40,0.01917,0.01313
41,0.02552,0.01108
42,0.02267,0.01298
43,0.02203,0.01552
44,0.02109,0.01099
45,0.0422,0.01576
46,0.02997,0.00945
47,0.02502,0.03232
48,0.03376,0.011
49,0.01991,0.02218
50,0.02679,0.01311
