Model,30_RMSE3,30_VIOL,50_RMSE3,50_VIOL,100_RMSE3,100_VIOL
NN,0.0961016075902376,2746.35377132335,0.0874058851170268,23033.135917160704,0.1119643151586163,9121.595351098962
KKThPINN,0.0855337731943979,3.9748796846576324e-13,0.08162758463253388,4.01464372856708e-12,0.1074383081565239,3.809150564415553e-12
