Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00362,0.0044
2,0.00549,0.00177
3,0.01037,0.00925
4,0.00575,0.00315
5,0.01169,0.00313
6,0.00313,0.00886
7,0.00674,0.00513
8,0.00274,0.00294
9,0.00268,0.00687
10,0.00413,0.00304
11,0.00411,0.00548
12,0.00404,0.00261
13,0.00452,0.00563
14,0.00912,0.00418
15,0.00166,0.005
16,0.01012,0.00232
17,0.00356,0.00628
18,0.00851,0.00603
19,0.00696,0.00358
20,0.0029,0.00322
21,0.00578,0.00599
22,0.00385,0.00228
23,0.00195,0.00818
24,0.00659,0.00364
25,0.00633,0.00294
26,0.00423,0.00397
27,0.00445,0.00661
28,0.0046,0.00207
29,0.00689,0.00282
30,0.00495,0.00473
31,0.0072,0.00637
32,0.00171,0.00297
33,0.00148,0.00576
34,0.00465,0.00287
35,0.00394,0.00516
36,0.00638,0.00259
37,0.00857,0.00361
38,0.00367,0.00517
39,0.00408,0.0043
40,0.00537,0.00589
41,0.00265,0.00585
42,0.00725,0.00348
43,0.00249,0.00212
44,0.00164,0.0051
45,0.01194,0.00372
46,0.00164,0.00265
47,0.00517,0.00262
48,0.00829,0.00209
49,0.00816,0.00393
50,0.00439,0.00243
