model,run,final_train_violation_rxn,inference_violation_rxn
NN,0,79.05119415615083,147.7612308568304
NN,1,55.5401409253818,112.22906956277892
NN,2,17.958275704592573,44.75514032428139
NN,3,49.64994796848294,81.76774822667467
NN,4,51.73159791922647,65.64934743259619
NN,5,69.85522783952342,131.2955766786767
NN,6,82.51518239794964,138.48632194697174
NN,7,64.04111704634425,128.2145201495947
NN,8,70.59042261721943,131.7366798133031
NN,9,42.81808933463338,84.43330341256649
NN,10,77.50014278145346,142.9563344943845
NN,11,61.31381257343952,97.53831465774464
NN,12,26.904763459364503,60.11606959561176
NN,13,61.29853130855067,134.4039144864367
NN,14,59.8811932549097,120.08920050576629
NN,15,32.836570159360384,62.98048379115121
NN,16,62.600710971696394,130.52722805703152
NN,17,20.036984818040224,41.10990864672443
NN,18,24.13412458907578,40.56090214594055
NN,19,71.17685960781849,135.72793489007992
NN,20,71.2295248332669,153.8770230260928
NN,21,8.551346418688418,15.317681481004827
NN,22,31.876384140495748,63.85973253231766
NN,23,23.52749968231365,42.32406750716784
NN,24,30.69695050159022,55.54330659705016
NN,25,79.11539360716311,157.14504699978485
NN,26,47.523947372760794,79.81118011282695
NN,27,68.78582157960484,142.60124263067888
NN,28,64.93830155763801,113.46868707187004
NN,29,58.2473742415663,118.99035958189648
NN,30,72.74714194215032,136.0498192221323
NN,31,31.059314432545296,67.62927457096123
NN,32,42.79293761498895,88.84685260813673
NN,33,88.01155916638851,173.64160202981645
NN,34,63.65420250207546,134.72243982909183
NN,35,80.76278974901429,144.71887600381228
NN,36,15.090586850688211,42.00036359065388
NN,37,74.15136072099388,138.31712732814458
NN,38,85.99982866408955,162.47210385314838
NN,39,57.38959220711313,73.77822276432529
NN,40,69.70032268468246,138.42296725523275
NN,41,74.69594493492143,133.3519165137407
NN,42,74.37688033771454,123.69601314901362
NN,43,74.50384015463811,94.23109143409675
NN,44,50.31854672425217,107.15944090021009
NN,45,83.64054426307364,149.50582364969344
NN,46,33.49081994028098,72.95739828469016
NN,47,39.75493738333727,64.65188263371348
NN,48,45.11945298278953,92.34320476900496
NN,49,77.54982818907402,124.79659068210624
PINN,0,17.14401812725781,26.29440807851924
PINN,1,15.72468373520984,29.034100917180417
PINN,2,7.558151026790588,12.55652641899961
PINN,3,10.888149078702346,13.518376650877444
PINN,4,9.526441215663345,14.275045152959088
PINN,5,24.501230901529475,39.31842531697235
PINN,6,14.770586726186385,15.904544473380652
PINN,7,10.442795639780833,17.50743919055831
PINN,8,9.207329326934353,15.38697188711508
PINN,9,7.546163556478235,15.82709553331629
PINN,10,16.43344013558196,29.42722919136809
PINN,11,1.5652098165490798,2.3470497350868853
PINN,12,7.585912952341389,14.68183070105922
PINN,13,15.651321998573728,27.794079577074985
PINN,14,14.748209948002359,25.71893679459308
PINN,15,4.6703973240398255,8.254335139610388
PINN,16,10.815294486095215,18.4375551154924
PINN,17,3.672968710997243,4.511498619321617
PINN,18,5.010669799421901,5.598531455059515
PINN,19,16.614166909650532,24.39921173333407
PINN,20,23.066839663442806,39.26008306553502
PINN,21,4.824613371271778,5.39554113179776
PINN,22,7.433931746379791,10.432560849598085
PINN,23,10.405743403513993,11.407149231138574
PINN,24,7.971041452319456,10.474470239910982
PINN,25,19.996916793082764,33.054311663372864
PINN,26,10.5401639476709,12.543685736125289
