model,run,mu_rxn,mu_mb,training_time_sec,rmse_total,violation_pl,violation_original_nonlinear,violation_rxn,violation_mb,prediction_time_sec
NN,0,0.0,0.0,7.464891273062676,0.096188949795971,75.105568688171,73.88386378032695,147.7612308568304,0.0064967038234852075,0.0003633471205830574
NN,1,0.0,0.0,7.6016482450068,0.06425256774853452,52.78138564377142,56.130692890334565,112.22906956277893,0.03231621789019949,0.0003595990128815174
NN,2,0.0,0.0,7.554953284095973,0.06284248790119323,17.445353179274118,22.395057648450532,44.75514032428139,0.03497497261967601,0.00037742918357253075
NN,3,0.0,0.0,7.668292945250869,0.07628904205879611,39.647006089286855,40.91446810084122,81.76774822667467,0.06118797500776395,0.0003716638311743736
NN,4,0.0,0.0,7.6108924159780145,0.08511808236655778,34.26356052481786,32.837105920028655,65.64934743259619,0.024864407461124744,0.00038870517164468765
NN,5,0.0,0.0,7.594173771794885,0.08875340043037208,64.97951999607662,65.65620166504308,131.2955766786767,0.01682665140946851,0.0003815130330622196
NN,6,0.0,0.0,7.564114946406335,0.10457292117771078,70.9642914351605,69.25478083959027,138.48632194697174,0.02323973220880062,0.0003817840479314327
NN,7,0.0,0.0,7.735305229667574,0.08198944233889335,62.65252638628143,64.11432905558668,128.2145201495947,0.014137961578664001,0.00035961903631687164
NN,8,0.0,0.0,7.627738279756159,0.07890973164048315,65.44532105266077,65.87308421274916,131.7366798133031,0.009488612195214614,0.00036635622382164
NN,9,0.0,0.0,7.581413220148534,0.05718219623967935,38.47222145017642,42.23732289986293,84.43330341256649,0.04134238715936636,0.0003666863776743412
NN,10,0.0,0.0,7.583394265267998,0.08868021668750149,72.56892236836302,71.4812612205011,142.9563344943845,0.006187946617689677,0.00035646092146635056
NN,11,0.0,0.0,7.630408009979874,0.0753184287451376,47.647136600507814,48.77462792547849,97.53831465774465,0.010941193212333049,0.0003665955737233162
NN,12,0.0,0.0,7.606958843767643,0.044919783455240704,26.029481458365076,30.077639444063532,60.11606959561176,0.03920929251530699,0.0003644591197371483
NN,13,0.0,0.0,7.59567078622058,0.07449027130587207,65.11212126713792,67.21068835205926,134.4039144864367,0.017462217681846772,0.00036552920937538147
