mu_rxn,mu_mb,repeats,rmse_mean,rmse_std,violation_total_mean,violation_total_std,violation_rxn_mean,violation_rxn_std,violation_mb_mean,violation_mb_std,is_pareto
3e-07,0.1,3,0.1114094582560593,0.008513755212009946,13.135732625433711,3.1625912321092318,26.236713708267843,6.319053507188724,0.034751542599581436,0.010647076100990877,False
1e-06,0.0,3,0.09297942022926885,0.018901363210251626,7.090961235753866,4.274588106053155,14.09588689115657,8.499080172258909,0.08603558035116064,0.05409376089393975,True
1e-06,0.001,3,0.09316039468641384,0.018153517544502357,7.0911127042883955,4.28742414491972,14.097688314523593,8.526574992669188,0.08453709405319831,0.05196044899586717,False
1e-06,0.01,3,0.09761514527793484,0.018774874653496382,7.0847967892119295,3.773154482850868,14.091235237877234,7.511779585102944,0.07835834054662714,0.039692797267527544,True
1e-06,0.05,3,0.10449817899676007,0.014013820731095417,8.339175851037181,2.5960909563230503,16.624206699756503,5.1750864468836975,0.05414500231786066,0.018367600261555112,False
1e-06,0.1,3,0.10807296441744642,0.02510226982122001,7.66692191948043,2.388075710325861,15.295845912457258,4.771132932670591,0.03799792650360423,0.005361010750394753,False
3e-06,0.0,3,0.10665242173359424,0.011653963047614768,5.626042368178559,2.1811920789070154,11.16765322617865,4.347231193783809,0.08443151017846472,0.017832104499188414,True
3e-06,0.001,3,0.1096198790717285,0.0152516855327267,5.833335143899196,2.474369900903943,11.590830960664134,4.942002893828417,0.07583932713425824,0.007365472595926617,False
3e-06,0.01,3,0.11683812928156546,0.014264121075742937,6.714362525096139,4.128248625247598,13.350659697692414,8.230861840846936,0.07806535249986436,0.029071031507730292,False
3e-06,0.05,3,0.12367304876926088,0.012108927038924317,6.970454864397451,4.013973259960881,13.87690420389531,8.01287075995645,0.06400552489959087,0.015349993485986748,False
3e-06,0.1,3,0.13376305262713864,0.02723978248408038,7.307205598838038,1.491948438202468,14.5660275703792,2.977927996268721,0.048383627296876584,0.01337414840030457,False
1e-05,0.0,3,0.16807059843555147,0.00488329786149952,4.868234205620998,1.1675408557142846,9.539678422495994,2.331280502112679,0.19678998874600195,0.0038434386492549625,False
1e-05,0.001,3,0.16821849336733755,0.00454272789668722,4.896271552531249,1.1550166850741703,9.598687561820045,2.306691997788817,0.1938555432424525,0.0033535304696809235,False
1e-05,0.01,3,0.1553697003374763,0.03233979551969758,4.581801492651056,0.25258862690735717,9.020477587464795,0.4452051885806151,0.14312539783731967,0.0601884891478153,True
1e-05,0.05,3,0.16017855710888623,0.03149170683564092,4.802397827246067,0.462896227530386,9.510357964048241,0.9064259683297291,0.09443769044389376,0.03440177414706792,False
1e-05,0.1,3,0.18991581885900408,0.016092462562769784,5.6756088940401375,0.405219160644114,11.260518989970066,0.8077781304118539,0.09069879811020946,0.012842866219311832,False
3e-05,0.0,3,0.3024440670944007,0.10741579355422698,5.378980712119616,3.1722807024082833,9.946704686728031,5.651553116594272,0.8112567375112012,0.6934035171471575,False
3e-05,0.001,3,0.2964548282176259,0.09783872319256258,5.600001066623091,3.522392207782501,10.418534807585727,6.39131153043558,0.7814673256604565,0.6534802291302699,False
3e-05,0.01,3,0.28741033421470247,0.11289274881851269,4.602814049103256,4.575644850174026,8.542170542903161,8.513226429605433,0.6634575553033507,0.6501914328062256,False
3e-05,0.05,3,0.32398669946916975,0.1608343988582238,4.476454128439761,4.1507520632112564,8.482307063604537,7.823010676473425,0.4706011932749829,0.48850718832062384,False
3e-05,0.1,3,0.3564435926882806,0.1664885259539049,4.539597976128903,4.383619281458544,8.729894353922122,8.434058480848995,0.34930159833568347,0.3333445744953103,False
0.0001,0.0,3,0.3514358284874008,0.13785438314850834,3.3642404801124712,2.0102239706405363,5.706908173180447,3.405101300466884,1.0215727870444962,0.8415550651554072,False
0.0001,0.001,3,0.3519140097017451,0.13837452043782425,3.3250269607236334,2.043061638479643,5.639865012912755,3.489093662978714,1.010188908534513,0.8348394122533604,False
0.0001,0.01,3,0.35359834275534546,0.14089836637403724,3.44224814642133,2.0639598819702973,5.990631894490119,3.6046590065073443,0.893864398352542,0.740914485548412,False
0.0001,0.05,3,0.3669564921925983,0.15487250719999904,3.7900065560073823,2.568858247966394,6.980645029209922,4.760945948107467,0.5993680828048431,0.5034339070357259,False
0.0001,0.1,3,0.3767488462842832,0.17628074885789718,4.1290093395403415,2.660557956943522,7.840687424901567,5.037800789504932,0.4173312541791158,0.36387656380598254,False
0.0003,0.0,3,0.2997298921044372,0.02729800304721567,2.3855995833799795,1.0731864499344508,3.996411180068122,1.9226877508085516,0.7747879866918375,0.22383173551180663,True
0.0003,0.001,3,0.29919328706271114,0.02681083118958458,2.3926581223031147,1.078263859050625,4.021894994380891,1.9354735195180248,0.7634212502253387,0.22118739938941043,True
0.0003,0.01,3,0.381091975658499,0.13253164172563042,3.0432571992663675,0.800567211560164,4.926866919563231,1.471316041164902,1.1596474789695035,0.7155715007686102,False
0.0003,0.05,3,0.3840111699087319,0.1484801029677164,3.0734052453447696,1.658881233025497,5.3943599042439265,3.0016667160158557,0.7524505864456131,0.5291832417078582,False
0.0003,0.1,3,0.39591382907543116,0.16570670956712222,3.282376449493068,2.0269375698571808,6.025453801838349,3.8081862608743324,0.5392990971477859,0.3876981983513119,False
0.001,0.0,3,0.33508105955515993,0.051215868049985944,1.7368154418213628,0.7791698535313923,2.3611229257240853,1.2149843027365619,1.11250795791864,0.34480181979176344,False
0.001,0.001,3,0.3332737162109444,0.05140062572261217,1.7256589048104836,0.8035801190036782,2.360365486118096,1.256974141618126,1.090952323502871,0.35176209748247067,True
0.001,0.01,3,0.32668767911665825,0.0452137660293687,1.7686259351755809,0.79936392484022,2.541791777012088,1.2815853817967073,0.9954600933390738,0.3183677833275309,True
0.001,0.05,3,0.3268280230398839,0.031179126668134105,2.3390464793232812,0.8020580420172653,3.872304423957878,1.3793474161629213,0.8057885346886847,0.22494098969894052,False
0.001,0.1,3,0.4130685797255125,0.17292987579932342,3.0122041277774745,0.6445042214996662,5.1105610792491705,1.344186785167506,0.9138471763057785,0.34019099793088153,False
