mu_rxn,mu_mb,repeats,rmse_mean,rmse_std,violation_total_mean,violation_total_std,violation_rxn_mean,violation_rxn_std,violation_mb_mean,violation_mb_std,is_pareto
0.0,0.0,3,0.07402411173673173,0.014682351772158353,30.28734447384909,17.765330981439988,60.55019575567278,35.543495528933924,0.024493192025400595,0.01534220283091775,True
0.0,0.001,3,0.07406388038960184,0.014647621097242453,30.157718806240123,17.844252453578047,60.29229130313081,35.70118269329906,0.023146309349435904,0.014432678162789054,True
0.0,0.01,3,0.0758061489236311,0.014449293854992546,30.58104604664972,15.998020218585305,61.141384466710406,32.005520325526,0.020707626589050662,0.012054841924040952,False
0.0,0.05,3,0.08050374324992193,0.015443397566866161,30.842250032866215,9.854631076949204,61.669564492678795,19.71378427001882,0.014935573053631822,0.010009261236501194,False
0.0,0.1,3,0.09746876289895383,0.033309489913803766,35.63898401646642,7.138366396432153,71.26694376949949,14.284819497796912,0.011024263433336777,0.00959189138403001,False
1e-07,0.0,3,0.08101898743058605,0.02044049945868982,12.530003869339133,3.002840494591741,24.998820784359026,5.971036380757332,0.06118695431923845,0.0351032025013577,True
1e-07,0.001,3,0.0812283249804077,0.02011853363658391,12.499331168089205,3.0477522486755397,24.937921579319333,6.062240346150168,0.06074075685907367,0.03399272361341471,True
1e-07,0.01,3,0.08961539970599679,0.011860701699554433,13.542139044833293,2.8097179405548722,27.029251037212102,5.59045001350518,0.05502705245448655,0.029004190487355936,False
1e-07,0.05,3,0.0958576972289588,0.010045927574928504,15.466922560736558,3.5353730501277423,30.899350250233187,7.054413665180277,0.03449487123993116,0.01735144471061107,False
1e-07,0.1,3,0.10003545374928029,0.02495748779184962,15.41212078274559,4.741601884770292,30.79618061526372,9.484377817874703,0.028060950227466172,0.006894268592160755,False
3e-07,0.0,3,0.08413386502747205,0.019874064564152475,8.128655859258773,2.6335881584473397,16.18812490357819,5.22963169762423,0.06918681493935702,0.044810888165901216,True
3e-07,0.001,3,0.08440662181952407,0.019927344152421086,8.144666868175491,2.620948344620501,16.22101893076289,5.204408821563053,0.06831480558809354,0.0439397123890425,False
3e-07,0.01,3,0.08727273529826812,0.021948430456566484,9.325892173641865,1.6517920493407188,18.587005322003375,3.2654109871264,0.06477902528035574,0.03818251221242261,False
3e-07,0.05,3,0.09983671389462562,0.012626922313485384,11.442364745658528,1.4857195280349573,22.836783021500214,2.961287771610378,0.0479464698168422,0.02304234947709254,False
