nC_regions,num_regions,NN_RMSE_mean,NN_RMSE_ci95,KKThPINN_RMSE_mean,KKThPINN_RMSE_ci95,NN_Experiment_Time_sec_mean,NN_Experiment_Time_sec_ci95,KKThPINN_Experiment_Time_sec_mean,KKThPINN_Experiment_Time_sec_ci95,NN_PL_Violation_mean,NN_PL_Violation_ci95,KKThPINN_PL_Violation_mean,KKThPINN_PL_Violation_ci95,NN_Original_Nonlinear_Violation_mean,NN_Original_Nonlinear_Violation_ci95,KKThPINN_Original_Nonlinear_Violation_mean,KKThPINN_Original_Nonlinear_Violation_ci95,NN_Experiment_Time_sec_pooled_mean,NN_Experiment_Time_sec_pooled_ci95,NN_Original_Nonlinear_Violation_pooled_mean,NN_Original_Nonlinear_Violation_pooled_ci95,NN_RMSE_pooled_mean,NN_RMSE_pooled_ci95
1,1,0.009888068177704183,0.0011988375961086131,0.02270399511842,7.830147319602599e-05,0.0041600000000000005,0.00012761440520822224,0.004962,0.00025334184753204186,0.09737832340242356,0.0007545857121916413,1.2420322706826628e-15,4.872589073113679e-17,0.04384168888857529,0.006711977457663487,0.09144950924147353,0.0003291521127527247,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
2,2,0.009686322062782438,0.0012576048980434415,0.0059875006125912145,5.507866394680489e-05,0.0044919999999999995,0.00020524588823395013,0.005424,0.00022122545833237948,0.0461365260761314,0.00549756197884959,4.569856398057531e-16,2.127827331493541e-17,0.042242063512382494,0.006759137082774913,0.02276205144799602,0.0001083946787924578,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
3,3,0.00960647358541322,0.0010970535982814246,0.0036533993886944498,0.00013976500210648616,0.0045179999999999994,0.00026596207632326554,0.0057220000000000005,0.00024395499480665597,0.047117711885584175,0.006424915715758294,1.0151304400248966e-15,4.1315002333075213e-17,0.041390488510621874,0.006329270503414928,0.013153461935959876,0.00011814297236152914,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
5,5,0.00988697748769545,0.0011858811947770018,0.004391592813503582,0.0008222520252555592,0.004592000000000001,0.00017760528599444786,0.006279999999999999,0.00017186610354931692,0.045723721473524714,0.00639399465375785,9.559119369078369e-16,3.150877792327096e-17,0.044455672113389404,0.00641535513741364,0.0033780051059880477,0.0002157608132254657,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
11,11,0.010465154269511345,0.0011459824543423756,0.006272586060845837,0.0004683598556115054,0.0048519999999999995,0.00016653141933518735,0.007971999999999998,0.00024447807598500145,0.04735299639544197,0.006654719246942451,5.748477091164059e-16,2.3193017341380622e-17,0.04717389090624414,0.006645867253189549,0.0002419246287200691,3.227387775059471e-05,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
30,30,0.00915542144474131,0.0012246792323538185,0.004294940275026829,0.00026509017208794264,0.005710000000000001,0.00023486410268293962,0.01333,0.0004992011538134929,0.03897907742775812,0.006879529638558726,5.316580509173719e-16,2.454526996724416e-17,0.03889769743500139,0.006863398758639485,5.8469507029907045e-05,9.650614586950209e-06,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
55,55,0.010061352407386506,0.0012397246985960553,0.0033397485137024313,0.0003408529139805409,0.006998,0.00034809184503665976,0.020644,0.0008353086988199444,0.0442243106278212,0.007036167304945696,5.537435589429509e-16,2.4322494828804507e-17,0.04412925073175997,0.007015467911147046,3.4030972665500156e-05,9.23999914068616e-06,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
90,90,0.009788132915283819,0.001118545960910889,0.002669953538154468,0.0002941478384857884,0.008441999999999998,0.00033759155118042047,0.030204000000000005,0.0007015141856387283,0.04284512235379225,0.006188049720337995,5.776034412668147e-16,2.4025621644468763e-17,0.04276394650067921,0.0061683408171872445,3.38742372272111e-05,8.151515865897902e-06,0.0054705000000000005,0.00016233782273013313,0.043111837324831724,0.002280217500523654,0.009817237793814784,0.0004076498564919348
