region_id,C_low,C_high,Caoss,Cass,Cbss,Ccss,fss,aCao,aCa,aCb,aCc
0,0.5,0.5181818181818182,0.509090909090909,0.1976041842684988,1.377026550354998,0.9344601744675032,-9.126033262418787e-14,1.0,-8.008659131569146,-2.011494070543008,1.1487419956649154
1,0.5181818181818182,0.5363636363636364,0.5272727272727273,0.207647324281245,1.3607491940164895,0.9588762089752652,-2.7267077484793845e-13,1.0,-7.843944547827568,-2.0887416713301956,1.1487419956649154
2,0.5363636363636364,0.5545454545454546,0.5454545454545454,0.2178769030987616,1.3448447152875231,0.9827329270687152,-4.5341508325691393e-13,1.0,-7.6848950278248,-2.166025875918895,1.1487419956649154
3,0.5545454545454546,0.5727272727272728,0.5636363636363637,0.2282893725463853,1.3293060178207703,1.0060409732688445,3.643751966819764e-13,1.0,-7.53130931944799,-2.2433186737354784,1.1487419956649154
4,0.5727272727272728,0.5909090909090909,0.5818181818181818,0.2388810936903164,1.314125823744633,1.0288112643830505,1.8252066524837574e-13,1.0,-7.382990673654237,-2.3205933032998747,1.1487419956649154
5,0.5909090909090909,0.6090909090909091,0.6000000000000001,0.2496483542712737,1.2992967085425475,1.0510549371861788,0.0,1.0,-7.239747088950406,-2.3978242715211633,1.1487419956649154
6,0.6090909090909091,0.6272727272727272,0.6181818181818182,0.2605873852303223,1.2848111340966446,1.0727832988550332,-1.8185453143360064e-13,1.0,-7.101391512828272,-2.4749873633563997,1.1487419956649154
7,0.6272727272727272,0.6454545454545455,0.6363636363636364,0.2716943762490681,1.2706614797701363,1.0940077803447952,-3.630429290524262e-13,1.0,-6.967742002487316,-2.552059642627191,1.1487419956649154
8,0.6454545454545455,0.6636363636363636,0.6545454545454545,0.282965490259069,1.256840071428138,1.1147398928577932,4.547473508864641e-13,1.0,-6.838621847286326,-2.6290194448962545,1.1487419956649154
9,0.6636363636363636,0.6818181818181819,0.6727272727272727,0.2943968768950406,1.2433392083360817,1.134991187495878,2.722266856380884e-13,1.0,-6.713859655575729,-2.7058463633093672,1.1487419956649154
10,0.6818181818181819,0.7,0.6909090909090909,0.3059846848711819,1.2301511879243638,1.154773218113454,9.08162434143378e-14,1.0,-6.59328940882901,-2.7825212282103546,1.1487419956649154
11,0.7,0.7181818181818181,0.709090909090909,0.3177250732967066,1.2172683284114132,1.1740975073828803,-9.08162434143378e-14,1.0,-6.476750485806067,-2.859026081458,1.1487419956649154
12,0.7181818181818181,0.7363636363636363,0.7272727272727273,0.3296142219378664,1.204682989329733,1.1929755160054003,-2.728928194528635e-13,1.0,-6.364087659736508,-2.9353441461878558,1.1487419956649154
13,0.7363636363636363,0.7545454545454545,0.7454545454545454,0.3416483404574779,1.192387590004956,1.2114186149925663,-4.554134847012392e-13,1.0,-6.255151071319697,-3.0114597928048696,1.1487419956649154
14,0.7545454545454545,0.7727272727272727,0.7636363636363637,0.3538236766667194,1.1803746260614392,1.2294380609078417,3.6415315207705135e-13,1.0,-6.1497961803140875,-3.0873585019068615,1.1487419956649154
15,0.7727272727272727,0.7909090909090909,0.7818181818181817,0.3661365238361775,1.1686366840363551,1.2470449739454672,1.8340884366807586e-13,1.0,-6.04788369832996,-3.1630268248165714,1.1487419956649154
16,0.7909090909090909,0.8090909090909091,0.8,0.3785832271042075,1.1571664542084148,1.264250318687378,-2.220446049250313e-16,1.0,-5.949279505425592,-3.2384523422544116,1.1487419956649154
17,0.8090909090909091,0.8272727272727273,0.8181818181818181,0.3911601890478116,1.1459567417316232,1.2810648874025652,-1.8185453143360064e-13,1.0,-5.853854552752532,-3.313623621771774,1.1487419956649154
18,0.8272727272727273,0.8454545454545455,0.8363636363636364,0.4038638744601643,1.135000476192329,1.2974992857115073,-3.645972412869014e-13,1.0,-5.76148475353557,-3.388530174360948,1.1487419956649154
19,0.8454545454545455,0.8636363636363636,0.8545454545454545,0.4166908143934198,1.1242907196968397,1.313563920454741,4.53859172466764e-13,1.0,-5.672050864385296,-3.463162410685266,1.1487419956649154
20,0.8636363636363636,0.8818181818181818,0.8727272727272728,0.4296376095259533,1.1138206735979064,1.3292689896031404,2.7267077484793845e-13,1.0,-5.585438358776262,-3.53751159731921,1.1487419956649154
21,0.8818181818181818,0.8999999999999999,0.8909090909090909,0.4427009328984092,1.1035836839788182,1.3446244740317723,9.059419880941277e-14,1.0,-5.501537294449414,-3.6115698132557497,1.1487419956649154
22,0.8999999999999999,0.9181818181818182,0.9090909090909091,0.4558775320863917,1.0935732459907834,1.3596401310138249,-9.103828801926284e-14,1.0,-5.420242176158978,-3.685329907034905,1.1487419956649154
23,0.9181818181818182,0.9363636363636363,0.9272727272727272,0.4691642308511815,1.083783007156363,1.3743254892654553,-2.7267077484793845e-13,1.0,-5.341451815195748,-3.758785454660504,1.1487419956649154
24,0.9363636363636363,0.9545454545454546,0.9454545454545454,0.4825579303224749,1.07420676973495,1.3886898453975751,-4.54081217071689e-13,1.0,-5.26506918686169,-3.8319307185188656,1.1487419956649154
25,0.9545454545454546,0.9727272727272727,0.9636363636363636,0.4960556097590065,1.064838492246013,1.4027422616309804,3.6415315207705135e-13,1.0,-5.191001286965561,-3.904760607444629,1.1487419956649154
26,0.9727272727272727,0.990909090909091,0.9818181818181818,0.5096543269361569,1.0556722902363136,1.4164915646455294,1.8185453143360064e-13,1.0,-5.119158988241548,-3.97727063807903,1.1487419956649154
27,0.990909090909091,1.009090909090909,1.0,0.5233512181912394,1.0467024363824786,1.4299463454262822,0.0,1.0,-5.049456897553422,-4.049456897553423,1.1487419956649154
28,1.009090909090909,1.0272727272727273,1.018181818181818,0.5371434981803045,1.0379233599966091,1.443114960005086,-1.8141044222375058e-13,1.0,-4.981813214490206,-4.1213160076459205,1.1487419956649154
