scenario,model,run_index,archive_folder,n_test,reaction_mean,mass_balance_mean,reaction_max,mass_balance_max,combined_mean
nseg_90,KKThPINN,1,20260604-050037_run01_KKThPINN,30,7.226165201574079e-05,1.9984014443252818e-16,0.00031638976665360197,8.881784197001252e-16,3.613082600797032e-05
nseg_90,KKThPINN,1,20260604-121812_run01_KKThPINN,30,0.0001300708325352747,1.9984014443252818e-16,0.0013826311537290525,8.881784197001252e-16,6.503541626773727e-05
nseg_90,KKThPINN,2,20260604-050148_run02_KKThPINN,30,1.2075038494711403e-05,3.182639337258782e-16,8.143468302290735e-05,8.881784197001252e-16,6.037519247514833e-06
nseg_90,KKThPINN,2,20260604-121922_run02_KKThPINN,30,3.831028619768843e-05,2.1464311809419693e-16,0.0006064598045067982,8.881784197001252e-16,1.9155143098951537e-05
nseg_90,KKThPINN,3,20260604-050257_run03_KKThPINN,30,9.609551413589657e-05,2.294460917558657e-16,0.001041567212009653,4.440892098500626e-16,4.804775706806301e-05
nseg_90,KKThPINN,3,20260604-122032_run03_KKThPINN,30,3.383285533677949e-05,2.3684757858670006e-16,0.0005374362035723834,6.661338147750939e-16,1.6916427668508167e-05
nseg_90,KKThPINN,4,20260604-050408_run04_KKThPINN,30,3.8648591221638697e-05,2.4424906541753446e-16,0.00019952901156772285,8.881784197001252e-16,1.9324295610941473e-05
nseg_90,KKThPINN,4,20260604-122141_run04_KKThPINN,30,2.831081194025753e-05,2.1464311809419693e-16,0.0003436209355616171,8.881784197001252e-16,1.4155405970236087e-05
nseg_90,KKThPINN,5,20260604-050519_run05_KKThPINN,30,3.815521891365285e-05,1.8503717077085943e-16,0.00045292265513996455,4.440892098500626e-16,1.9077609456918943e-05
nseg_90,KKThPINN,5,20260604-122250_run05_KKThPINN,30,0.00015633690555056924,2.0724163126336256e-16,0.001279561325532974,6.661338147750939e-16,7.816845277538823e-05
nseg_90,KKThPINN,6,20260604-050630_run06_KKThPINN,30,7.767109719186334e-05,1.7763568394002506e-16,0.0008226975978784523,4.440892098500626e-16,3.883554859602049e-05
nseg_90,KKThPINN,6,20260604-122400_run06_KKThPINN,30,0.0002212363405732276,2.812564995717063e-16,0.0020287926180360127,8.881784197001252e-16,0.00011061817028675443
