scenario,model,run_index,archive_folder,n_test,reaction_mean,mass_balance_mean,reaction_max,mass_balance_max,combined_mean
nseg_90,KKThPINN,7,20260604-050742_run07_KKThPINN,30,6.009513373528286e-06,2.0724163126336256e-16,4.1279694233731234e-05,6.661338147750939e-16,3.004756686867764e-06
nseg_90,KKThPINN,7,20260604-122510_run07_KKThPINN,30,0.0002244986812363588,2.1464311809419693e-16,0.0014349058572533657,4.440892098500626e-16,0.00011224934061828672
nseg_90,KKThPINN,8,20260604-050854_run08_KKThPINN,30,9.588315890640686e-06,2.3684757858670006e-16,3.5453593157486196e-05,4.440892098500626e-16,4.794157945438767e-06
nseg_90,KKThPINN,8,20260604-122620_run08_KKThPINN,30,5.742995573528494e-05,2.812564995717063e-16,0.000348244092284844,8.881784197001252e-16,2.87149778677831e-05
nseg_90,KKThPINN,9,20260604-051004_run09_KKThPINN,30,2.976287653225403e-05,2.294460917558657e-16,0.00024383176697817532,8.881784197001252e-16,1.4881438266241739e-05
nseg_90,KKThPINN,9,20260604-122730_run09_KKThPINN,30,5.161151765084397e-05,1.8503717077085943e-16,0.0007910643885442603,4.440892098500626e-16,2.5805758825514503e-05
nseg_90,KKThPINN,10,20260604-051114_run10_KKThPINN,30,0.00031942719562895553,2.9605947323337506e-16,0.00203159313905088,8.881784197001252e-16,0.00015971359781462579
nseg_90,KKThPINN,10,20260604-122840_run10_KKThPINN,30,6.273626469370057e-05,1.8503717077085943e-16,0.0009714378582612593,8.881784197001252e-16,3.13681323469428e-05
nseg_90,KKThPINN,11,20260604-051225_run11_KKThPINN,30,6.876019313893552e-05,2.0724163126336256e-16,0.000646248795678428,4.440892098500626e-16,3.4380096569571377e-05
nseg_90,KKThPINN,11,20260604-122950_run11_KKThPINN,30,3.72624734580181e-05,1.8503717077085943e-16,0.0003416827628037744,8.881784197001252e-16,1.863123672910157e-05
nseg_90,KKThPINN,12,20260604-051336_run12_KKThPINN,30,9.579393008333585e-06,2.6645352591003756e-16,7.90023836099163e-05,8.881784197001252e-16,4.789696504300019e-06
nseg_90,KKThPINN,12,20260604-123100_run12_KKThPINN,30,2.607142802359963e-05,1.9984014443252818e-16,0.00019667127676425977,8.881784197001252e-16,1.3035714011899735e-05
nseg_90,KKThPINN,13,20260604-051447_run13_KKThPINN,30,1.121214235682751e-05,1.8503717077085943e-16,0.00010006557876462985,6.661338147750939e-16,5.606071178506274e-06
nseg_90,KKThPINN,13,20260604-123209_run13_KKThPINN,30,2.256025572366186e-05,2.590520390792032e-16,0.0003566767739764387,8.881784197001252e-16,1.1280127861960457e-05
nseg_90,KKThPINN,14,20260604-051558_run14_KKThPINN,30,5.68799618981745e-05,3.478698810492157e-16,0.0004937674640768108,8.881784197001252e-16,2.843998094926118e-05
nseg_90,KKThPINN,14,20260604-123319_run14_KKThPINN,30,5.272528889003573e-05,1.9984014443252818e-16,0.000743954477782971,8.881784197001252e-16,2.6362644445117787e-05
nseg_90,KKThPINN,15,20260604-051708_run15_KKThPINN,30,0.00012469390331619015,1.7763568394002506e-16,0.0006893626869175495,4.440892098500626e-16,6.23469516581839e-05
nseg_90,KKThPINN,15,20260604-123429_run15_KKThPINN,30,5.06927610752402e-05,1.6283271027835628e-16,0.0002578777166009072,4.440892098500626e-16,2.5346380537701516e-05
nseg_90,KKThPINN,16,20260604-051818_run16_KKThPINN,30,3.103699818777598e-05,2.294460917558657e-16,0.000102362393953781,6.661338147750939e-16,1.5518499094002715e-05
nseg_90,KKThPINN,16,20260604-123538_run16_KKThPINN,30,1.9214197380727308e-05,2.1464311809419693e-16,0.000126220730601867,8.881784197001252e-16,9.607098690470977e-06
nseg_90,KKThPINN,17,20260604-051929_run17_KKThPINN,30,4.7892091622155536e-05,2.886579864025407e-16,0.0004491572307856462,6.661338147750939e-16,2.39460458112221e-05
nseg_90,KKThPINN,17,20260604-123649_run17_KKThPINN,30,3.455826016611022e-05,2.4424906541753446e-16,0.0005355932633788196,8.881784197001252e-16,1.7279130083177237e-05
nseg_90,KKThPINN,18,20260604-052038_run18_KKThPINN,30,5.2799519166857325e-05,1.8503717077085943e-16,0.0004210354357958579,4.440892098500626e-16,2.639975958352118e-05
nseg_90,KKThPINN,18,20260604-123759_run18_KKThPINN,30,1.8259343027837715e-05,1.9984014443252818e-16,0.0001688951603415756,8.881784197001252e-16,9.129671514018779e-06
nseg_90,KKThPINN,19,20260604-052149_run19_KKThPINN,30,0.00012560555704457983,1.8503717077085943e-16,0.0004715892364548502,4.440892098500626e-16,6.280277852238244e-05
nseg_90,KKThPINN,19,20260604-123909_run19_KKThPINN,30,0.00011211164995685122,2.220446049250313e-16,0.0008012729873090318,8.881784197001252e-16,5.6055824978536634e-05
nseg_90,KKThPINN,20,20260604-052300_run20_KKThPINN,30,3.158262816636004e-05,2.516505522483688e-16,0.00014611489475324646,8.881784197001252e-16,1.5791314083305844e-05
nseg_90,KKThPINN,20,20260604-124019_run20_KKThPINN,30,2.5347348522020142e-05,2.220446049250313e-16,0.00030583119695415384,8.881784197001252e-16,1.2673674261121094e-05
nseg_90,KKThPINN,21,20260604-052410_run21_KKThPINN,30,2.2836209660104246e-05,1.8503717077085943e-16,0.00015780967590539596,4.440892098500626e-16,1.1418104830144641e-05
nseg_90,KKThPINN,21,20260604-124128_run21_KKThPINN,30,0.00019104159252890293,2.0724163126336256e-16,0.00165488024866689,8.881784197001252e-16,9.552079626455509e-05
nseg_90,KKThPINN,22,20260604-052521_run22_KKThPINN,30,2.308411128209009e-05,2.812564995717063e-16,0.0001251490646199116,8.881784197001252e-16,1.1542055641185673e-05
nseg_90,KKThPINN,22,20260604-124237_run22_KKThPINN,30,8.955148472847471e-05,2.812564995717063e-16,0.0013847540795675073,8.881784197001252e-16,4.477574236437798e-05
nseg_90,KKThPINN,23,20260604-052631_run23_KKThPINN,30,1.946923992279063e-05,2.294460917558657e-16,0.0001980378680086492,6.661338147750939e-16,9.734619961510038e-06
nseg_90,KKThPINN,23,20260604-124347_run23_KKThPINN,30,5.163033393470092e-05,2.1464311809419693e-16,0.0008292326204220046,8.881784197001252e-16,2.581516696745778e-05
nseg_90,KKThPINN,24,20260604-052742_run24_KKThPINN,30,3.0443300336776187e-05,2.6645352591003756e-16,0.00023742299223084018,4.440892098500626e-16,1.522165016852132e-05
nseg_90,KKThPINN,24,20260604-124456_run24_KKThPINN,30,0.0001716438696905298,1.554312234475219e-16,0.001049216922862195,8.881784197001252e-16,8.582193484534262e-05
nseg_90,KKThPINN,25,20260604-052853_run25_KKThPINN,30,0.00010088424114840973,2.220446049250313e-16,0.0007146067895906771,4.440892098500626e-16,5.044212057431589e-05
nseg_90,KKThPINN,25,20260604-124606_run25_KKThPINN,30,1.541356958040622e-05,2.6645352591003756e-16,7.932138313337944e-05,8.881784197001252e-16,7.706784790336336e-06
nseg_90,KKThPINN,26,20260604-053004_run26_KKThPINN,30,1.0096381348005204e-05,2.9605947323337506e-16,7.294959158854475e-05,6.661338147750939e-16,5.048190674150632e-06
nseg_90,KKThPINN,26,20260604-124716_run26_KKThPINN,30,6.025628466327001e-05,2.812564995717063e-16,0.000636936928943177,8.881784197001252e-16,3.012814233177563e-05
nseg_90,KKThPINN,27,20260604-053116_run27_KKThPINN,30,1.3569812118278494e-05,2.3684757858670006e-16,7.547588261425098e-05,6.661338147750939e-16,6.784906059257671e-06
nseg_90,KKThPINN,27,20260604-124826_run27_KKThPINN,30,0.00020298493151023057,1.7023419710919068e-16,0.0016061776813676154,4.440892098500626e-16,0.0001014924657552004
nseg_90,KKThPINN,28,20260604-053227_run28_KKThPINN,30,2.0116227086427094e-05,1.1842378929335003e-16,0.00015318126608065974,8.881784197001252e-16,1.0058113543272758e-05
nseg_90,KKThPINN,28,20260604-124935_run28_KKThPINN,30,0.00012033493520547574,1.1102230246251565e-16,0.0014593835294540725,4.440892098500626e-16,6.016746760279338e-05
nseg_90,KKThPINN,29,20260604-053337_run29_KKThPINN,30,5.0232194383329856e-05,1.4802973661668753e-16,0.0002690709849400008,4.440892098500626e-16,2.5116097191738942e-05
nseg_90,KKThPINN,29,20260604-125045_run29_KKThPINN,30,4.662698905799623e-06,2.1464311809419693e-16,2.04506536107818e-05,4.440892098500626e-16,2.331349453007133e-06
nseg_90,KKThPINN,30,20260604-053447_run30_KKThPINN,30,0.00021981150697576447,1.924386576016938e-16,0.0011487719504987837,6.661338147750939e-16,0.00010990575348797844
nseg_90,KKThPINN,30,20260604-125155_run30_KKThPINN,30,5.315237328441154e-05,1.924386576016938e-16,0.00019590620536469316,8.881784197001252e-16,2.657618664230199e-05
nseg_90,KKThPINN,31,20260604-053558_run31_KKThPINN,30,0.0001715226978871091,2.4424906541753446e-16,0.001178959643806765,8.881784197001252e-16,8.576134894367667e-05
nseg_90,KKThPINN,31,20260604-125304_run31_KKThPINN,30,3.218782393613247e-05,1.924386576016938e-16,0.0005356843297146252,4.440892098500626e-16,1.6093911968162455e-05
nseg_90,KKThPINN,32,20260604-053709_run32_KKThPINN,30,0.00011112603220275741,2.7385501274087196e-16,0.0004253303684198517,8.881784197001252e-16,5.556301610151563e-05
nseg_90,KKThPINN,32,20260604-125414_run32_KKThPINN,30,5.9700207552326746e-05,2.0724163126336256e-16,0.0008632993491259899,8.881784197001252e-16,2.9850103776266992e-05
nseg_90,KKThPINN,33,20260604-053820_run33_KKThPINN,30,3.4283773219782415e-05,2.886579864025407e-16,0.00024954979779323594,8.881784197001252e-16,1.7141886610035535e-05
nseg_90,KKThPINN,33,20260604-125524_run33_KKThPINN,30,6.962596018089684e-06,2.4424906541753446e-16,3.618932614513071e-05,4.440892098500626e-16,3.4812980091669666e-06
nseg_90,KKThPINN,34,20260604-053931_run34_KKThPINN,30,0.000258552702656741,3.9227880203422196e-16,0.0014768236086919462,8.881784197001252e-16,0.00012927635132856664
nseg_90,KKThPINN,34,20260604-125634_run34_KKThPINN,30,7.180304121519043e-05,1.9984014443252818e-16,0.0004055452033802087,8.881784197001252e-16,3.590152060769514e-05
nseg_90,KKThPINN,35,20260604-054042_run35_KKThPINN,30,0.0001839663137996439,3.108624468950438e-16,0.0010851134379976646,8.881784197001252e-16,9.198315689997738e-05
nseg_90,KKThPINN,35,20260604-125743_run35_KKThPINN,30,1.2291703466675112e-05,2.294460917558657e-16,0.0001222390547117591,8.881784197001252e-16,6.145851733452279e-06
nseg_90,KKThPINN,36,20260604-054152_run36_KKThPINN,30,5.753499640854069e-05,2.590520390792032e-16,0.0006383156367439913,8.881784197001252e-16,2.8767498204399868e-05
nseg_90,KKThPINN,36,20260604-125853_run36_KKThPINN,30,2.8006488398276316e-05,1.7763568394002506e-16,0.0003266494783402685,8.881784197001252e-16,1.4003244199226976e-05
nseg_90,KKThPINN,37,20260604-054303_run37_KKThPINN,30,5.8468819410199364e-05,3.182639337258782e-16,0.0006666976731739549,8.881784197001252e-16,2.9234409705258813e-05
nseg_90,KKThPINN,37,20260604-130003_run37_KKThPINN,30,0.00010808503841680898,2.7385501274087196e-16,0.0009031043667719896,8.881784197001252e-16,5.404251920854142e-05
nseg_90,KKThPINN,38,20260604-054413_run38_KKThPINN,30,2.3692943335233234e-05,3.2566542055671256e-16,0.0002528680744757761,8.881784197001252e-16,1.1846471667779449e-05
nseg_90,KKThPINN,38,20260604-130113_run38_KKThPINN,30,3.0231065923539782e-05,1.7763568394002506e-16,0.00028972159963935873,8.881784197001252e-16,1.511553296185871e-05
nseg_90,KKThPINN,39,20260604-054523_run39_KKThPINN,30,0.0002328857742472416,2.220446049250313e-16,0.0012617507280832108,4.440892098500626e-16,0.00011644288712373182
nseg_90,KKThPINN,39,20260604-130222_run39_KKThPINN,30,0.00010841418059539531,2.0724163126336256e-16,0.0007908873100188618,8.881784197001252e-16,5.420709029780128e-05
nseg_90,KKThPINN,40,20260604-054633_run40_KKThPINN,30,6.731210146528887e-05,1.9984014443252818e-16,0.000186333668113825,4.440892098500626e-16,3.365605073274436e-05
nseg_90,KKThPINN,40,20260604-130332_run40_KKThPINN,30,5.903977791355726e-05,2.0724163126336256e-16,0.0005046445005860711,8.881784197001252e-16,2.9519888956882254e-05
nseg_90,KKThPINN,41,20260604-054743_run41_KKThPINN,30,1.3514693754953141e-05,2.3684757858670006e-16,7.473340965957753e-05,8.881784197001252e-16,6.757346877594994e-06
nseg_90,KKThPINN,41,20260604-130441_run41_KKThPINN,30,0.00012097785736301011,1.9984014443252818e-16,0.0014358229274138434,4.440892098500626e-16,6.048892868160497e-05
nseg_90,KKThPINN,42,20260604-054854_run42_KKThPINN,30,6.366830634754924e-05,2.6645352591003756e-16,0.0005730080719095199,6.661338147750939e-16,3.1834153173907843e-05
nseg_90,KKThPINN,42,20260604-130551_run42_KKThPINN,30,2.177349780096982e-05,1.8503717077085943e-16,0.00030232583845823946,8.881784197001252e-16,1.0886748900577429e-05
nseg_90,KKThPINN,43,20260604-055004_run43_KKThPINN,30,9.778461261104414e-06,1.1842378929335003e-16,5.278133355335335e-05,8.881784197001252e-16,4.889230630611419e-06
nseg_90,KKThPINN,43,20260604-130701_run43_KKThPINN,30,3.3873681032063154e-05,2.3684757858670006e-16,8.929843291194395e-05,8.881784197001252e-16,1.6936840516150002e-05
nseg_90,KKThPINN,44,20260604-055115_run44_KKThPINN,30,4.604841675239779e-05,2.590520390792032e-16,0.0005291619694198779,8.881784197001252e-16,2.302420837632842e-05
nseg_90,KKThPINN,44,20260604-130811_run44_KKThPINN,30,1.4471265092330654e-05,1.7763568394002506e-16,0.00010776466486728253,8.881784197001252e-16,7.2356325462541445e-06
nseg_90,KKThPINN,45,20260604-055225_run45_KKThPINN,30,5.174343718203911e-05,2.0724163126336256e-16,0.00026480819633190045,6.661338147750939e-16,2.5871718591123177e-05
nseg_90,KKThPINN,45,20260604-130921_run45_KKThPINN,30,4.4482199941538646e-05,2.294460917558657e-16,0.0007138417630996319,8.881784197001252e-16,2.2241099970884045e-05
nseg_90,KKThPINN,46,20260604-055335_run46_KKThPINN,30,6.222287308712548e-05,2.4424906541753446e-16,0.00016481771671794654,6.661338147750939e-16,3.111143654368487e-05
nseg_90,KKThPINN,46,20260604-131031_run46_KKThPINN,30,5.163986648510181e-05,2.0724163126336256e-16,0.0008772012204303348,8.881784197001252e-16,2.5819933242654526e-05
nseg_90,KKThPINN,47,20260604-055446_run47_KKThPINN,30,0.00010061219617488368,2.4424906541753446e-16,0.000518909618239416,8.881784197001252e-16,5.030609808756396e-05
nseg_90,KKThPINN,47,20260604-131141_run47_KKThPINN,30,7.825626206336977e-05,2.1464311809419693e-16,0.0002310250036976491,6.661338147750939e-16,3.912813103179221e-05
nseg_90,KKThPINN,48,20260604-055557_run48_KKThPINN,30,1.8779398589859517e-05,3.108624468950438e-16,0.00011936920900468273,6.661338147750939e-16,9.38969929508519e-06
nseg_90,KKThPINN,48,20260604-131252_run48_KKThPINN,30,8.070435065166137e-06,2.3684757858670006e-16,5.224060828323829e-05,8.881784197001252e-16,4.035217532701493e-06
nseg_90,KKThPINN,49,20260604-055707_run49_KKThPINN,30,2.498062549115924e-05,3.0346096006420946e-16,0.0001139654177813032,8.881784197001252e-16,1.249031274573135e-05
nseg_90,KKThPINN,49,20260604-131402_run49_KKThPINN,30,5.2583497252745023e-05,1.4802973661668753e-16,0.000736670725917099,4.440892098500626e-16,2.629174862644653e-05
nseg_90,KKThPINN,50,20260604-055817_run50_KKThPINN,30,4.930240264191532e-05,1.6283271027835628e-16,0.00015788793386262157,4.440892098500626e-16,2.4651201321039078e-05
nseg_90,KKThPINN,50,20260604-131512_run50_KKThPINN,30,6.790504985130231e-05,1.7763568394002506e-16,0.00034040751242647715,8.881784197001252e-16,3.395252492573997e-05
