scenario,archive_set,model,run_index,archive_folder,n_test,reaction_mean,mass_balance_mean,reaction_max,mass_balance_max,combined_mean
nseg_90,2,KKThPINN,1,20260604-121812_run01_KKThPINN,30,0.0001300708325352747,1.9984014443252818e-16,0.0013826311537290525,8.881784197001252e-16,6.503541626773727e-05
nseg_90,2,KKThPINN,2,20260604-121922_run02_KKThPINN,30,3.831028619768843e-05,2.1464311809419693e-16,0.0006064598045067982,8.881784197001252e-16,1.9155143098951537e-05
nseg_90,2,KKThPINN,3,20260604-122032_run03_KKThPINN,30,3.383285533677949e-05,2.3684757858670006e-16,0.0005374362035723834,6.661338147750939e-16,1.6916427668508167e-05
nseg_90,2,KKThPINN,4,20260604-122141_run04_KKThPINN,30,2.831081194025753e-05,2.1464311809419693e-16,0.0003436209355616171,8.881784197001252e-16,1.4155405970236087e-05
nseg_90,2,KKThPINN,5,20260604-122250_run05_KKThPINN,30,0.00015633690555056924,2.0724163126336256e-16,0.001279561325532974,6.661338147750939e-16,7.816845277538823e-05
nseg_90,2,KKThPINN,6,20260604-122400_run06_KKThPINN,30,0.0002212363405732276,2.812564995717063e-16,0.0020287926180360127,8.881784197001252e-16,0.00011061817028675443
nseg_90,2,KKThPINN,7,20260604-122510_run07_KKThPINN,30,0.0002244986812363588,2.1464311809419693e-16,0.0014349058572533657,4.440892098500626e-16,0.00011224934061828672
nseg_90,2,KKThPINN,8,20260604-122620_run08_KKThPINN,30,5.742995573528494e-05,2.812564995717063e-16,0.000348244092284844,8.881784197001252e-16,2.87149778677831e-05
nseg_90,2,KKThPINN,9,20260604-122730_run09_KKThPINN,30,5.161151765084397e-05,1.8503717077085943e-16,0.0007910643885442603,4.440892098500626e-16,2.5805758825514503e-05
nseg_90,2,KKThPINN,10,20260604-122840_run10_KKThPINN,30,6.273626469370057e-05,1.8503717077085943e-16,0.0009714378582612593,8.881784197001252e-16,3.13681323469428e-05
nseg_90,2,KKThPINN,11,20260604-122950_run11_KKThPINN,30,3.72624734580181e-05,1.8503717077085943e-16,0.0003416827628037744,8.881784197001252e-16,1.863123672910157e-05
nseg_90,2,KKThPINN,12,20260604-123100_run12_KKThPINN,30,2.607142802359963e-05,1.9984014443252818e-16,0.00019667127676425977,8.881784197001252e-16,1.3035714011899735e-05
nseg_90,2,KKThPINN,13,20260604-123209_run13_KKThPINN,30,2.256025572366186e-05,2.590520390792032e-16,0.0003566767739764387,8.881784197001252e-16,1.1280127861960457e-05
nseg_90,2,KKThPINN,14,20260604-123319_run14_KKThPINN,30,5.272528889003573e-05,1.9984014443252818e-16,0.000743954477782971,8.881784197001252e-16,2.6362644445117787e-05
nseg_90,2,KKThPINN,15,20260604-123429_run15_KKThPINN,30,5.06927610752402e-05,1.6283271027835628e-16,0.0002578777166009072,4.440892098500626e-16,2.5346380537701516e-05
nseg_90,2,KKThPINN,16,20260604-123538_run16_KKThPINN,30,1.9214197380727308e-05,2.1464311809419693e-16,0.000126220730601867,8.881784197001252e-16,9.607098690470977e-06
