Iteration,NN_Training_Error,KKThPINN_Training_Error
1,0.00403,0.00543
2,0.01427,0.00224
3,0.01358,0.0039
4,0.0029,0.00429
5,0.01415,0.00503
6,0.00784,0.00588
7,0.01381,0.00669
8,0.00346,0.00719
9,0.00919,0.00231
10,0.00438,0.00418
11,0.00441,0.00336
12,0.00719,0.00653
13,0.00943,0.00521
14,0.00703,0.00494
15,0.00562,0.003
16,0.00597,0.00473
17,0.00809,0.00617
18,0.01193,0.00468
19,0.00825,0.00545
20,0.00584,0.00601
21,0.00966,0.00347
22,0.00618,0.00654
23,0.01105,0.00249
24,0.00776,0.00952
25,0.00348,0.00492
26,0.00483,0.00789
27,0.01126,0.00252
28,0.00435,0.00216
29,0.00546,0.00223
30,0.00935,0.00491
31,0.01255,0.00362
32,0.01101,0.00357
33,0.00366,0.0071
34,0.00394,0.00601
35,0.00641,0.00349
36,0.00573,0.00919
37,0.01085,0.00489
38,0.00722,0.00554
39,0.00401,0.00467
40,0.01299,0.00301
41,0.002,0.00401
42,0.00627,0.00398
43,0.01369,0.00321
44,0.0084,0.004
45,0.00807,0.00297
46,0.01007,0.00532
47,0.01395,0.00574
48,0.01078,0.00296
49,0.00999,0.00293
50,0.00533,0.00263
